Prog,Lit,Intervalo,Metric,Time,Mass
0,d_67,"[0,8211-1,0000]",0.9695,2.28,0.9587
0,~a_13,"[0,9038-1,0000]",0.9650,2.27,0.9587
2,d_39,"[0,8475-1,0000]",0.9634,1.98,0.9548
2,~a_19,"[0,6870-1,0000]",0.9797,2.02,0.9548
2,a_15,"[0,6978-0,9927]",0.9710,2.07,0.9548
3,d_75,"[0,9034-1,0000]",0.9795,1.05,0.9788
4,d_59,"[0,9745-1,0000]",0.9751,1.10,0.9745
5,d_33,"[0,8531-1,0000]",0.9787,1.35,0.9609
6,~d_42,"[0,9479-1,0000]",0.9765,1.14,0.9711
8,a_17,"[0,8049-0,9981]",0.9743,1.74,0.9609
9,d_21,"[0,9441-1,0000]",0.9692,1.17,0.9672
11,a_20,"[0,7751-0,9955]",0.9872,1.51,0.9713
12,a_7,"[0,9803-1,0000]",0.9821,1.06,0.9819
12,a_19,"[0,0828-0,1025]",0.9824,1.18,0.9819
13,~d_22,"[0,9661-1,0000]",0.9758,1.48,0.9724
14,~a_18,"[0,0116-0,1194]",0.9491,1.98,0.9367
16,d_30,"[0,9201-1,0000]",0.9664,1.61,0.9602
17,d_68,"[0,9182-1,0000]",0.9662,1.40,0.9606
17,a_18,"[0,6589-0,9702]",0.9835,1.46,0.9606
19,d_63,"[0,9204-1,0000]",0.9685,1.22,0.9639
19,a_16,"[0,0098-0,1773]",0.9797,1.32,0.9639
19,~a_16,"[0,8227-0,9902]",0.9797,1.32,0.9639
20,~d_30,"[0,9531-1,0000]",0.9597,1.44,0.9585
20,a_18,"[0,0034-0,1672]",0.9668,1.45,0.9585
22,d_44,"[0,7334-1,0000]",0.9595,1.59,0.9551
23,~d_45,"[0,8755-1,0000]",0.9627,1.38,0.9597
25,d_59,"[0,8967-1,0000]",0.9625,1.30,0.9522
26,~d_54,"[0,9175-1,0000]",0.9625,1.63,0.9549
29,a_20,"[0,6465-0,9999]",0.9884,1.92,0.9665
30,a_14,"[0,8668-1,0000]",0.9737,1.65,0.9649
31,d_50,"[0,9757-1,0000]",0.9855,1.18,0.9819
32,d_59,"[0,9616-1,0000]",0.9697,1.02,0.9677
34,d_69,"[0,7668-1,0000]",0.9724,1.45,0.9624
35,d_37,"[0,8968-1,0000]",0.9691,1.68,0.9628
36,~d_44,"[0,9736-1,0000]",0.9765,1.08,0.9755
37,d_44,"[0,9430-1,0000]",0.9596,1.45,0.9562
39,d_68,"[0,9521-1,0000]",0.9631,1.87,0.9592
40,d_55,"[0,9413-1,0000]",0.9873,0.90,0.9831
40,a_10,"[0,8289-1,0000]",0.9878,0.90,0.9831
40,a_18,"[0,7160-0,9956]",0.9919,0.96,0.9831
41,~a_1,"[0,9474-1,0000]",0.9821,1.26,0.9777
41,a_17,"[0,1175-0,1761]",0.9832,1.33,0.9777
42,a_11,"[0,9404-1,0000]",0.9629,2.01,0.9534
42,~a_19,"[0,8148-0,8755]",0.9572,2.08,0.9534
43,a_6,"[0,8726-1,0000]",0.9856,1.27,0.9728
43,a_18,"[0,0532-0,2506]",0.9847,1.41,0.9728
44,d_58,"[0,8981-1,0000]",0.9644,1.66,0.9588
44,a_19,"[0,6137-0,7897]",0.9659,1.73,0.9588
44,~a_17,"[0,7178-0,7856]",0.9729,1.67,0.9588
47,d_42,"[0,8128-1,0000]",0.9600,2.27,0.9552
47,a_15,"[0,7023-0,9957]",0.9719,3.24,0.9552
49,a_15,"[0,9387-0,9977]",0.9517,1.86,0.9490
50,a_8,"[0,9778-1,0000]",0.9779,1.48,0.9778
50,a_11,"[0,8892-1,0000]",0.9902,1.47,0.9778
50,a_18,"[0,0985-0,1676]",0.9826,1.60,0.9778
52,a_15,"[0,7569-0,9903]",0.9796,2.18,0.9688
57,d_39,"[0,9448-1,0000]",0.9528,2.00,0.9506
60,a_6,"[0,9724-1,0000]",0.9746,1.56,0.9740
61,d_32,"[0,8488-1,0000]",0.9786,1.54,0.9626
63,~d_66,"[0,9745-1,0000]",0.9745,1.49,0.9745
63,~a_16,"[0,0100-0,2491]",0.9908,1.95,0.9745
64,d_36,"[0,9674-1,0000]",0.9772,1.32,0.9736
64,~a_19,"[0,8475-1,0000]",0.9859,1.35,0.9736
65,d_43,"[0,7942-1,0000]",0.9777,1.53,0.9664
65,~a_18,"[0,1347-0,2073]",0.9706,1.68,0.9664
66,a_13,"[0,9285-1,0000]",0.9745,1.20,0.9662
66,a_15,"[0,8505-1,0000]",0.9751,1.19,0.9662
68,a_19,"[0,1186-0,3090]",0.9874,1.34,0.9684
69,a_8,"[0,8988-1,0000]",0.9832,1.40,0.9674
71,d_37,"[0,8814-1,0000]",0.9725,1.31,0.9635
71,a_14,"[0,7310-1,0000]",0.9885,1.34,0.9635
72,d_29,"[0,9483-1,0000]",0.9510,1.87,0.9501
72,a_19,"[0,7589-0,9197]",0.9625,1.92,0.9501
73,d_25,"[0,9639-1,0000]",0.9746,1.52,0.9706
73,~a_11,"[0,8538-1,0000]",0.9852,1.54,0.9706
73,a_15,"[0,8478-0,9353]",0.9770,1.56,0.9706
74,d_68,"[0,9681-1,0000]",0.9796,1.13,0.9779
74,a_19,"[0,9407-0,9957]",0.9848,1.17,0.9779
74,~a_19,"[0,0043-0,0593]",0.9848,1.20,0.9779
75,d_41,"[0,9577-1,0000]",0.9673,0.99,0.9646
75,a_15,"[0,8115-0,9794]",0.9814,1.03,0.9646
75,~a_17,"[0,0763-0,2138]",0.9849,1.03,0.9646
77,d_39,"[0,9111-1,0000]",0.9672,1.72,0.9554
78,~d_58,"[0,8418-1,0000]",0.9895,1.20,0.9765
78,~a_17,"[0,7955-0,9408]",0.9816,1.32,0.9765
81,d_57,"[0,9662-1,0000]",0.9717,1.55,0.9695
82,a_7,"[0,9369-1,0000]",0.9736,1.46,0.9711
83,~d_63,"[0,7704-1,0000]",0.9719,2.08,0.9418
86,a_4,"[0,8938-1,0000]",0.9675,1.57,0.9644
87,~a_23,"[0,9592-1,0000]",0.9633,1.76,0.9625
88,~a_15,"[0,5869-0,8394]",0.9731,2.08,0.9499
91,d_31,"[0,9284-1,0000]",0.9825,1.74,0.9782
92,~d_52,"[0,9592-1,0000]",0.9707,1.36,0.9690
92,a_20,"[0,8933-0,9946]",0.9785,1.39,0.9690
93,d_73,"[0,9169-1,0000]",0.9736,1.24,0.9666
95,~d_24,"[0,9715-1,0000]",0.9806,1.14,0.9799
96,a_17,"[0,0691-0,1534]",0.9797,1.38,0.9674
