Prog,Lit,Exact,Time
0,d_67,"[0,8469-1,0000]",84.10
0,~a_13,"[0,9365-1,0000]",83.63
2,d_39,"[0,8797-1,0000]",83.36
2,~a_19,"[0,7012-1,0000]",83.53
2,a_15,"[0,7169-0,9908]",85.02
3,d_75,"[0,9223-1,0000]",82.42
4,d_59,"[0,9993-1,0000]",82.65
5,d_33,"[0,8716-1,0000]",83.17
6,~d_42,"[0,9706-1,0000]",82.67
8,a_17,"[0,8258-0,9977]",92.62
9,d_21,"[0,9741-1,0000]",84.39
11,a_20,"[0,7828-0,9932]",85.47
12,a_7,"[0,9981-1,0000]",83.48
12,a_19,"[0,0854-0,0875]",87.98
13,~d_22,"[0,9901-1,0000]",85.52
14,~a_18,"[0,0171-0,0771]",89.03
16,d_30,"[0,9520-1,0000]",85.07
17,d_68,"[0,9504-1,0000]",84.72
17,a_18,"[0,6665-0,9663]",88.11
19,d_63,"[0,9504-1,0000]",84.72
19,a_16,"[0,0112-0,1616]",85.30
19,~a_16,"[0,8384-0,9888]",85.32
20,~d_30,"[0,9932-1,0000]",85.33
20,a_18,"[0,0058-0,1408]",85.88
22,d_44,"[0,7644-1,0000]",84.89
23,~d_45,"[0,9094-1,0000]",84.32
25,d_59,"[0,9317-1,0000]",84.88
26,~d_54,"[0,9533-1,0000]",84.30
29,a_20,"[0,6523-0,9980]",87.18
30,a_14,"[0,8902-1,0000]",85.52
31,d_50,"[0,9900-1,0000]",85.18
32,d_59,"[0,9917-1,0000]",85.38
34,d_69,"[0,7886-1,0000]",86.32
35,d_37,"[0,9254-1,0000]",85.76
36,~d_44,"[0,9970-1,0000]",85.61
37,d_44,"[0,9827-1,0000]",84.86
39,d_68,"[0,9885-1,0000]",84.31
40,d_55,"[0,9535-1,0000]",84.09
40,a_10,"[0,8392-1,0000]",83.80
40,a_18,"[0,7218-0,9955]",91.12
41,~a_1,"[0,9646-1,0000]",83.89
41,a_17,"[0,1214-0,1639]",87.88
42,a_11,"[0,9766-1,0000]",82.99
42,~a_19,"[0,8433-0,8620]",84.23
43,a_6,"[0,8854-1,0000]",82.07
43,a_18,"[0,0629-0,2478]",83.18
44,d_58,"[0,9313-1,0000]",83.69
44,a_19,"[0,6249-0,7717]",86.29
44,~a_17,"[0,7273-0,7691]",83.89
47,d_42,"[0,8467-1,0000]",82.42
47,a_15,"[0,7196-0,9926]",108.38
49,a_15,"[0,9861-0,9973]",90.23
50,a_8,"[0,9999-1,0000]",102.16
50,a_11,"[0,8980-1,0000]",101.90
50,a_18,"[0,1050-0,1577]",107.72
52,a_15,"[0,7710-0,9885]",115.84
57,d_39,"[0,9915-1,0000]",92.64
60,a_6,"[0,9977-1,0000]",91.46
61,d_32,"[0,8673-1,0000]",91.14
63,~d_66,"[1,0000-1,0000]",91.25
63,~a_16,"[0,0116-0,2435]",95.02
64,d_36,"[0,9900-1,0000]",92.65
64,~a_19,"[0,8586-0,9990]",96.89
65,d_43,"[0,8123-1,0000]",91.99
65,~a_18,"[0,1462-0,1907]",102.21
66,a_13,"[0,9528-1,0000]",93.39
66,a_15,"[0,8722-1,0000]",94.27
68,a_19,"[0,1257-0,3058]",94.67
69,a_8,"[0,9142-1,0000]",92.16
71,d_37,"[0,9064-1,0000]",90.89
71,a_14,"[0,7395-1,0000]",91.27
72,d_29,"[0,9971-1,0000]",91.68
72,a_19,"[0,7761-0,9042]",94.41
73,d_25,"[0,9890-1,0000]",110.92
73,~a_11,"[0,8666-1,0000]",110.69
73,a_15,"[0,8635-0,9296]",117.84
74,d_68,"[0,9883-1,0000]",133.67
74,a_19,"[0,9543-0,9948]",139.05
74,~a_19,"[0,0052-0,0457]",139.31
75,d_41,"[0,9900-1,0000]",139.06
75,a_15,"[0,8165-0,9686]",146.55
75,~a_17,"[0,0862-0,2105]",144.87
77,d_39,"[0,9419-1,0000]",139.16
78,~d_58,"[0,8507-1,0000]",136.38
78,~a_17,"[0,8097-0,9390]",144.02
81,d_57,"[0,9944-1,0000]",136.30
82,a_7,"[0,9624-1,0000]",132.58
83,~d_63,"[0,7927-1,0000]",138.27
86,a_4,"[0,9239-1,0000]",139.64
87,~a_23,"[0,9958-1,0000]",136.76
88,~a_15,"[0,5940-0,8258]",142.12
91,d_31,"[0,9449-1,0000]",137.59
92,~d_52,"[0,9882-1,0000]",133.48
92,a_20,"[0,9120-0,9935]",140.06
93,d_73,"[0,9418-1,0000]",134.05
95,~d_24,"[0,9907-1,0000]",138.39
96,a_17,"[0,0753-0,1407]",139.54
98,d_77,"[0,9891-1,0000]",136.87
100,~a_11,"[0,9357-1,0000]",135.68
100,a_17,"[0,0030-0,3626]",147.82
101,d_50,"[0,8981-1,0000]",136.68
101,a_15,"[0,0109-0,0155]",142.44
102,a_16,"[0,5896-0,9994]",138.25
102,a_17,"[0,7836-0,9533]",139.94
103,d_67,"[0,9955-1,0000]",132.57
103,a_13,"[0,6633-1,0000]",132.87
103,a_16,"[0,8660-0,9976]",141.21
104,~d_21,"[0,9992-1,0000]",132.51
104,~a_19,"[0,0000-0,2839]",137.52
105,d_28,"[0,8488-1,0000]",133.07
105,a_10,"[0,6916-1,0000]",135.41
105,~a_17,"[0,6916-0,9977]",136.33
