Prog,Lit,Intervalo,Metric,Time,Mass
0,d_67,"[0,0929-1,0000]",0.1096,11.28,0.1054
0,~a_13,"[0,0331-1,0000]",0.0354,11.38,0.1054
2,d_39,"[0,0809-1,0000]",0.0920,11.55,0.0826
2,~a_19,"[0,0603-1,0000]",0.0860,11.78,0.0826
2,a_15,"[0,0611-0,9999]",0.0842,12.05,0.0826
3,d_75,"[0,0549-1,0000]",0.0595,11.64,0.0636
4,d_59,"[0,0070-1,0000]",0.0070,11.40,0.0070
5,d_33,"[0,0003-1,0000]",0.0003,11.32,0.0014
6,~d_42,"[0,0073-1,0000]",0.0075,11.47,0.0093
8,a_17,"[1,0199-1,0000]",1.2316,13.00,1.0335
9,d_21,"[0,0312-1,0000]",0.0320,11.59,0.0317
11,a_20,"[0,0032-0,9996]",0.0046,11.78,0.0050
12,a_7,"[0,0068-1,0000]",0.0068,11.45,0.0068
12,a_19,"[0,0006-0,9937]",0.0068,11.98,0.0068
13,~d_22,"[0,0111-1,0000]",0.0112,11.41,0.0111
14,~a_18,"[0,0004-0,8887]",0.1188,12.03,0.1141
16,d_30,"[0,0189-1,0000]",0.0198,11.34,0.0249
17,d_68,"[0,0118-1,0000]",0.0124,11.63,0.0159
17,a_18,"[0,0043-1,0000]",0.0061,12.17,0.0159
19,d_63,"[0,0958-1,0000]",0.1009,11.44,0.1546
19,a_16,"[0,0003-0,9993]",0.0012,11.54,0.1546
19,~a_16,"[0,0007-0,9997]",0.0012,11.61,0.1546
20,~d_30,"[0,0087-1,0000]",0.0088,10.94,0.0087
20,a_18,"[0,0002-0,9943]",0.0069,11.39,0.0087
22,d_44,"[0,0502-1,0000]",0.0657,11.24,0.0606
23,~d_45,"[0,0616-1,0000]",0.0678,11.48,0.0617
25,d_59,"[0,0854-1,0000]",0.0917,11.70,0.0859
26,~d_54,"[0,0277-1,0000]",0.0291,11.12,0.0278
