Prog,Lit,Intervalo,Metric,Time,Mass
0,d_67,"[0,0443-1,0000]",0.0523,9.07,0.0471
0,~a_13,"[0,0468-1,0000]",0.0500,9.09,0.0471
2,d_39,"[0,0675-1,0000]",0.0768,12.53,0.0760
2,~a_19,"[0,0537-1,0000]",0.0766,12.60,0.0760
2,a_15,"[0,0536-0,9972]",0.0777,12.87,0.0760
3,d_75,"[0,0057-1,0000]",0.0062,12.38,0.0075
4,d_59,"[0,0789-1,0000]",0.0790,12.55,0.0792
5,d_33,"[0,0069-1,0000]",0.0079,11.85,0.0130
6,~d_42,"[0,0532-1,0000]",0.0548,11.46,0.0546
8,a_17,"[0,0018-0,9999]",0.0022,12.83,0.0254
9,d_21,"[0,0362-1,0000]",0.0371,11.83,0.0362
11,a_20,"[0,0693-0,9999]",0.0879,11.80,0.0869
12,a_7,"[0,0698-1,0000]",0.0699,11.68,0.0714
12,a_19,"[0,0678-0,9980]",0.0700,12.40,0.0714
13,~d_22,"[0,0283-1,0000]",0.0286,11.69,0.0284
14,~a_18,"[0,0016-0,9863]",0.0162,12.34,0.0193
16,d_30,"[0,0047-1,0000]",0.0049,11.71,0.0051
17,d_68,"[0,0141-1,0000]",0.0148,11.91,0.0166
17,a_18,"[0,0077-1,0000]",0.0111,12.60,0.0166
19,d_63,"[0,0445-1,0000]",0.0468,11.66,0.0478
19,a_16,"[0,0003-0,9568]",0.0512,11.80,0.0478
19,~a_16,"[0,0432-0,9997]",0.0512,11.74,0.0478
20,~d_30,"[0,0218-1,0000]",0.0220,11.65,0.0219
20,a_18,"[0,0001-0,9816]",0.0215,11.99,0.0219
22,d_44,"[0,0070-1,0000]",0.0091,11.69,0.0107
23,~d_45,"[0,0120-1,0000]",0.0132,11.71,0.0121
25,d_59,"[0,0418-1,0000]",0.0448,12.06,0.0444
26,~d_54,"[0,0155-1,0000]",0.0163,11.49,0.0205
29,a_20,"[0,0009-1,0000]",0.0014,10.93,0.0150
30,a_14,"[0,0087-1,0000]",0.0098,10.57,0.0563
31,d_50,"[0,0037-1,0000]",0.0037,10.83,0.0042
32,d_59,"[0,0694-1,0000]",0.0700,10.64,0.0695
34,d_69,"[0,0035-1,0000]",0.0044,10.28,0.0720
35,d_37,"[0,1017-1,0000]",0.1099,10.73,0.1072
36,~d_44,"[0,0076-1,0000]",0.0076,10.59,0.0076
37,d_44,"[0,0204-1,0000]",0.0208,10.03,0.0205
39,d_68,"[0,0974-1,0000]",0.0985,9.46,0.0977
40,d_55,"[0,6951-1,0000]",0.7290,9.38,0.6957
40,a_10,"[0,6954-1,0000]",0.8286,9.36,0.6957
40,a_18,"[0,6471-1,0000]",0.8910,10.56,0.6957
41,~a_1,"[0,0023-1,0000]",0.0024,9.44,0.0059
41,a_17,"[0,0002-0,9979]",0.0024,9.98,0.0059
42,a_11,"[0,0781-1,0000]",0.0799,9.50,0.0804
42,~a_19,"[0,0768-0,9965]",0.0818,9.62,0.0804
43,a_6,"[0,6492-1,0000]",0.7333,9.43,0.7063
43,a_18,"[0,0135-0,3638]",0.7971,9.64,0.7063
44,d_58,"[0,0295-1,0000]",0.0317,9.25,0.0309
44,a_19,"[0,0011-0,9717]",0.0345,9.83,0.0309
44,~a_17,"[0,0192-0,9920]",0.0284,9.28,0.0309
47,d_42,"[0,0410-1,0000]",0.0484,9.27,0.0434
47,a_15,"[0,0385-0,9999]",0.0531,12.21,0.0434
49,a_15,"[0,0156-1,0000]",0.0157,9.93,0.0188
50,a_8,"[0,6078-1,0000]",0.6079,9.42,0.6078
50,a_11,"[0,6049-1,0000]",0.6736,9.51,0.6078
50,a_18,"[0,0029-0,4052]",0.6310,10.08,0.6078
52,a_15,"[0,0037-0,9996]",0.0052,11.40,0.0052
57,d_39,"[0,0597-1,0000]",0.0602,9.34,0.0604
