Prog,Lit,Intervalo,Metric,Time,Mass
0,a_8,"[0,8841-1,0000]",0.9882,9.61,0.9819
0,~a_13,"[0,8815-1,0000]",0.9891,9.68,0.9819
1,d_64,"[0,9773-1,0000]",0.9773,16.77,0.9773
3,~d_51,"[0,9788-1,0000]",0.9788,19.73,0.9788
3,a_19,"[0,9205-0,9418]",0.9791,23.79,0.9788
3,a_16,"[0,0000-0,1020]",0.9817,22.54,0.9788
4,d_42,"[0,9732-1,0000]",0.9732,19.29,0.9732
4,a_16,"[0,7940-0,9772]",0.9813,20.04,0.9732
5,d_58,"[0,9149-1,0000]",0.9822,16.91,0.9782
6,~d_36,"[0,9743-1,0000]",0.9743,18.03,0.9743
6,a_11,"[0,9743-1,0000]",0.9743,18.09,0.9743
6,~a_17,"[0,0000-0,1781]",0.9904,31.27,0.9743
7,d_42,"[0,9661-1,0000]",0.9661,28.29,0.9661
8,a_6,"[0,9798-1,0000]",0.9798,16.83,0.9798
9,~d_60,"[0,9760-1,0000]",0.9760,16.76,0.9760
9,a_16,"[0,0065-0,0899]",0.9785,22.06,0.9760
11,d_64,"[0,9768-1,0000]",0.9768,21.52,0.9768
11,a_11,"[0,8922-1,0000]",0.9814,21.50,0.9768
11,a_19,"[0,7608-0,9957]",0.9826,24.60,0.9768
12,a_4,"[0,9809-1,0000]",0.9809,14.88,0.9809
12,a_15,"[0,0122-0,2421]",0.9877,24.12,0.9809
12,a_16,"[0,1001-0,1536]",0.9827,17.86,0.9809
13,~d_84,"[0,9675-1,0000]",0.9675,25.64,0.9675
13,a_16,"[0,9105-0,9952]",0.9715,31.26,0.9675
15,d_37,"[0,9795-1,0000]",0.9795,17.13,0.9795
15,a_17,"[0,9164-1,0000]",0.9828,19.89,0.9795
