Prog,Lit,Exact,Time
0,a_8,"[0,8947-1,0000]",1518.23
0,~a_13,"[0,8913-1,0000]",1513.11
1,d_64,"[1,0000-1,0000]",5625.12
3,~d_51,"[1,0000-1,0000]",4558.04
3,a_19,"[0,9395-0,9399]",5989.62
3,a_16,"[0,0001-0,0853]",5163.64
4,d_42,"[1,0000-1,0000]",2368.28
4,a_16,"[0,8042-0,9719]",2523.10
5,d_58,"[0,9315-1,0000]",2879.04
6,~d_36,"[1,0000-1,0000]",3088.16
6,a_11,"[1,0000-1,0000]",3076.64
6,~a_17,"[0,0000-0,1701]",3643.83
7,d_42,"[1,0000-1,0000]",8823.04
8,a_6,"[1,0000-1,0000]",7832.22
9,~d_60,"[1,0000-1,0000]",5908.46
9,a_16,"[0,0076-0,0709]",7270.53
11,d_64,"[1,0000-1,0000]",7695.36
11,a_11,"[0,9091-1,0000]",7686.26
11,a_19,"[0,7730-0,9944]",8472.82
12,a_4,"[1,0000-1,0000]",4445.23
12,a_15,"[0,0152-0,2355]",6257.23
12,a_16,"[0,1093-0,1461]",5734.83
13,~d_84,"[1,0000-1,0000]",9714.16
13,a_16,"[0,9367-0,9945]",12215.68
15,d_37,"[1,0000-1,0000]",3944.86
15,a_17,"[0,9322-0,9997]",4732.04
153,d_75,"[0,8656-1,0000]",3384.11
153,~a_16,"[0,0038-0,0988]",3975.93
154,~d_23,"[1,0000-1,0000]",7684.45
154,~a_18,"[0,5425-0,8827]",8710.19
155,d_46,"[1,0000-1,0000]",3473.10
156,d_64,"[0,9777-1,0000]",3523.56
156,~a_11,"[1,0000-1,0000]",3519.62
156,~a_16,"[0,1216-0,1321]",4037.59
157,a_4,"[1,0000-1,0000]",4456.51
157,a_15,"[1,0000-1,0000]",4820.84
157,a_19,"[0,9708-0,9756]",4814.14
158,d_47,"[1,0000-1,0000]",2335.32
159,d_29,"[0,9062-1,0000]",4634.91
159,~a_13,"[0,9984-1,0000]",4633.74
159,a_15,"[0,7793-1,0000]",5793.87
161,d_24,"[1,0000-1,0000]",9300.04
161,a_19,"[0,9354-0,9354]",11532.05
163,d_59,"[1,0000-1,0000]",5550.48
