Prog,Lit,Intervalo,Metric,Time,Mass
0,a_8,"[0,0037-1,0000]",0.0042,343.98,0.0041
0,~a_13,"[0,0037-1,0000]",0.0042,344.96,0.0041
1,d_64,"[0,0458-1,0000]",0.0458,320.46,0.0458
3,~d_51,"[0,0114-1,0000]",0.0114,288.43,0.0114
3,a_19,"[0,0111-0,9997]",0.0114,395.76,0.0114
3,a_16,"[0,0000-0,9907]",0.0101,330.93,0.0114
4,d_42,"[0,0132-1,0000]",0.0132,268.42,0.0132
4,a_16,"[0,0075-0,9988]",0.0105,287.17,0.0132
5,d_58,"[0,0072-1,0000]",0.0077,279.25,0.0080
6,~d_36,"[0,0167-1,0000]",0.0167,283.01,0.0167
6,a_11,"[0,0167-1,0000]",0.0167,283.13,0.0167
6,~a_17,"[0,0000-0,9851]",0.0180,337.84,0.0167
7,d_42,"[0,0411-1,0000]",0.0411,292.85,0.0411
