Prog,Lit,Intervalo,Metric,Time,Mass
0,a_5,"[0,8396-1,0000]",0.9403,0.88,0.9200
1,a_18,"[0,0121-0,0829]",0.9389,0.86,0.9361
9,~d_38,"[0,8369-1,0000]",0.9259,1.28,0.8981
9,a_18,"[0,0468-0,2509]",0.9230,1.34,0.8981
11,a_19,"[0,7976-1,0000]",0.9666,0.91,0.9500
11,a_20,"[0,0156-0,1157]",0.9574,0.95,0.9500
12,d_59,"[0,8769-1,0000]",0.9621,0.89,0.9467
12,~a_11,"[0,8723-1,0000]",0.9627,0.93,0.9467
12,a_19,"[0,8195-0,9548]",0.9608,1.10,0.9467
13,~a_15,"[0,0000-0,0679]",0.9321,1.23,0.9321
15,a_3,"[0,8815-1,0000]",0.9454,1.08,0.9294
17,d_68,"[0,8402-1,0000]",0.9133,1.23,0.8999
21,d_68,"[0,9236-1,0000]",0.9621,0.81,0.9509
22,d_74,"[0,9187-1,0000]",0.9552,1.05,0.9479
22,a_17,"[0,0363-0,2163]",0.9728,1.27,0.9479
24,d_52,"[0,7741-1,0000]",0.9531,1.36,0.9148
24,~a_21,"[0,6854-0,8814]",0.9511,1.55,0.9148
25,~a_15,"[0,0003-0,2301]",0.9516,1.37,0.9147
28,~d_31,"[0,8569-1,0000]",0.8834,1.15,0.8727
29,d_76,"[0,9265-1,0000]",0.9265,1.23,0.9265
30,d_32,"[0,8999-1,0000]",0.9554,0.95,0.9235
30,~a_19,"[0,0630-0,2341]",0.9406,1.01,0.9235
31,~d_48,"[0,8903-1,0000]",0.9573,0.92,0.9489
33,~d_59,"[0,8351-1,0000]",0.9240,1.02,0.9121
33,a_15,"[0,0022-0,0901]",0.9121,1.08,0.9121
33,a_19,"[0,8392-0,9946]",0.9294,1.08,0.9121
34,d_42,"[0,8940-1,0000]",0.9239,1.26,0.9111
34,a_12,"[0,7967-1,0000]",0.9314,1.27,0.9111
35,d_69,"[0,9156-1,0000]",0.9156,0.90,0.9156
35,a_13,"[0,7974-1,0000]",0.9497,0.95,0.9156
38,d_31,"[0,8506-1,0000]",0.9425,0.92,0.9168
39,d_46,"[0,9142-1,0000]",0.9529,0.99,0.9381
40,~d_63,"[0,9239-1,0000]",0.9332,1.03,0.9297
40,a_17,"[0,8080-0,9591]",0.9457,1.06,0.9297
41,d_24,"[0,8414-1,0000]",0.8952,1.35,0.8807
42,a_21,"[0,0667-0,1887]",0.9136,1.24,0.9029
42,a_19,"[0,7585-0,8795]",0.9161,1.29,0.9029
43,a_12,"[0,8860-1,0000]",0.9230,1.39,0.9119
43,~a_18,"[0,0004-0,2028]",0.9434,1.42,0.9119
44,~a_18,"[0,8231-0,9785]",0.9747,0.86,0.9573
46,~a_9,"[0,8481-1,0000]",0.9269,1.55,0.9060
46,a_18,"[0,7731-0,9905]",0.9399,1.61,0.9060
48,d_29,"[0,9176-1,0000]",0.9363,0.87,0.9176
