Prog,Lit,Exact,Time
0,a_5,"[0,8929-1,0000]",137.35
1,a_18,"[0,0329-0,0432]",161.12
9,~d_38,"[0,9039-1,0000]",138.78
9,a_18,"[0,0687-0,2064]",148.48
11,a_19,"[0,8146-0,9895]",153.53
11,a_20,"[0,0182-0,0782]",145.27
12,d_59,"[0,9115-1,0000]",139.75
12,~a_11,"[0,9062-1,0000]",139.76
12,a_19,"[0,8429-0,9429]",160.05
13,~a_15,"[0,0000--0,0000]",152.20
15,a_3,"[0,9324-1,0000]",137.46
17,d_68,"[0,9200-1,0000]",137.07
21,d_68,"[0,9600-1,0000]",139.66
22,d_74,"[0,9618-1,0000]",142.20
22,a_17,"[0,0456-0,2027]",158.10
24,d_52,"[0,8122-1,0000]",137.46
24,~a_21,"[0,7075-0,8622]",157.76
25,~a_15,"[0,0044-0,1950]",173.93
28,~d_31,"[0,9700-1,0000]",136.33
29,d_76,"[1,0000-1,0000]",133.68
30,d_32,"[0,9419-1,0000]",134.94
30,~a_19,"[0,0787-0,1975]",151.06
31,~d_48,"[0,9300-1,0000]",137.77
33,~d_59,"[0,9038-1,0000]",134.33
33,a_15,"[0,0120-0,0120]",156.06
33,a_19,"[0,8907-0,9820]",152.37
34,d_42,"[0,9676-1,0000]",139.10
34,a_12,"[0,8554-1,0000]",139.49
35,d_69,"[1,0000-1,0000]",140.41
35,a_13,"[0,8397-1,0000]",140.60
38,d_31,"[0,9025-1,0000]",138.56
39,d_46,"[0,9594-1,0000]",137.47
40,~d_63,"[0,9900-1,0000]",136.69
40,a_17,"[0,8476-0,9500]",147.64
41,d_24,"[0,9400-1,0000]",139.88
42,a_21,"[0,0890-0,1280]",141.39
42,a_19,"[0,8139-0,8544]",148.53
43,a_12,"[0,9600-1,0000]",134.33
43,~a_18,"[0,0121-0,1666]",138.02
44,~a_18,"[0,8335-0,9670]",152.08
46,~a_9,"[0,9150-1,0000]",136.03
46,a_18,"[0,8160-0,9833]",139.48
48,d_29,"[0,9800-1,0000]",138.70
50,a_13,"[0,8320-1,0000]",140.07
50,a_18,"[0,8221-0,9901]",168.69
52,~d_24,"[0,8721-1,0000]",70.85
53,~a_3,"[0,9700-1,0000]",139.66
53,~a_11,"[0,9700-1,0000]",139.37
53,a_17,"[0,8402-0,9105]",152.01
55,d_65,"[0,9100-1,0000]",138.54
55,a_10,"[0,9701-1,0000]",138.48
55,~a_18,"[0,1417-0,1954]",162.37
56,~d_72,"[0,9702-1,0000]",139.74
59,a_20,"[0,1285-0,2185]",144.81
63,a_17,"[0,0652-0,2389]",262.50
63,~a_17,"[0,7611-0,9348]",284.67
65,d_26,"[0,9200-1,0000]",139.36
65,~a_12,"[0,9900-1,0000]",139.56
66,a_3,"[0,9638-1,0000]",137.11
68,d_37,"[0,9039-1,0000]",136.12
68,a_19,"[0,8844-0,9997]",154.83
69,d_45,"[0,7943-1,0000]",137.09
69,~a_18,"[0,7057-0,8236]",147.00
70,d_33,"[0,9600-1,0000]",136.84
70,a_20,"[0,7615-0,8187]",170.41
71,d_66,"[0,9214-1,0000]",140.51
72,d_47,"[0,9091-1,0000]",139.47
72,~a_17,"[0,8606-1,0000]",172.16
74,~a_8,"[0,9149-1,0000]",139.51
74,a_10,"[0,9149-1,0000]",139.49
74,a_19,"[0,8717-1,0000]",147.25
75,d_62,"[0,9800-1,0000]",136.99
75,a_18,"[0,8012-0,9047]",145.79
76,d_46,"[0,9694-1,0000]",68.13
76,a_17,"[0,8742-0,8742]",85.62
77,~d_61,"[1,0000-1,0000]",140.85
78,d_54,"[0,9200-1,0000]",138.75
79,d_30,"[0,9668-1,0000]",135.56
81,~d_67,"[0,9900-1,0000]",135.67
81,a_13,"[0,9108-1,0000]",135.48
82,d_59,"[0,8980-1,0000]",69.92
83,d_34,"[0,8878-1,0000]",139.79
84,d_63,"[0,9353-1,0000]",137.84
87,d_54,"[0,9600-1,0000]",139.73
87,a_21,"[0,0598-0,1410]",147.24
88,d_48,"[1,0000-1,0000]",141.37
89,d_47,"[0,9664-1,0000]",141.13
89,~a_12,"[0,9800-1,0000]",141.07
89,~a_18,"[0,0685-0,2129]",153.54
90,a_17,"[0,8417-0,9340]",147.62
91,d_29,"[1,0000-1,0000]",141.56
91,a_15,"[0,0641-0,1610]",187.67
92,a_17,"[0,9300-1,0000]",137.45
93,a_16,"[0,0601-0,1501]",146.30
94,~d_55,"[0,9600-1,0000]",138.46
95,d_49,"[1,0000-1,0000]",139.48
96,~a_18,"[0,0594-0,1306]",154.84
98,a_15,"[0,7558-0,9953]",148.80
100,d_21,"[0,9569-1,0000]",136.42
101,d_67,"[0,9600-1,0000]",137.77
101,a_17,"[0,7863-0,7863]",174.12
102,a_5,"[0,9800-1,0000]",140.30
