Prog,Lit,Intervalo,Metric,Time,Mass
0,a_5,"[0,0148-1,0000]",0.0165,9.47,0.0162
1,a_18,"[0,0055-0,9891]",0.0165,11.23,0.0171
9,~d_38,"[0,0043-1,0000]",0.0048,11.35,0.0532
9,a_18,"[0,0020-0,9520]",0.0580,12.01,0.0532
11,a_19,"[0,0067-0,9993]",0.0089,10.80,0.0105
11,a_20,"[0,0000-0,9898]",0.0109,10.21,0.0105
12,d_59,"[0,0120-1,0000]",0.0132,9.81,0.0194
12,~a_11,"[0,0150-1,0000]",0.0166,9.79,0.0194
12,a_19,"[0,0049-0,9999]",0.0055,10.83,0.0194
13,~a_15,"[0,0000-0,8972]",0.1028,10.68,0.1028
15,a_3,"[0,0158-1,0000]",0.0169,9.85,0.0162
17,d_68,"[0,0581-1,0000]",0.0631,9.84,0.0589
21,d_68,"[0,0114-1,0000]",0.0118,9.96,0.0133
22,d_74,"[0,0364-1,0000]",0.0378,9.93,0.0373
22,a_17,"[0,0000-0,9989]",0.0013,10.78,0.0373
24,d_52,"[0,0037-1,0000]",0.0046,9.79,0.0056
24,~a_21,"[0,0009-0,9995]",0.0016,10.72,0.0056
25,~a_15,"[0,0000-0,9963]",0.0046,11.87,0.0449
28,~d_31,"[0,0875-1,0000]",0.0902,9.35,0.0879
29,d_76,"[0,0595-1,0000]",0.0595,9.32,0.0595
30,d_32,"[0,0075-1,0000]",0.0080,9.10,0.0110
30,~a_19,"[0,0014-0,9988]",0.0029,9.90,0.0110
31,~d_48,"[0,0126-1,0000]",0.0136,9.34,0.0128
33,~d_59,"[0,0184-1,0000]",0.0204,9.06,0.0244
33,a_15,"[0,0003-0,9759]",0.0244,10.46,0.0244
33,a_19,"[0,0235-1,0000]",0.0260,10.09,0.0244
34,d_42,"[0,0250-1,0000]",0.0259,9.19,0.0258
34,a_12,"[0,0168-1,0000]",0.0196,9.22,0.0258
35,d_69,"[0,0090-1,0000]",0.0090,9.19,0.0090
35,a_13,"[0,0045-1,0000]",0.0053,9.26,0.0090
38,d_31,"[0,5997-1,0000]",0.6645,9.28,0.6006
39,d_46,"[0,0097-1,0000]",0.0102,9.24,0.0127
40,~d_63,"[0,0475-1,0000]",0.0480,9.40,0.0484
40,a_17,"[0,0456-0,9996]",0.0513,10.09,0.0484
41,d_24,"[0,0115-1,0000]",0.0122,9.42,0.0438
42,a_21,"[0,0023-0,9961]",0.0064,9.30,0.0077
42,a_19,"[0,0020-0,9959]",0.0064,9.68,0.0077
43,a_12,"[0,0067-1,0000]",0.0070,9.33,0.0092
43,~a_18,"[0,0003-0,9962]",0.0048,9.50,0.0092
44,~a_18,"[0,1200-0,9975]",0.1413,9.84,0.1949
46,~a_9,"[0,1044-1,0000]",0.1141,9.15,0.1063
46,a_18,"[0,1034-0,9999]",0.1243,9.34,0.1063
48,d_29,"[0,0531-1,0000]",0.0541,9.01,0.0532
