Prog,Lit,Exact,Time
1,a_15,"[0,0212-0,0212]",144.75
3,~d_57,"[0,9100-1,0000]",96.28
3,a_15,"[0,9020-0,9498]",111.06
4,d_35,"[0,9438-1,0000]",102.53
4,~a_11,"[0,8851-1,0000]",102.64
6,a_14,"[0,8798-0,9341]",106.91
6,a_17,"[0,9841-0,9841]",126.14
7,a_16,"[0,9467-0,9967]",105.23
7,~a_16,"[0,0033-0,0533]",105.47
9,~d_25,"[0,9315-1,0000]",102.20
10,a_18,"[0,9182-1,0000]",103.38
11,a_17,"[0,1448-0,2046]",118.63
11,a_14,"[0,8874-0,9999]",118.76
13,d_27,"[0,8749-1,0000]",101.62
14,a_18,"[0,8657-0,9597]",107.58
15,a_9,"[0,9416-1,0000]",102.49
15,~a_11,"[0,8663-1,0000]",102.55
15,~a_17,"[0,1203-0,1203]",135.10
16,d_25,"[0,7648-1,0000]",102.52
16,a_16,"[0,8756-0,9285]",143.06
16,a_14,"[0,1193-0,1893]",108.56
18,a_16,"[0,1859-0,2059]",119.16
19,d_52,"[0,8932-1,0000]",103.37
19,~a_16,"[0,6815-0,7115]",122.60
20,~d_54,"[0,8350-1,0000]",103.52
20,~a_15,"[0,8662-0,9081]",132.73
24,d_54,"[1,0000-1,0000]",102.32
24,a_14,"[0,9187-0,9501]",105.42
26,~d_37,"[0,8321-1,0000]",51.38
27,d_32,"[0,8534-1,0000]",102.63
28,d_34,"[1,0000-1,0000]",103.76
29,d_19,"[0,9598-1,0000]",103.94
30,~d_42,"[1,0000-1,0000]",103.62
30,~a_15,"[0,9440-0,9440]",111.21
31,a_13,"[0,9600-1,0000]",103.96
32,a_15,"[0,0064-0,2009]",112.01
33,~d_43,"[1,0000-1,0000]",103.46
33,~a_16,"[0,0013-0,1385]",113.05
35,d_59,"[1,0000-1,0000]",104.43
36,a_18,"[0,7307-0,8705]",113.21
37,d_67,"[0,9600-1,0000]",104.84
38,d_23,"[1,0000-1,0000]",104.01
39,~d_41,"[1,0000-1,0000]",103.77
39,a_16,"[0,8201-0,9787]",150.09
40,d_60,"[0,9725-1,0000]",103.46
41,d_51,"[0,8676-1,0000]",103.62
42,d_52,"[0,9790-1,0000]",102.71
43,a_12,"[0,9012-1,0000]",102.72
43,a_17,"[0,9988-0,9988]",105.40
