Prog,Lit,Intervalo,Metric,Time,Mass
1,a_15,"[0,0042-0,9944]",0.0097,25.14,0.0097
3,~d_57,"[0,0180-1,0000]",0.0198,17.84,0.0189
3,a_15,"[0,0058-0,9869]",0.0198,22.67,0.0189
4,d_35,"[0,0081-1,0000]",0.0086,17.47,0.0131
4,~a_11,"[0,0126-1,0000]",0.0143,17.58,0.0131
6,a_14,"[0,0074-0,9994]",0.0085,19.50,0.0090
6,a_17,"[0,0088-0,9999]",0.0090,23.78,0.0090
7,a_16,"[0,0315-0,9996]",0.0336,19.15,0.0319
7,~a_16,"[0,0004-0,9685]",0.0336,18.88,0.0319
9,~d_25,"[0,0064-1,0000]",0.0068,17.85,0.0147
10,a_18,"[0,0065-1,0000]",0.0071,17.84,0.0094
11,a_17,"[0,0110-0,9997]",0.0120,22.03,0.0114
11,a_14,"[0,0025-1,0000]",0.0028,22.32,0.0114
13,d_27,"[0,1329-1,0000]",0.1519,18.11,0.1387
14,a_18,"[0,0281-0,9965]",0.0349,20.17,0.0323
15,a_9,"[0,1964-1,0000]",0.2085,17.85,0.1981
15,~a_11,"[0,1964-1,0000]",0.2267,18.04,0.1981
15,~a_17,"[0,0980-0,8999]",0.1981,27.10,0.1981
16,d_25,"[0,0109-1,0000]",0.0143,17.14,0.1009
16,a_16,"[0,0996-1,0000]",0.1052,23.55,0.1009
16,a_14,"[0,0825-0,9816]",0.1085,19.70,0.1009
18,a_16,"[0,0000-1,0000]",0.0000,19.49,0.0000
19,d_52,"[0,0029-1,0000]",0.0033,17.65,0.0037
19,~a_16,"[0,0001-0,9967]",0.0035,22.43,0.0037
20,~d_54,"[0,0063-1,0000]",0.0075,17.67,0.0077
20,~a_15,"[0,0058-0,9990]",0.0071,24.83,0.0077
24,d_54,"[0,0716-1,0000]",0.0716,18.34,0.0716
24,a_14,"[0,0710-0,9997]",0.0737,18.62,0.0716
26,~d_37,"[0,0000-1,0000]",0.0000,9.00,0.0001
27,d_32,"[0,0002-1,0000]",0.0003,17.70,0.0005
28,d_34,"[0,0174-1,0000]",0.0174,17.64,0.0174
29,d_19,"[0,1060-1,0000]",0.1105,17.16,0.1207
30,~d_42,"[0,0010-1,0000]",0.0010,17.77,0.0010
30,~a_15,"[0,0009-0,9999]",0.0010,19.35,0.0010
31,a_13,"[0,0264-1,0000]",0.0275,17.02,0.0308
32,a_15,"[0,0002-0,9933]",0.0085,21.35,0.0118
33,~d_43,"[0,0006-1,0000]",0.0006,17.77,0.0006
33,~a_16,"[0,0000-0,9998]",0.0002,19.78,0.0006
35,d_59,"[0,0310-1,0000]",0.0310,16.91,0.0310
36,a_18,"[0,0044-0,9908]",0.0157,20.30,0.0282
37,d_67,"[0,0034-1,0000]",0.0036,19.16,0.0064
38,d_23,"[0,0118-1,0000]",0.0118,18.36,0.0118
39,~d_41,"[0,0055-1,0000]",0.0055,18.13,0.0055
39,a_16,"[0,0017-1,0000]",0.0020,27.13,0.0055
40,d_60,"[0,0100-1,0000]",0.0103,17.04,0.0125
41,d_51,"[0,0011-1,0000]",0.0012,17.85,0.0029
42,d_52,"[0,2108-1,0000]",0.2153,18.32,0.2110
43,a_12,"[0,0472-1,0000]",0.0524,18.83,0.0472
43,a_17,"[0,0471-0,9999]",0.0472,19.51,0.0472
44,~d_61,"[0,0104-1,0000]",0.0118,18.88,0.0131
44,a_14,"[0,0122-1,0000]",0.0129,18.97,0.0131
45,a_10,"[0,1648-1,0000]",0.1772,4.75,0.1688
45,~a_16,"[0,1648-1,0000]",0.1717,4.97,0.1688
46,~d_54,"[0,0865-1,0000]",0.0933,18.52,0.0901
47,~d_22,"[0,0779-1,0000]",0.0904,17.98,0.0796
48,d_50,"[0,0002-1,0000]",0.0002,9.55,0.0004
49,d_36,"[0,0137-1,0000]",0.0149,18.07,0.0137
49,a_16,"[0,0133-0,9997]",0.0144,20.30,0.0137
50,~d_48,"[0,0249-1,0000]",0.0257,18.06,0.0249
52,~a_15,"[0,0012-1,0000]",0.0012,8.88,0.0013
53,a_12,"[0,0275-1,0000]",0.0286,16.93,0.0275
54,d_62,"[0,0946-1,0000]",0.0995,17.97,0.0951
55,a_10,"[0,0003-1,0000]",0.0003,8.32,0.0005
56,d_52,"[0,0708-1,0000]",0.0761,17.33,0.0709
57,~a_17,"[0,0201-0,9978]",0.0245,21.21,0.0267
58,~a_10,"[0,1074-1,0000]",0.1125,18.14,0.1085
59,a_9,"[0,0066-1,0000]",0.0068,18.19,0.0066
59,~a_16,"[0,0032-0,9967]",0.0067,18.38,0.0066
61,a_10,"[0,2618-1,0000]",0.2621,17.84,0.2618
61,~a_16,"[0,1339-0,8733]",0.2719,20.17,0.2618
62,~a_12,"[0,0532-1,0000]",0.0670,17.31,0.0535
62,a_16,"[0,0531-0,9996]",0.0571,19.91,0.0535
63,a_12,"[0,0840-1,0000]",0.0923,18.06,0.0890
63,a_18,"[0,0836-0,9997]",0.0923,19.86,0.0890
64,d_37,"[1,2285-1,0000]",1.3222,18.82,1.2285
65,~d_42,"[0,0229-1,0000]",0.0233,23.48,0.0236
65,~a_18,"[0,0194-1,0000]",0.0200,23.40,0.0236
65,~a_15,"[0,0054-0,9818]",0.0236,27.01,0.0236
67,d_53,"[0,0008-1,0000]",0.0009,8.79,0.0009
68,~a_0,"[0,0712-1,0000]",0.0726,17.95,0.0712
68,a_17,"[0,0656-0,9947]",0.0746,23.60,0.0712
68,~a_16,"[0,0025-0,9996]",0.0033,18.35,0.0712
69,d_39,"[0,0012-1,0000]",0.0013,17.32,0.0020
69,a_17,"[0,0015-1,0000]",0.0015,19.53,0.0020
70,~d_34,"[0,0016-1,0000]",0.0018,17.19,0.0018
70,~a_16,"[0,0013-1,0000]",0.0013,20.47,0.0018
71,d_30,"[0,1033-1,0000]",0.1037,17.62,0.1036
71,a_18,"[0,1031-0,9995]",0.1036,20.04,0.1036
72,d_54,"[0,0987-1,0000]",0.0987,9.18,0.0987
72,~a_11,"[0,0979-1,0000]",0.1074,8.94,0.0987
72,a_16,"[0,0000-1,0000]",0.0001,9.89,0.0987
73,d_42,"[0,0166-1,0000]",0.0168,9.71,0.0179
73,~a_16,"[0,0000-0,9942]",0.0065,12.82,0.0179
74,d_36,"[0,0042-1,0000]",0.0046,17.99,0.0044
74,a_14,"[0,0041-1,0000]",0.0054,20.00,0.0044
74,a_16,"[0,0000-0,9958]",0.0049,22.04,0.0044
77,~d_26,"[0,0730-1,0000]",0.0760,18.02,0.0773
77,a_11,"[0,0773-1,0000]",0.0789,17.75,0.0773
77,a_16,"[0,0709-0,9939]",0.0801,20.59,0.0773
79,a_14,"[1,0037-0,9998]",1.0912,20.44,1.0289
79,a_16,"[0,9900-0,9860]",1.0912,21.04,1.0289
82,d_44,"[0,1025-1,0000]",0.1124,23.67,0.1028
82,~a_19,"[0,1013-0,9993]",0.1082,25.00,0.1028
83,d_25,"[0,0065-1,0000]",0.0071,17.81,0.0068
85,a_10,"[1,2768-1,0000]",1.4402,9.27,1.2773
87,a_16,"[0,0130-0,9847]",0.0371,26.85,0.0362
88,a_3,"[0,1334-1,0000]",0.1334,17.99,0.1334
88,a_16,"[0,1323-1,0000]",0.1642,18.24,0.1334
89,d_27,"[0,0052-1,0000]",0.0057,8.82,0.0053
90,~d_31,"[0,2379-1,0000]",0.2379,17.58,0.2379
90,a_15,"[0,2326-0,9947]",0.2601,20.75,0.2379
91,d_29,"[0,0779-1,0000]",0.0810,17.47,0.0779
92,a_12,"[0,1894-1,0000]",0.1952,17.81,0.1899
92,~a_14,"[0,1737-0,9843]",0.1952,22.89,0.1899
93,~a_12,"[0,1241-1,0000]",0.1241,17.88,0.1241
93,~a_16,"[0,0023-0,8782]",0.1241,21.24,0.1241
94,d_39,"[0,0067-1,0000]",0.0073,4.68,0.0162
97,~a_17,"[0,0003-0,9095]",0.1039,19.14,0.0977
