Prog,Lit,Intervalo,Metric,Time,Mass
1,a_15,"[0,0108-0,8996]",0.1111,31.22,0.1111
3,~d_57,"[0,0235-1,0000]",0.0258,18.22,0.0881
3,a_15,"[0,0866-0,9994]",0.0916,21.27,0.0881
4,d_35,"[0,0471-1,0000]",0.0499,18.22,0.0866
4,~a_11,"[0,0538-1,0000]",0.0607,18.34,0.0866
6,a_14,"[0,0805-0,9978]",0.0875,18.61,0.1212
6,a_17,"[0,1210-0,9998]",0.1212,21.83,0.1212
7,a_16,"[0,0820-0,9998]",0.0865,18.10,0.0863
7,~a_16,"[0,0002-0,9180]",0.0865,18.29,0.0863
9,~d_25,"[0,5543-1,0000]",0.5950,17.23,0.5952
