Prog,Lit,Intervalo,Metric,Time,Mass
0,~a_4,"[0,9111-1,0000]",0.9884,20.08,0.9859
1,~d_16,"[0,9758-1,0000]",0.9903,15.76,0.9885
2,a_0,"[0,8676-1,0000]",0.9903,11.61,0.9863
2,a_5,"[0,7984-1,0000]",0.9928,11.57,0.9863
2,~a_7,"[0,8205-0,8865]",0.9891,12.03,0.9863
4,d_14,"[0,9423-1,0000]",0.9811,27.46,0.9773
4,~a_5,"[0,9462-1,0000]",0.9810,27.74,0.9773
5,a_3,"[0,9623-1,0000]",0.9844,21.77,0.9833
6,d_13,"[0,8612-1,0000]",0.9846,14.78,0.9829
8,d_14,"[0,8515-1,0000]",0.9848,30.05,0.9810
8,a_6,"[0,8022-1,0000]",0.9903,30.23,0.9810
10,~d_17,"[0,9473-1,0000]",0.9867,26.14,0.9835
10,a_7,"[0,1312-0,3592]",0.9892,26.20,0.9835
10,~a_8,"[0,8307-0,9159]",0.9863,26.17,0.9835
13,~d_9,"[0,9078-1,0000]",0.9897,17.84,0.9873
14,d_15,"[0,7808-1,0000]",0.9970,14.35,0.9924
15,~d_11,"[0,9815-1,0000]",0.9816,20.09,0.9815
15,~a_7,"[0,0999-0,1199]",0.9822,20.17,0.9815
16,d_14,"[0,9520-1,0000]",0.9916,10.11,0.9899
16,~a_8,"[0,0000-0,0758]",0.9926,10.09,0.9899
17,a_1,"[0,9868-1,0000]",0.9869,17.55,0.9868
17,a_8,"[0,9044-0,9595]",0.9889,17.67,0.9868
19,a_1,"[0,7906-1,0000]",0.9909,17.91,0.9856
19,a_8,"[0,9165-0,9923]",0.9884,18.34,0.9856
20,a_7,"[0,8316-1,0000]",0.9869,5.40,0.9801
21,~a_1,"[0,8583-1,0000]",0.9868,17.92,0.9833
21,~a_9,"[0,0865-0,1330]",0.9866,18.00,0.9833
22,d_9,"[0,9269-1,0000]",0.9838,20.04,0.9820
22,a_7,"[0,9156-0,9985]",0.9843,20.04,0.9820
22,~a_8,"[0,0302-0,2312]",0.9886,20.00,0.9820
24,~d_16,"[0,8540-1,0000]",0.9931,10.97,0.9900
25,~a_8,"[0,0784-0,1171]",0.9907,17.22,0.9870
25,a_7,"[0,7398-0,7542]",0.9876,17.41,0.9870
26,a_7,"[0,2990-0,3821]",0.9906,17.10,0.9880
27,a_5,"[0,8987-1,0000]",0.9881,19.62,0.9847
28,~d_16,"[0,9640-1,0000]",0.9858,11.17,0.9840
29,d_17,"[0,8862-1,0000]",0.9844,21.91,0.9793
30,a_0,"[0,9632-1,0000]",0.9937,7.23,0.9900
30,~a_9,"[0,8553-0,9452]",0.9940,7.39,0.9900
30,a_9,"[0,0548-0,1447]",0.9940,7.32,0.9900
31,a_7,"[0,6464-0,9152]",0.9925,14.69,0.9862
33,d_13,"[0,8923-1,0000]",0.9867,12.17,0.9843
33,a_9,"[0,9724-0,9968]",0.9858,12.34,0.9843
33,~a_9,"[0,0032-0,0276]",0.9858,12.29,0.9843
35,d_14,"[0,8832-1,0000]",0.9909,18.13,0.9875
35,a_8,"[0,1446-0,3323]",0.9926,18.34,0.9875
36,a_2,"[0,9589-1,0000]",0.9935,15.30,0.9919
37,a_9,"[0,0448-0,3602]",0.9905,27.76,0.9847
39,~a_1,"[0,9785-1,0000]",0.9869,18.89,0.9861
40,a_3,"[0,9695-1,0000]",0.9866,15.83,0.9839
41,d_16,"[0,9576-1,0000]",0.9879,16.32,0.9867
41,a_8,"[0,7514-0,9995]",0.9925,16.34,0.9867
41,a_7,"[0,7320-0,9576]",0.9926,16.51,0.9867
42,d_10,"[0,9880-1,0000]",0.9889,12.57,0.9886
42,~a_7,"[0,6432-0,6770]",0.9904,12.82,0.9886
43,a_2,"[0,9758-1,0000]",0.9842,20.89,0.9834
43,a_8,"[0,7856-0,9997]",0.9911,21.00,0.9834
44,d_10,"[0,9775-1,0000]",0.9804,20.04,0.9796
45,~d_11,"[0,9788-1,0000]",0.9865,13.19,0.9852
45,~a_8,"[0,1748-0,2444]",0.9876,13.97,0.9852
45,a_8,"[0,7556-0,8252]",0.9876,13.89,0.9852
46,d_13,"[0,9888-1,0000]",0.9888,10.67,0.9888
46,a_5,"[0,9796-1,0000]",0.9903,10.61,0.9888
46,~a_7,"[0,1226-0,1346]",0.9891,10.61,0.9888
47,~a_7,"[0,8941-1,0000]",0.9856,18.42,0.9800
47,~a_9,"[0,7882-0,8483]",0.9818,18.86,0.9800
49,a_0,"[0,7862-1,0000]",0.9880,20.09,0.9820
50,a_3,"[0,9263-1,0000]",0.9874,28.35,0.9840
51,d_14,"[0,9758-1,0000]",0.9835,24.58,0.9825
53,~a_9,"[0,0054-0,1995]",0.9932,13.48,0.9868
54,a_4,"[0,9557-1,0000]",0.9821,11.17,0.9800
54,~a_8,"[0,7822-0,8889]",0.9865,11.30,0.9800
57,d_10,"[0,9849-1,0000]",0.9876,14.94,0.9867
57,a_6,"[0,7816-1,0000]",0.9911,14.87,0.9867
59,a_5,"[0,8479-1,0000]",0.9888,23.81,0.9794
59,~a_7,"[0,0017-0,0456]",0.9831,24.79,0.9794
60,a_1,"[0,9649-1,0000]",0.9914,15.42,0.9894
62,d_16,"[0,9429-1,0000]",0.9863,20.09,0.9849
62,a_7,"[0,8351-0,9286]",0.9884,20.21,0.9849
63,~a_2,"[0,9876-1,0000]",0.9879,13.51,0.9877
63,~a_5,"[0,9148-1,0000]",0.9911,13.61,0.9877
63,a_8,"[0,7920-0,8745]",0.9904,13.86,0.9877
64,d_12,"[0,8422-1,0000]",0.9823,18.45,0.9781
64,a_7,"[0,0334-0,0685]",0.9812,18.99,0.9781
64,a_8,"[0,8207-0,8435]",0.9787,19.08,0.9781
65,a_3,"[0,9904-1,0000]",0.9909,5.24,0.9908
65,a_7,"[0,0036-0,0571]",0.9917,5.25,0.9908
66,a_4,"[0,9771-1,0000]",0.9825,25.82,0.9814
67,~a_7,"[0,8222-0,9186]",0.9903,19.65,0.9874
67,a_7,"[0,0814-0,1778]",0.9903,19.83,0.9874
68,a_5,"[0,8877-1,0000]",0.9881,15.68,0.9823
68,~a_8,"[0,7831-0,8955]",0.9882,15.78,0.9823
69,a_5,"[0,8947-1,0000]",0.9943,15.12,0.9917
69,a_10,"[0,0553-0,0714]",0.9931,15.21,0.9917
71,~d_15,"[0,9186-1,0000]",0.9917,15.38,0.9890
72,a_0,"[0,7105-1,0000]",0.9928,14.07,0.9869
74,a_1,"[0,9776-1,0000]",0.9844,24.66,0.9830
76,a_5,"[0,9223-1,0000]",0.9919,17.85,0.9898
76,~a_7,"[0,7767-0,9880]",0.9915,17.95,0.9898
77,a_0,"[0,9843-1,0000]",0.9896,8.23,0.9891
77,a_8,"[0,8879-0,9770]",0.9906,8.62,0.9891
77,~a_8,"[0,0230-0,1121]",0.9906,8.76,0.9891
78,~d_12,"[0,9764-1,0000]",0.9865,24.84,0.9846
79,a_6,"[0,8601-1,0000]",0.9916,15.24,0.9861
80,a_5,"[0,9573-1,0000]",0.9869,15.00,0.9854
84,a_1,"[0,9658-1,0000]",0.9855,11.83,0.9837
84,~a_7,"[0,8802-0,9293]",0.9862,11.81,0.9837
85,a_9,"[0,6998-0,9428]",0.9762,42.10,0.9714
