Prog,Lit,Exact,Time
0,~a_4,"[0,9218-1,0000]",881.42
1,~d_16,"[0,9854-1,0000]",487.24
2,a_0,"[0,8760-1,0000]",519.44
2,a_5,"[0,8042-1,0000]",515.60
2,~a_7,"[0,8286-0,8843]",524.72
4,d_14,"[0,9605-1,0000]",889.93
4,~a_5,"[0,9645-1,0000]",883.78
5,a_3,"[0,9775-1,0000]",350.16
6,d_13,"[0,8747-1,0000]",378.53
8,d_14,"[0,8647-1,0000]",1665.20
8,a_6,"[0,8101-1,0000]",1655.22
10,~d_17,"[0,9600-1,0000]",2147.31
10,a_7,"[0,1353-0,3548]",2151.38
10,~a_8,"[0,8390-0,9116]",2151.90
13,~d_9,"[0,9173-1,0000]",1370.92
14,d_15,"[0,7831-1,0000]",759.30
15,~d_11,"[0,9999-1,0000]",1806.46
15,~a_7,"[0,1052-0,1075]",1814.06
16,d_14,"[0,9601-1,0000]",826.09
16,~a_8,"[0,0000-0,0689]",834.01
17,a_1,"[0,9999-1,0000]",1174.91
17,a_8,"[0,9138-0,9583]",1183.21
19,a_1,"[0,7979-1,0000]",2559.84
19,a_8,"[0,9259-0,9909]",2588.73
20,a_7,"[0,8426-1,0000]",15.28
21,~a_1,"[0,8699-1,0000]",1641.70
21,~a_9,"[0,0901-0,1237]",1643.23
22,d_9,"[0,9421-1,0000]",604.97
22,a_7,"[0,9298-0,9980]",611.02
22,~a_8,"[0,0310-0,2227]",606.46
24,~d_16,"[0,8599-1,0000]",620.98
25,~a_8,"[0,0802-0,1099]",1518.35
25,a_7,"[0,7455-0,7475]",1519.10
26,a_7,"[0,3050-0,3794]",1688.18
27,a_5,"[0,9096-1,0000]",838.65
28,~d_16,"[0,9779-1,0000]",547.48
29,d_17,"[0,9002-1,0000]",882.64
30,a_0,"[0,9692-1,0000]",67.76
30,~a_9,"[0,8593-0,9438]",68.11
30,a_9,"[0,0562-0,1407]",68.35
31,a_7,"[0,6491-0,9123]",695.74
33,d_13,"[0,9042-1,0000]",290.60
33,a_9,"[0,9850-0,9954]",291.07
33,~a_9,"[0,0046-0,0150]",291.44
35,d_14,"[0,8913-1,0000]",1611.87
35,a_8,"[0,1481-0,3298]",1619.28
36,a_2,"[0,9652-1,0000]",623.14
37,a_9,"[0,0480-0,3568]",2201.10
39,~a_1,"[0,9915-1,0000]",1253.23
40,a_3,"[0,9827-1,0000]",943.45
41,d_16,"[0,9693-1,0000]",919.02
41,a_8,"[0,7569-0,9993]",925.06
41,a_7,"[0,7354-0,9552]",924.40
42,d_10,"[0,9990-1,0000]",448.08
42,~a_7,"[0,6446-0,6691]",450.57
43,a_2,"[0,9914-1,0000]",817.74
43,a_8,"[0,7925-0,9995]",818.12
44,d_10,"[0,9971-1,0000]",1036.12
45,~d_11,"[0,9922-1,0000]",367.92
45,~a_8,"[0,1821-0,2400]",371.64
45,a_8,"[0,7600-0,8179]",370.70
46,d_13,"[1,0000-1,0000]",480.41
46,a_5,"[0,9893-1,0000]",478.84
46,~a_7,"[0,1263-0,1275]",479.47
47,~a_7,"[0,9072-1,0000]",337.10
47,~a_9,"[0,7976-0,8404]",339.79
49,a_0,"[0,7957-1,0000]",995.13
50,a_3,"[0,9381-1,0000]",1528.63
51,d_14,"[0,9922-1,0000]",1200.93
53,~a_9,"[0,0057-0,1943]",960.20
54,a_4,"[0,9731-1,0000]",243.29
54,~a_8,"[0,7888-0,8833]",243.75
57,d_10,"[0,9973-1,0000]",621.59
57,a_6,"[0,7887-1,0000]",620.39
59,a_5,"[0,8575-1,0000]",1343.42
59,~a_7,"[0,0029-0,0302]",1366.37
60,a_1,"[0,9732-1,0000]",1032.03
62,d_16,"[0,9560-1,0000]",1299.33
62,a_7,"[0,8436-0,9265]",1307.37
63,~a_2,"[0,9997-1,0000]",686.58
63,~a_5,"[0,9230-1,0000]",685.19
63,a_8,"[0,7977-0,8712]",694.68
64,d_12,"[0,8574-1,0000]",796.42
64,a_7,"[0,0383-0,0549]",800.35
64,a_8,"[0,8338-0,8353]",805.51
65,a_3,"[0,9995-1,0000]",308.31
65,a_7,"[0,0044-0,0500]",309.68
66,a_4,"[0,9944-1,0000]",1366.74
67,~a_7,"[0,8281-0,9156]",1459.71
67,a_7,"[0,0844-0,1719]",1456.21
68,a_5,"[0,8984-1,0000]",795.42
68,~a_8,"[0,7881-0,8899]",797.02
69,a_5,"[0,8998-1,0000]",2259.80
69,a_10,"[0,0557-0,0650]",2270.76
71,~d_15,"[0,9263-1,0000]",827.28
72,a_0,"[0,7157-1,0000]",630.55
74,a_1,"[0,9932-1,0000]",1849.51
76,a_5,"[0,9298-1,0000]",1648.56
76,~a_7,"[0,7822-0,9867]",1656.68
77,a_0,"[0,9947-1,0000]",825.47
77,a_8,"[0,8947-0,9751]",841.58
77,~a_8,"[0,0249-0,1053]",843.54
78,~d_12,"[0,9897-1,0000]",2090.57
79,a_6,"[0,8674-1,0000]",1009.44
80,a_5,"[0,9700-1,0000]",807.66
84,a_1,"[0,9800-1,0000]",346.47
84,~a_7,"[0,8917-0,9276]",346.20
85,a_9,"[0,7139-0,9384]",1107.47
86,a_3,"[0,7866-1,0000]",1562.26
87,a_0,"[0,9949-1,0000]",1265.02
87,a_8,"[0,1522-0,2055]",1268.04
88,~d_15,"[0,9449-1,0000]",783.24
88,~a_8,"[0,0043-0,0597]",785.19
88,~a_7,"[0,0081-0,1009]",786.55
90,~a_7,"[0,9219-0,9932]",1105.31
91,d_17,"[0,9980-1,0000]",1747.65
91,a_9,"[0,8799-0,9900]",1769.10
92,a_0,"[0,9282-1,0000]",266.98
92,~a_8,"[0,7992-0,8915]",267.39
94,a_0,"[0,9960-1,0000]",2078.34
95,a_4,"[1,0000-1,0000]",610.52
95,~a_8,"[0,0035-0,1152]",612.00
97,a_0,"[0,9772-1,0000]",703.04
97,~a_6,"[0,8293-1,0000]",702.38
98,d_10,"[0,9724-1,0000]",975.64
99,d_17,"[0,9440-1,0000]",1296.76
100,~a_4,"[0,9139-1,0000]",1471.15
100,~a_7,"[0,6727-0,8153]",1487.54
100,~a_8,"[0,0044-0,0967]",1473.48
102,a_0,"[0,9385-1,0000]",1359.35
102,a_8,"[0,1480-0,3440]",1369.84
103,~d_14,"[0,9627-1,0000]",772.88
103,~a_8,"[0,0611-0,0618]",775.12
105,~a_1,"[0,9501-1,0000]",1881.16
105,~a_5,"[0,7855-1,0000]",1876.71
106,~d_15,"[0,8406-1,0000]",896.27
106,a_7,"[0,5671-0,9604]",901.31
106,~a_8,"[0,7019-0,8613]",898.00
107,~a_5,"[0,6413-1,0000]",906.86
107,~a_8,"[0,5850-0,9967]",906.80
109,~d_11,"[0,9515-1,0000]",984.68
110,a_2,"[0,6928-1,0000]",733.34
110,a_6,"[0,8826-1,0000]",732.10
111,a_9,"[0,0875-0,1092]",1175.23
113,~a_0,"[0,9938-1,0000]",1412.44
114,~a_0,"[0,9998-1,0000]",871.57
115,a_1,"[0,9462-1,0000]",858.66
116,a_4,"[0,9108-1,0000]",641.28
117,a_6,"[0,7476-1,0000]",1077.19
117,a_9,"[0,7400-0,9256]",1083.16
119,d_13,"[0,9030-1,0000]",392.36
121,~d_14,"[0,9891-1,0000]",916.72
122,a_7,"[0,1238-0,3289]",686.84
122,~a_8,"[0,1922-0,2515]",688.00
123,d_10,"[0,9103-1,0000]",2780.50
123,a_7,"[0,0035-0,1918]",2855.28
127,d_15,"[0,9454-1,0000]",1450.79
130,d_12,"[0,9995-1,0000]",849.69
130,~a_5,"[0,9959-1,0000]",848.23
130,~a_7,"[0,0001-0,0510]",849.72
131,a_0,"[0,9653-1,0000]",165.03
131,a_9,"[0,7173-0,7444]",165.66
132,~a_8,"[0,6508-0,8991]",415.40
132,a_8,"[0,1009-0,3492]",415.41
134,a_5,"[0,9378-1,0000]",2335.77
134,a_8,"[0,8930-0,9774]",2373.24
135,a_3,"[0,9837-1,0000]",845.41
135,~a_6,"[0,5467-1,0000]",841.83
135,~a_9,"[0,6364-0,8394]",845.38
137,~d_13,"[0,9996-1,0000]",717.95
137,~a_5,"[0,7341-1,0000]",716.14
137,~a_7,"[0,1281-0,2417]",723.24
139,d_16,"[0,9447-1,0000]",859.38
141,d_12,"[0,9924-1,0000]",431.37
141,a_5,"[0,7555-1,0000]",429.89
141,~a_8,"[0,0057-0,1472]",430.57
143,a_3,"[0,9159-1,0000]",2474.43
143,~a_9,"[0,1181-0,1645]",2505.34
144,~d_11,"[0,8125-1,0000]",776.62
144,a_7,"[0,9041-0,9996]",776.35
145,a_7,"[0,0422-0,2417]",504.38
145,~a_7,"[0,7583-0,9578]",503.34
147,d_11,"[0,8066-1,0000]",1315.63
147,a_7,"[0,2434-0,4355]",1322.04
147,a_8,"[0,8032-0,9936]",1314.98
148,d_18,"[0,9100-1,0000]",1634.45
148,a_5,"[0,9076-1,0000]",1633.35
148,~a_8,"[0,7724-0,9752]",1640.93
149,~a_8,"[0,9699-1,0000]",587.98
149,~a_9,"[0,8498-0,9826]",587.64
150,d_13,"[0,8598-1,0000]",1016.20
151,~a_9,"[0,7906-0,9503]",543.15
152,d_14,"[0,9118-1,0000]",1252.46
153,~d_12,"[0,9809-1,0000]",1329.72
154,a_0,"[0,9066-1,0000]",1484.56
154,a_6,"[0,8565-1,0000]",1481.13
155,a_7,"[0,2242-0,3110]",1786.38
156,d_11,"[0,9793-1,0000]",1325.41
158,d_9,"[0,9387-1,0000]",1611.20
159,d_15,"[0,9833-1,0000]",2757.58
160,d_11,"[0,9985-1,0000]",1210.16
161,d_14,"[0,9961-1,0000]",1416.32
161,a_5,"[0,7096-1,0000]",1416.60
164,a_1,"[0,8823-1,0000]",1009.31
166,~d_11,"[0,9502-1,0000]",1358.72
167,d_13,"[0,7696-1,0000]",1037.46
167,~a_8,"[0,7349-0,8597]",1040.21
168,a_7,"[0,0608-0,4123]",1042.76
168,~a_7,"[0,5877-0,9392]",1043.53
169,d_16,"[0,9913-1,0000]",590.44
171,~a_0,"[0,9914-1,0000]",1347.95
171,a_6,"[0,9130-1,0000]",1344.54
171,a_8,"[0,9119-1,0000]",1348.62
174,~d_14,"[0,8273-1,0000]",771.30
174,a_7,"[0,9430-0,9961]",772.44
175,a_4,"[0,9913-1,0000]",2566.88
175,a_8,"[0,9529-0,9967]",2571.37
175,a_7,"[0,9444-0,9894]",2605.00
176,a_6,"[0,7478-1,0000]",1268.06
177,a_1,"[0,9996-1,0000]",1002.02
177,a_7,"[0,8909-0,9869]",1001.35
177,~a_7,"[0,0131-0,1091]",1001.36
181,d_10,"[0,9611-1,0000]",646.30
182,d_14,"[0,9261-1,0000]",941.96
183,d_12,"[0,9982-1,0000]",736.54
184,~d_12,"[0,9295-1,0000]",180.96
184,a_8,"[0,8987-0,9986]",182.08
186,d_9,"[0,8278-1,0000]",1519.76
190,a_4,"[0,7457-1,0000]",385.85
191,~d_16,"[0,8047-1,0000]",738.86
191,~a_7,"[0,7838-0,8681]",741.25
192,d_19,"[0,8352-1,0000]",1253.17
193,d_18,"[0,9624-1,0000]",1436.39
193,~a_9,"[0,0175-0,1239]",1452.63
194,d_12,"[0,8530-1,0000]",372.45
194,a_5,"[0,9992-1,0000]",371.87
194,a_7,"[0,8966-0,9861]",374.32
195,~a_7,"[0,0051-0,0879]",1188.25
196,~d_12,"[0,7713-1,0000]",533.05
196,~a_8,"[0,8952-1,0000]",532.11
196,~a_7,"[0,6505-0,8956]",536.28
198,~a_6,"[0,8855-1,0000]",731.18
200,~a_0,"[1,0000-1,0000]",1729.21
200,~a_8,"[0,9251-0,9990]",1743.43
201,~d_10,"[0,9724-1,0000]",2973.48
201,a_7,"[0,9301-0,9881]",3005.44
202,d_13,"[0,8917-1,0000]",136.63
202,a_5,"[0,8605-1,0000]",136.85
202,~a_7,"[0,2316-0,3631]",137.25
204,~d_9,"[0,8596-1,0000]",2088.87
205,~d_15,"[0,9900-1,0000]",1243.08
205,a_7,"[0,2391-0,2676]",1276.82
206,d_12,"[0,8839-1,0000]",635.15
206,~a_7,"[0,0034-0,2582]",634.25
206,a_7,"[0,7418-0,9966]",633.75
208,a_3,"[0,9005-1,0000]",791.31
209,a_8,"[0,9143-1,0000]",647.85
210,a_7,"[0,0284-0,2234]",1857.69
211,d_14,"[0,9996-1,0000]",1072.78
211,a_7,"[0,6324-0,8109]",1093.42
212,d_11,"[0,8020-1,0000]",476.41
212,a_5,"[0,7480-1,0000]",475.27
213,d_12,"[0,9492-1,0000]",1782.31
214,a_2,"[0,9018-1,0000]",1811.92
214,a_7,"[0,7811-0,8624]",1817.27
215,d_17,"[0,9729-1,0000]",1966.54
216,~a_2,"[0,9997-1,0000]",1512.61
