Prog,Lit,Intervalo,Metric,Time,Mass
0,~a_4,"[0,1217-1,0000]",0.1320,246.32,0.1322
1,~d_16,"[0,1252-1,0000]",0.1270,145.22,0.1329
2,a_0,"[0,0900-1,0000]",0.1027,138.73,0.0946
2,a_5,"[0,0880-1,0000]",0.1094,137.75,0.0946
2,~a_7,"[0,0923-0,9997]",0.0981,141.43,0.0946
4,d_14,"[0,1730-1,0000]",0.1802,204.42,0.1767
4,~a_5,"[0,1731-1,0000]",0.1794,204.90,0.1767
5,a_3,"[0,0339-1,0000]",0.0346,79.51,0.0340
6,d_13,"[0,0626-1,0000]",0.0716,84.74,0.0793
8,d_14,"[0,1074-1,0000]",0.1243,452.61,0.1264
8,a_6,"[0,1016-1,0000]",0.1254,455.08,0.1264
10,~d_17,"[0,9004-1,0000]",0.9379,290.82,0.9038
10,a_7,"[0,0607-0,2319]",1.0620,293.27,0.9038
10,~a_8,"[0,8250-0,9902]",0.9000,293.57,0.9038
13,~d_9,"[0,1160-1,0000]",0.1265,183.82,0.1247
14,d_15,"[0,8914-1,0000]",1.1382,100.27,0.8978
15,~d_11,"[0,0493-1,0000]",0.0493,238.32,0.0493
15,~a_7,"[0,0105-0,9626]",0.0480,241.87,0.0493
16,d_14,"[0,0926-1,0000]",0.0965,108.90,0.0980
16,~a_8,"[0,0000-0,9041]",0.1030,110.23,0.0980
17,a_1,"[0,1699-1,0000]",0.1699,155.53,0.1699
17,a_8,"[0,1666-0,9974]",0.1771,158.22,0.1699
19,a_1,"[0,0970-1,0000]",0.1215,300.99,0.1936
19,a_8,"[0,1740-0,9963]",0.1900,304.80,0.1936
20,a_7,"[0,0526-1,0000]",0.0624,1.81,0.1087
21,~a_1,"[0,1197-1,0000]",0.1376,198.10,0.1255
21,~a_9,"[0,0082-0,8878]",0.1246,203.77,0.1255
22,d_9,"[0,1346-1,0000]",0.1429,84.67,0.1368
22,a_7,"[0,0675-0,9999]",0.0725,86.10,0.1368
22,~a_8,"[0,0011-0,8991]",0.1262,86.71,0.1368
24,~d_16,"[0,0380-1,0000]",0.0442,97.11,0.0414
25,~a_8,"[0,0006-0,9856]",0.0155,236.90,0.0199
25,a_7,"[0,0095-0,9899]",0.0197,240.07,0.0199
26,a_7,"[0,1946-0,9900]",0.2211,276.27,0.2061
27,a_5,"[0,1541-1,0000]",0.1694,140.03,0.2232
28,~d_16,"[0,1536-1,0000]",0.1571,90.80,0.1545
29,d_17,"[0,0362-1,0000]",0.0402,128.68,0.0478
30,a_0,"[0,0302-1,0000]",0.0312,9.32,0.0335
30,~a_9,"[0,0238-0,9969]",0.0294,9.59,0.0335
30,a_9,"[0,0031-0,9762]",0.0294,9.41,0.0335
31,a_7,"[0,0041-0,9980]",0.0083,101.27,0.0109
33,d_13,"[0,2220-1,0000]",0.2455,42.48,0.2241
33,a_9,"[0,2218-0,9997]",0.2244,43.15,0.2241
33,~a_9,"[0,0003-0,7782]",0.2244,43.17,0.2241
35,d_14,"[0,0617-1,0000]",0.0692,228.76,0.0729
35,a_8,"[0,0200-0,9685]",0.0629,230.90,0.0729
36,a_2,"[0,1018-1,0000]",0.1055,90.94,0.1051
37,a_9,"[0,0022-0,9947]",0.0108,304.59,0.0513
39,~a_1,"[0,0497-1,0000]",0.0501,172.52,0.0507
40,a_3,"[0,1307-1,0000]",0.1330,124.49,0.1329
41,d_16,"[0,0626-1,0000]",0.0646,121.14,0.0666
41,a_8,"[0,0100-0,9996]",0.0138,122.12,0.0666
41,a_7,"[0,0403-0,9924]",0.0614,122.32,0.0666
42,d_10,"[0,0548-1,0000]",0.0549,58.55,0.0549
42,~a_7,"[0,0002-0,9456]",0.0560,59.56,0.0549
43,a_2,"[0,2226-1,0000]",0.2245,107.90,0.2235
43,a_8,"[0,2145-0,9999]",0.2706,108.57,0.2235
44,d_10,"[0,0878-1,0000]",0.0881,133.02,0.0879
45,~d_11,"[0,1133-1,0000]",0.1142,48.21,0.1141
45,~a_8,"[0,0210-0,9095]",0.1184,49.17,0.1141
45,a_8,"[0,0905-0,9790]",0.1184,49.08,0.1141
46,d_13,"[0,0555-1,0000]",0.0555,63.28,0.0555
46,a_5,"[0,0551-1,0000]",0.0557,63.42,0.0555
46,~a_7,"[0,0081-0,9528]",0.0554,63.62,0.0555
47,~a_7,"[0,0565-1,0000]",0.0622,44.48,0.0594
47,~a_9,"[0,0415-0,9833]",0.0608,44.83,0.0594
49,a_0,"[0,1075-1,0000]",0.1351,129.56,0.1426
50,a_3,"[0,1292-1,0000]",0.1377,195.60,0.1453
51,d_14,"[0,0676-1,0000]",0.0681,152.10,0.0681
53,~a_9,"[0,0002-0,8553]",0.1786,122.92,0.1737
54,a_4,"[0,0163-1,0000]",0.0167,31.08,0.0434
54,~a_8,"[0,0097-0,9960]",0.0152,30.63,0.0434
