Prog,Lit,Intervalo,Metric,Time,Mass
0,~a_4,"[0,1152-1,0000]",0.1250,866.36,0.1568
1,~d_16,"[0,5180-1,0000]",0.5257,579.95,0.5189
2,a_0,"[0,0712-1,0000]",0.0813,577.37,0.0994
2,a_5,"[0,0618-1,0000]",0.0768,577.34,0.0994
2,~a_7,"[0,0670-0,9893]",0.0823,588.90,0.0994
4,d_14,"[0,4282-1,0000]",0.4458,844.23,0.4306
4,~a_5,"[0,4176-1,0000]",0.4330,844.94,0.4306
5,a_3,"[0,4210-1,0000]",0.4307,458.07,0.4217
6,d_13,"[0,4650-1,0000]",0.5316,406.93,0.4726
8,d_14,"[0,1499-1,0000]",0.1734,1090.74,0.1610
8,a_6,"[0,1109-1,0000]",0.1368,1087.41,0.1610
10,~d_17,"[0,4292-1,0000]",0.4471,771.97,0.4332
10,a_7,"[0,0116-0,6246]",0.4958,775.39,0.4332
10,~a_8,"[0,3873-0,9918]",0.4265,776.71,0.4332
13,~d_9,"[0,0243-1,0000]",0.0265,635.25,0.0346
14,d_15,"[0,4573-1,0000]",0.5839,439.92,0.4936
15,~d_11,"[0,1458-1,0000]",0.1458,750.95,0.1458
15,~a_7,"[0,0295-0,8839]",0.1459,754.39,0.1458
16,d_14,"[0,1251-1,0000]",0.1303,435.98,0.1263
16,~a_8,"[0,0000-0,8785]",0.1305,437.56,0.1263
17,a_1,"[0,0972-1,0000]",0.0972,607.79,0.0972
17,a_8,"[0,0906-0,9946]",0.1005,610.27,0.0972
19,a_1,"[0,0607-1,0000]",0.0761,931.04,0.0811
19,a_8,"[0,0696-0,9967]",0.0780,937.68,0.0811
20,a_7,"[0,0472-1,0000]",0.0560,11.10,0.0779
21,~a_1,"[0,1292-1,0000]",0.1485,747.71,0.1409
21,~a_9,"[0,0110-0,8743]",0.1415,751.59,0.1409
22,d_9,"[0,1317-1,0000]",0.1398,401.29,0.1385
22,a_7,"[0,1313-0,9992]",0.1417,404.46,0.1385
22,~a_8,"[0,0245-0,9006]",0.1533,402.71,0.1385
24,~d_16,"[0,4893-1,0000]",0.5691,418.34,0.5285
25,~a_8,"[0,0080-0,4991]",0.5244,753.44,0.5162
25,a_7,"[0,4697-0,9541]",0.5166,754.77,0.5162
26,a_7,"[0,0753-0,5989]",0.5147,872.07,0.4907
27,a_5,"[0,4387-1,0000]",0.4823,498.12,0.4459
28,~d_16,"[0,4414-1,0000]",0.4514,363.01,0.4511
29,d_17,"[0,1178-1,0000]",0.1309,534.99,0.1326
30,a_0,"[0,1004-1,0000]",0.1035,67.01,0.1112
30,~a_9,"[0,0444-0,9834]",0.0666,67.24,0.1112
30,a_9,"[0,0166-0,9556]",0.0666,67.29,0.1112
31,a_7,"[0,0534-0,9615]",0.1247,475.27,0.1122
33,d_13,"[0,0523-1,0000]",0.0578,240.59,0.0654
33,a_9,"[0,0630-0,9990]",0.0647,240.63,0.0654
33,~a_9,"[0,0010-0,9370]",0.0647,241.01,0.0654
35,d_14,"[0,5592-1,0000]",0.6274,833.59,0.5714
35,a_8,"[0,0103-0,4582]",0.6747,835.55,0.5714
36,a_2,"[0,6523-1,0000]",0.6758,431.39,0.6554
37,a_9,"[0,0048-0,5434]",0.6674,980.71,0.5061
39,~a_1,"[0,4450-1,0000]",0.4488,660.83,0.4452
40,a_3,"[0,0625-1,0000]",0.0637,593.44,0.0649
41,d_16,"[0,1178-1,0000]",0.1216,555.12,0.1199
41,a_8,"[0,0512-0,9999]",0.0677,556.01,0.1199
41,a_7,"[0,0461-0,9943]",0.0665,555.45,0.1199
42,d_10,"[0,5361-1,0000]",0.5366,361.54,0.5362
42,~a_7,"[0,4916-0,9615]",0.5434,363.92,0.5362
43,a_2,"[0,1513-1,0000]",0.1526,468.33,0.1528
43,a_8,"[0,1126-0,9999]",0.1421,466.81,0.1528
44,d_10,"[0,0968-1,0000]",0.0971,574.32,0.0970
45,~d_11,"[0,4646-1,0000]",0.4682,259.69,0.4653
45,~a_8,"[0,0136-0,5525]",0.4894,262.10,0.4653
45,a_8,"[0,4475-0,9864]",0.4894,262.25,0.4653
46,d_13,"[0,1077-1,0000]",0.1077,360.54,0.1077
46,a_5,"[0,1059-1,0000]",0.1071,358.02,0.1077
46,~a_7,"[0,0119-0,9042]",0.1078,359.69,0.1077
47,~a_7,"[0,1073-1,0000]",0.1183,262.75,0.1158
47,~a_9,"[0,1037-0,9897]",0.1191,265.79,0.1158
49,a_0,"[0,1561-1,0000]",0.1961,589.89,0.1725
50,a_3,"[0,1457-1,0000]",0.1553,711.96,0.1549
51,d_14,"[0,0613-1,0000]",0.0617,671.91,0.0636
53,~a_9,"[0,0003-0,9318]",0.0844,532.14,0.0904
54,a_4,"[0,1416-1,0000]",0.1455,178.32,0.1480
54,~a_8,"[0,0845-0,9560]",0.1420,178.61,0.1480
57,d_10,"[0,0671-1,0000]",0.0672,451.80,0.0683
57,a_6,"[0,0345-1,0000]",0.0437,450.03,0.0683
59,a_5,"[0,1437-1,0000]",0.1675,688.93,0.1918
59,~a_7,"[0,0003-0,8119]",0.1937,703.64,0.1918
60,a_1,"[0,1493-1,0000]",0.1534,582.16,0.1510
62,d_16,"[0,0586-1,0000]",0.0612,731.65,0.0631
62,a_7,"[0,0562-0,9984]",0.0629,736.72,0.0631
63,~a_2,"[0,0890-1,0000]",0.0891,509.54,0.0891
63,~a_5,"[0,0686-1,0000]",0.0743,506.59,0.0891
63,a_8,"[0,0666-0,9965]",0.0756,514.54,0.0891
64,d_12,"[0,1029-1,0000]",0.1201,516.57,0.1336
64,a_7,"[0,0072-0,8749]",0.1345,517.91,0.1336
64,a_8,"[0,0934-0,9599]",0.1337,523.31,0.1336
65,a_3,"[0,1067-1,0000]",0.1067,232.45,0.1069
65,a_7,"[0,0017-0,8988]",0.1079,233.32,0.1069
66,a_4,"[0,4183-1,0000]",0.4206,727.86,0.4209
67,~a_7,"[0,0637-0,9687]",0.1041,709.48,0.0980
67,a_7,"[0,0313-0,9363]",0.1041,711.46,0.0980
68,a_5,"[0,0382-1,0000]",0.0426,464.14,0.0487
68,~a_8,"[0,0268-0,9886]",0.0425,466.95,0.0487
69,a_5,"[0,0596-1,0000]",0.0662,910.04,0.0680
69,a_10,"[0,0008-0,9334]",0.0681,915.31,0.0680
71,~d_15,"[0,0667-1,0000]",0.0720,522.66,0.0940
72,a_0,"[0,4849-1,0000]",0.6775,409.55,0.5409
74,a_1,"[0,5351-1,0000]",0.5388,862.28,0.5359
76,a_5,"[0,0398-1,0000]",0.0428,784.94,0.0467
76,~a_7,"[0,0359-0,9980]",0.0476,792.18,0.0467
77,a_0,"[0,0986-1,0000]",0.0992,493.39,0.0992
77,a_8,"[0,0945-0,9973]",0.1057,502.56,0.0992
77,~a_8,"[0,0027-0,9055]",0.1057,503.57,0.0992
78,~d_12,"[0,1488-1,0000]",0.1503,874.47,0.1497
79,a_6,"[0,1237-1,0000]",0.1426,581.16,0.1337
80,a_5,"[0,1052-1,0000]",0.1085,507.41,0.1091
84,a_1,"[0,1575-1,0000]",0.1608,251.36,0.1682
84,~a_7,"[0,1538-0,9983]",0.1613,251.83,0.1682
85,a_9,"[0,1242-0,9925]",0.1699,634.58,0.1941
86,a_3,"[0,0910-1,0000]",0.1157,765.61,0.1084
87,a_0,"[0,0817-1,0000]",0.0821,649.21,0.0833
87,a_8,"[0,0048-0,9266]",0.0826,650.81,0.0833
88,~d_15,"[0,1139-1,0000]",0.1206,498.83,0.1200
88,~a_8,"[0,0003-0,8864]",0.1206,498.73,0.1200
88,~a_7,"[0,0052-0,8977]",0.1185,500.34,0.1200
90,~a_7,"[0,1254-0,9995]",0.1355,603.41,0.1640
91,d_17,"[0,1576-1,0000]",0.1579,767.79,0.1578
91,a_9,"[0,1060-0,9997]",0.1195,780.07,0.1578
92,a_0,"[0,1763-1,0000]",0.1899,218.19,0.1863
92,~a_8,"[0,1343-0,9898]",0.1592,219.13,0.1863
94,a_0,"[0,4836-1,0000]",0.4855,909.39,0.4841
95,a_4,"[0,6744-1,0000]",0.6744,395.61,0.6744
95,~a_8,"[0,0001-0,3743]",0.7045,395.94,0.6744
97,a_0,"[0,0615-1,0000]",0.0629,448.00,0.0625
97,~a_6,"[0,0326-1,0000]",0.0393,446.44,0.0625
98,d_10,"[0,1379-1,0000]",0.1419,558.22,0.1391
99,d_17,"[0,1039-1,0000]",0.1101,627.57,0.1078
