Prog,Lit,Intervalo,Metric,Time,Mass
0,d_16,"[0,8917-1,0000]",0.9468,1.00,0.9394
0,a_8,"[0,8140-0,9649]",0.9656,1.05,0.9394
0,a_7,"[0,8156-0,9626]",0.9606,1.00,0.9394
3,~d_16,"[0,8704-1,0000]",0.9181,1.12,0.9068
3,a_7,"[0,8225-0,9335]",0.9326,1.10,0.9068
3,~a_7,"[0,0665-0,1775]",0.9326,1.10,0.9068
6,d_14,"[0,8663-1,0000]",0.9501,0.65,0.9392
6,a_5,"[0,9269-1,0000]",0.9503,0.62,0.9392
6,a_7,"[0,9269-1,0000]",0.9503,0.63,0.9392
7,~a_4,"[0,9219-1,0000]",0.9291,1.05,0.9227
8,a_7,"[0,8607-1,0000]",0.9144,0.98,0.8994
9,d_14,"[0,8492-1,0000]",0.9302,1.01,0.9100
11,~a_3,"[0,8744-1,0000]",0.9259,1.14,0.9159
13,d_17,"[0,8755-1,0000]",0.9358,0.86,0.9345
14,a_0,"[0,8998-1,0000]",0.9087,1.22,0.9020
15,a_6,"[0,7339-1,0000]",0.9547,0.74,0.9099
15,a_9,"[0,7802-1,0000]",0.9220,0.81,0.9099
16,a_1,"[0,9028-1,0000]",0.9506,0.72,0.9446
16,a_7,"[0,7473-0,9788]",0.9686,0.69,0.9446
17,a_1,"[0,9025-1,0000]",0.9395,0.99,0.9268
18,a_4,"[0,9138-1,0000]",0.9144,1.34,0.9138
20,a_10,"[0,8031-1,0000]",0.9352,0.44,0.9158
20,a_7,"[0,8229-1,0000]",0.9319,0.44,0.9158
21,~a_2,"[0,9254-1,0000]",0.9531,0.70,0.9455
21,a_9,"[0,8526-0,9468]",0.9664,0.70,0.9455
22,a_8,"[0,0436-0,3379]",0.9426,0.93,0.8881
23,d_17,"[0,7392-1,0000]",0.9526,0.83,0.9006
25,d_12,"[0,8917-1,0000]",0.9387,1.04,0.9266
25,~a_8,"[0,0000-0,1870]",0.9364,1.05,0.9266
28,a_8,"[0,0187-0,1276]",0.9260,0.81,0.9176
34,a_5,"[0,8687-1,0000]",0.9156,0.71,0.8999
34,~a_8,"[0,0389-0,1701]",0.9152,0.72,0.8999
35,d_17,"[0,8957-1,0000]",0.9527,1.00,0.9362
36,d_14,"[0,9393-1,0000]",0.9430,0.86,0.9393
36,~a_6,"[0,9268-1,0000]",0.9478,0.88,0.9393
36,~a_8,"[0,0423-0,1155]",0.9444,0.88,0.9393
37,~d_18,"[0,8158-1,0000]",0.8867,1.12,0.8656
38,a_7,"[0,0668-0,2565]",0.9446,0.81,0.9328
39,d_13,"[0,8920-1,0000]",0.9364,0.62,0.9210
40,a_6,"[0,8517-1,0000]",0.9347,0.74,0.9193
41,a_5,"[0,9268-1,0000]",0.9287,0.76,0.9275
43,d_11,"[0,7119-1,0000]",0.9904,0.96,0.9333
44,d_13,"[0,8830-1,0000]",0.9536,0.80,0.9285
47,~a_7,"[0,8245-1,0000]",0.9090,1.03,0.8810
47,a_9,"[0,0581-0,2338]",0.8954,1.01,0.8810
48,d_17,"[0,7982-1,0000]",0.9198,1.07,0.9177
48,a_7,"[0,8415-0,9970]",0.9491,1.12,0.9177
50,d_11,"[0,9101-1,0000]",0.9167,1.05,0.9152
50,~a_7,"[0,0642-0,1577]",0.9327,1.03,0.9152
50,a_7,"[0,8423-0,9358]",0.9327,1.08,0.9152
51,~d_18,"[0,9116-1,0000]",0.9137,1.04,0.9116
51,~a_7,"[0,6811-1,0000]",0.9555,1.05,0.9116
52,a_6,"[0,8442-1,0000]",0.9394,0.79,0.9109
52,a_9,"[0,8838-1,0000]",0.9408,0.84,0.9109
53,~a_7,"[0,6918-1,0000]",0.9148,0.94,0.9063
54,~a_0,"[0,8233-1,0000]",0.9320,1.03,0.9074
54,a_6,"[0,8230-1,0000]",0.9435,1.02,0.9074
54,a_8,"[0,7768-0,9954]",0.9455,1.03,0.9074
56,~a_2,"[0,9165-1,0000]",0.9234,0.95,0.9172
58,~d_12,"[0,7040-1,0000]",0.9627,0.94,0.9229
58,a_8,"[0,7796-0,9440]",0.9320,0.96,0.9229
59,d_9,"[0,8801-1,0000]",0.9537,0.87,0.9371
