Prog,Lit,Exact,Time
0,d_16,"[0,9418-1,0000]",64.28
0,a_8,"[0,8376-0,9583]",64.88
0,a_7,"[0,8433-0,9553]",64.54
3,~d_16,"[0,9481-1,0000]",50.91
3,a_7,"[0,8730-0,9197]",51.05
3,~a_7,"[0,0803-0,1270]",51.29
6,d_14,"[0,9118-1,0000]",31.03
6,a_5,"[0,9754-1,0000]",31.01
6,a_7,"[0,9754-1,0000]",31.19
7,~a_4,"[0,9923-1,0000]",66.53
8,a_7,"[0,9410-0,9997]",54.33
9,d_14,"[0,9129-1,0000]",39.68
11,~a_3,"[0,9444-1,0000]",65.50
13,d_17,"[0,9356-1,0000]",39.52
14,a_0,"[0,9902-1,0000]",55.84
15,a_6,"[0,7687-1,0000]",68.53
15,a_9,"[0,8369-0,9907]",69.98
16,a_1,"[0,9497-1,0000]",40.17
16,a_7,"[0,7567-0,9633]",40.56
17,a_1,"[0,9606-1,0000]",70.83
18,a_4,"[0,9994-1,0000]",73.38
20,a_10,"[0,8588-1,0000]",5.12
20,a_7,"[0,8831-1,0000]",5.13
21,~a_2,"[0,9709-1,0000]",64.44
21,a_9,"[0,8789-0,9417]",65.92
22,a_8,"[0,0655-0,3168]",43.34
23,d_17,"[0,7760-1,0000]",52.79
25,d_12,"[0,9500-1,0000]",65.66
25,~a_8,"[0,0006-0,1324]",66.10
28,a_8,"[0,0235-0,0612]",37.27
34,a_5,"[0,9488-1,0000]",42.74
34,~a_8,"[0,0561-0,1068]",43.32
35,d_17,"[0,9402-1,0000]",57.84
36,d_14,"[0,9961-1,0000]",41.79
36,~a_6,"[0,9778-1,0000]",41.81
36,~a_8,"[0,0583-0,0769]",42.35
37,~d_18,"[0,9200-1,0000]",87.53
38,a_7,"[0,0913-0,2334]",60.97
39,d_13,"[0,9526-1,0000]",43.71
40,a_6,"[0,9112-1,0000]",35.24
41,a_5,"[0,9979-1,0000]",42.41
43,d_11,"[0,7188-1,0000]",47.88
44,d_13,"[0,9259-1,0000]",63.31
47,~a_7,"[0,9071-1,0000]",27.30
47,a_9,"[0,1018-0,1813]",27.39
48,d_17,"[0,8679-1,0000]",52.62
48,a_7,"[0,8832-0,9934]",52.86
50,d_11,"[0,9929-1,0000]",50.57
50,~a_7,"[0,0843-0,1123]",50.98
50,a_7,"[0,8877-0,9157]",51.12
51,~d_18,"[0,9977-1,0000]",62.22
51,~a_7,"[0,7128-1,0000]",62.11
52,a_6,"[0,8986-1,0000]",30.88
52,a_9,"[0,9386-0,9993]",31.08
53,~a_7,"[0,7435-0,9872]",52.12
