Prog,Lit,Intervalo,Metric,Time,Mass
0,d_16,"[0,1394-1,0000]",0.1481,21.43,0.1913
0,a_8,"[0,0840-0,9620]",0.1388,21.33,0.1913
0,a_7,"[0,0604-0,9271]",0.1501,21.35,0.1913
3,~d_16,"[1,2176-1,0000]",1.2843,16.63,1.2760
3,a_7,"[1,2663-0,9996]",1.3288,16.56,1.2760
3,~a_7,"[0,0004--0,2663]",1.3288,16.65,1.2760
6,d_14,"[0,0085-1,0000]",0.0093,11.10,0.0318
6,a_5,"[0,0256-1,0000]",0.0262,10.95,0.0318
6,a_7,"[0,0256-1,0000]",0.0262,10.87,0.0318
7,~a_4,"[0,1648-1,0000]",0.1661,23.37,0.1659
8,a_7,"[1,2514-1,0000]",1.3295,18.91,1.2610
9,d_14,"[0,1841-1,0000]",0.2017,13.80,0.3065
11,~a_3,"[0,3401-1,0000]",0.3601,25.71,0.3525
13,d_17,"[0,0556-1,0000]",0.0594,18.28,0.1452
14,a_0,"[0,1930-1,0000]",0.1949,24.38,0.1948
15,a_6,"[0,1178-1,0000]",0.1532,30.86,0.1449
15,a_9,"[0,1410-1,0000]",0.1667,31.87,0.1449
16,a_1,"[0,0334-1,0000]",0.0352,18.33,0.0353
16,a_7,"[0,0151-0,9832]",0.0402,18.75,0.0353
17,a_1,"[0,2150-1,0000]",0.2238,32.13,0.2168
18,a_4,"[0,3190-1,0000]",0.3192,32.67,0.3194
20,a_10,"[0,2148-1,0000]",0.2502,2.49,0.3106
20,a_7,"[0,2118-1,0000]",0.2398,2.45,0.3106
21,~a_2,"[0,1268-1,0000]",0.1306,29.01,0.1473
21,a_9,"[0,0409-0,9838]",0.0608,29.57,0.1473
22,a_8,"[0,0087-0,8907]",0.1576,20.13,0.2776
23,d_17,"[1,1840-1,0000]",1.5256,23.15,1.2195
25,d_12,"[0,0442-1,0000]",0.0465,30.34,0.0556
25,~a_8,"[0,0000-0,9733]",0.0308,30.66,0.0556
28,a_8,"[0,0019-0,9047]",0.1010,16.06,0.1480
34,a_5,"[0,1986-1,0000]",0.2093,19.07,0.2085
34,~a_8,"[0,0008-0,8025]",0.2090,19.51,0.2085
35,d_17,"[0,0138-1,0000]",0.0147,24.96,0.0193
36,d_14,"[1,2180-1,0000]",1.2227,17.62,1.2181
36,~a_6,"[1,2103-1,0000]",1.2378,17.79,1.2181
36,~a_8,"[0,0821--0,1342]",1.2394,18.07,1.2181
37,~d_18,"[0,1067-1,0000]",0.1160,37.75,0.1176
38,a_7,"[0,0651-0,8923]",0.2014,26.75,0.3216
39,d_13,"[0,1255-1,0000]",0.1318,18.57,0.1845
40,a_6,"[0,0963-1,0000]",0.1056,15.78,0.1512
41,a_5,"[0,0933-1,0000]",0.0935,17.76,0.0937
43,d_11,"[0,1039-1,0000]",0.1446,18.60,0.3134
44,d_13,"[0,0581-1,0000]",0.0627,24.92,0.1439
47,~a_7,"[0,0229-1,0000]",0.0252,10.98,0.0839
47,a_9,"[0,0074-0,9867]",0.0225,11.09,0.0839
48,d_17,"[0,1938-1,0000]",0.2233,20.46,0.2240
48,a_7,"[0,1024-0,9990]",0.1162,20.93,0.2240
50,d_11,"[0,2544-1,0000]",0.2563,19.89,0.2642
50,~a_7,"[0,1044-0,8446]",0.2672,19.88,0.2642
50,a_7,"[0,1554-0,8956]",0.2672,20.64,0.2642
51,~d_18,"[0,2588-1,0000]",0.2594,24.17,0.2589
51,~a_7,"[0,1470-1,0000]",0.2063,24.50,0.2589
52,a_6,"[0,0175-1,0000]",0.0194,12.63,0.0341
52,a_9,"[0,0207-0,9996]",0.0225,12.71,0.0341
53,~a_7,"[0,0646-0,9974]",0.0889,20.13,0.2351
54,~a_0,"[0,0128-1,0000]",0.0145,11.41,0.0152
54,a_6,"[0,0095-1,0000]",0.0109,11.45,0.0152
54,a_8,"[0,0042-0,9999]",0.0051,11.32,0.0152
56,~a_2,"[0,1306-1,0000]",0.1316,21.31,0.1346
58,~d_12,"[1,2724-1,0000]",1.7400,25.78,1.4497
58,a_8,"[1,2971-0,9919]",1.4558,26.79,1.4497
59,d_9,"[0,0412-1,0000]",0.0446,21.86,0.0457
59,~a_6,"[0,0456-1,0000]",0.0456,21.72,0.0457
60,d_10,"[0,0906-1,0000]",0.0906,22.51,0.0906
60,a_7,"[0,0855-0,9987]",0.0872,23.02,0.0906
60,~a_7,"[0,0013-0,9145]",0.0872,23.10,0.0906
61,d_13,"[0,0261-1,0000]",0.0294,21.76,0.0960
61,a_8,"[0,0917-0,9994]",0.1090,22.20,0.0960
61,~a_8,"[0,0006-0,9083]",0.1090,22.22,0.0960
62,d_10,"[0,1093-1,0000]",0.1313,22.52,0.2085
63,~d_13,"[0,2074-1,0000]",0.2146,26.56,0.2118
63,a_8,"[0,2042-0,9967]",0.2212,26.90,0.2118
64,~d_16,"[0,0792-1,0000]",0.0820,17.72,0.0886
65,~d_16,"[1,3681-1,0000]",1.3773,14.21,1.3691
65,a_7,"[1,3594-1,0000]",1.5449,13.96,1.3691
65,a_8,"[0,0019--0,3605]",1.4794,14.20,1.3691
66,~a_2,"[0,1296-1,0000]",0.1297,27.73,0.1297
66,a_8,"[0,0929-0,9726]",0.1249,28.76,0.1297
67,d_12,"[1,3384-1,0000]",1.3384,32.09,1.3384
68,d_16,"[0,0713-1,0000]",0.0715,21.71,0.0716
68,a_8,"[0,0401-0,9999]",0.0454,22.20,0.0716
71,a_7,"[0,2058-0,8965]",0.3616,19.52,0.4083
71,a_8,"[0,3000-0,9959]",0.3570,19.46,0.4083
72,~d_13,"[0,1933-1,0000]",0.1951,31.91,0.2059
