Prog,Lit,Intervalo,Metric,Time,Mass
0,d_16,"[0,0530-1,0000]",0.0563,8.99,0.0534
0,a_8,"[0,0493-0,9994]",0.0568,9.14,0.0534
0,a_7,"[0,0033-0,9638]",0.0445,8.97,0.0534
3,~d_16,"[0,0161-1,0000]",0.0169,11.27,0.0176
3,a_7,"[0,0070-0,9917]",0.0161,11.42,0.0176
3,~a_7,"[0,0083-0,9930]",0.0161,11.46,0.0176
6,d_14,"[0,0555-1,0000]",0.0609,10.05,0.0561
6,a_5,"[0,0559-1,0000]",0.0574,9.97,0.0561
6,a_7,"[0,0559-1,0000]",0.0574,10.14,0.0561
7,~a_4,"[0,0132-1,0000]",0.0133,11.69,0.0136
8,a_7,"[0,0616-1,0000]",0.0655,12.02,0.0627
9,d_14,"[0,0383-1,0000]",0.0420,10.29,0.0439
11,~a_3,"[0,0812-1,0000]",0.0860,12.28,0.0843
13,d_17,"[0,0538-1,0000]",0.0575,10.84,0.0591
14,a_0,"[0,5443-1,0000]",0.5496,10.44,0.5443
15,a_6,"[0,0380-1,0000]",0.0495,10.17,0.0391
15,a_9,"[0,0383-0,9998]",0.0456,10.47,0.0391
16,a_1,"[0,0082-1,0000]",0.0086,8.55,0.0095
16,a_7,"[0,0003-0,9994]",0.0010,8.68,0.0095
17,a_1,"[0,0675-1,0000]",0.0703,10.18,0.0729
18,a_4,"[0,0067-1,0000]",0.0067,10.24,0.0067
20,a_10,"[0,0495-1,0000]",0.0577,3.42,0.0564
20,a_7,"[0,0560-1,0000]",0.0634,3.43,0.0564
21,~a_2,"[0,0586-1,0000]",0.0603,10.05,0.0590
21,a_9,"[0,0216-0,9999]",0.0232,10.18,0.0590
22,a_8,"[0,0044-0,9941]",0.0137,9.58,0.0620
23,d_17,"[0,0332-1,0000]",0.0428,9.87,0.0390
25,d_12,"[0,0209-1,0000]",0.0220,10.51,0.0215
25,~a_8,"[0,0004-0,9951]",0.0061,10.42,0.0215
28,a_8,"[0,0000-0,9527]",0.0492,9.18,0.0483
34,a_5,"[0,0229-1,0000]",0.0242,8.45,0.0250
34,~a_8,"[0,0048-0,9817]",0.0243,8.63,0.0250
35,d_17,"[0,0411-1,0000]",0.0437,9.04,0.0448
36,d_14,"[0,0545-1,0000]",0.0547,8.53,0.0549
36,~a_6,"[0,0535-1,0000]",0.0547,8.54,0.0549
36,~a_8,"[0,0066-0,9532]",0.0544,8.59,0.0549
37,~d_18,"[0,4949-1,0000]",0.5379,9.54,0.4966
38,a_7,"[0,0024-0,4171]",0.6824,9.27,0.5934
39,d_13,"[0,0310-1,0000]",0.0326,8.62,0.0344
40,a_6,"[0,0113-1,0000]",0.0125,8.16,0.0159
41,a_5,"[0,0190-1,0000]",0.0190,8.57,0.0196
43,d_11,"[0,0031-1,0000]",0.0043,8.58,0.0193
44,d_13,"[0,0626-1,0000]",0.0676,8.98,0.0631
47,~a_7,"[0,0668-1,0000]",0.0737,6.84,0.0731
47,a_9,"[0,0068-0,9344]",0.0786,6.87,0.0731
48,d_17,"[0,0548-1,0000]",0.0631,8.83,0.0579
48,a_7,"[0,0136-0,9998]",0.0156,8.90,0.0579
50,d_11,"[0,0108-1,0000]",0.0109,8.83,0.0117
50,~a_7,"[0,0002-0,9936]",0.0067,8.98,0.0117
50,a_7,"[0,0064-0,9998]",0.0067,8.89,0.0117
51,~d_18,"[0,0434-1,0000]",0.0435,8.93,0.0449
51,~a_7,"[0,0417-1,0000]",0.0585,8.93,0.0449
52,a_6,"[0,0741-1,0000]",0.0825,8.03,0.0812
52,a_9,"[0,0746-1,0000]",0.0795,7.97,0.0812
53,~a_7,"[0,0056-0,9995]",0.0080,8.46,0.0105
54,~a_0,"[0,0456-1,0000]",0.0516,7.92,0.0650
54,a_6,"[0,0447-1,0000]",0.0513,7.96,0.0650
54,a_8,"[0,0440-0,9996]",0.0538,7.98,0.0650
56,~a_2,"[0,5485-1,0000]",0.5526,8.42,0.5487
58,~d_12,"[0,0093-1,0000]",0.0127,9.30,0.0150
58,a_8,"[0,0095-0,9987]",0.0120,9.51,0.0150
59,d_9,"[0,0050-1,0000]",0.0054,8.72,0.0442
59,~a_6,"[0,0442-1,0000]",0.0442,8.72,0.0442
60,d_10,"[0,0932-1,0000]",0.0932,8.76,0.0932
60,a_7,"[0,0884-0,9952]",0.0937,8.89,0.0932
60,~a_7,"[0,0048-0,9116]",0.0937,8.92,0.0932
61,d_13,"[0,0885-1,0000]",0.0996,8.70,0.1303
61,a_8,"[0,1221-1,0000]",0.1441,8.75,0.1303
61,~a_8,"[0,0000-0,8779]",0.1441,8.75,0.1303
62,d_10,"[0,0527-1,0000]",0.0633,8.92,0.0971
63,~d_13,"[0,0148-1,0000]",0.0154,8.84,0.0153
63,a_8,"[0,0125-0,9981]",0.0153,8.95,0.0153
64,~d_16,"[0,0974-1,0000]",0.1008,8.53,0.0974
65,~d_16,"[0,0146-1,0000]",0.0147,8.04,0.0146
65,a_7,"[0,0125-1,0000]",0.0142,8.01,0.0146
65,a_8,"[0,0001-0,9874]",0.0138,8.10,0.0146
66,~a_2,"[0,0103-1,0000]",0.0103,9.26,0.0103
66,a_8,"[0,0018-0,9952]",0.0069,9.33,0.0103
67,d_12,"[0,0015-1,0000]",0.0015,9.27,0.0015
68,d_16,"[0,0555-1,0000]",0.0556,8.74,0.0555
68,a_8,"[0,0123-1,0000]",0.0139,8.75,0.0555
71,a_7,"[0,0087-0,9947]",0.0165,8.81,0.0177
71,a_8,"[0,0137-0,9996]",0.0165,8.65,0.0177
72,~d_13,"[0,0155-1,0000]",0.0157,9.44,0.0169
73,~a_3,"[0,1229-1,0000]",0.1279,8.23,0.1265
74,a_4,"[0,0150-1,0000]",0.0152,8.66,0.0154
74,~a_5,"[0,0143-1,0000]",0.0161,8.64,0.0154
74,a_8,"[0,0034-0,9880]",0.0154,8.73,0.0154
75,d_10,"[0,0110-1,0000]",0.0111,8.54,0.0111
75,~a_7,"[0,0102-0,9991]",0.0111,8.65,0.0111
75,a_7,"[0,0009-0,9898]",0.0111,8.57,0.0111
76,a_7,"[0,0046-0,9999]",0.0048,9.30,0.0051
78,~d_14,"[0,0547-1,0000]",0.0562,8.54,0.0557
81,d_17,"[0,0580-1,0000]",0.0587,9.17,0.0585
82,a_4,"[0,0819-1,0000]",0.0827,8.72,0.0823
