Prog,Lit,Intervalo,Metric,Time,Mass
0,~d_19,"[0,8911-1,0000]",0.9907,2.36,0.9886
0,a_7,"[0,9886-1,0000]",0.9886,2.35,0.9886
0,~a_7,"[0,0000-0,0114]",0.9886,2.42,0.9886
1,a_4,"[0,9875-1,0000]",0.9875,8.11,0.9875
1,a_7,"[0,0170-0,2157]",0.9898,8.16,0.9875
2,~d_10,"[0,9900-1,0000]",0.9900,3.36,0.9900
2,~a_8,"[0,0075-0,0227]",0.9904,3.43,0.9900
3,~d_9,"[0,9874-1,0000]",0.9874,1.68,0.9874
3,a_7,"[0,0000-0,0126]",0.9874,1.77,0.9874
4,~d_10,"[0,9901-1,0000]",0.9901,4.59,0.9901
5,a_3,"[0,9933-1,0000]",0.9933,0.97,0.9933
5,a_8,"[0,0093-0,1207]",0.9941,1.06,0.9933
6,~a_3,"[0,7769-1,0000]",0.9926,3.60,0.9906
6,a_7,"[0,6974-0,9822]",0.9951,3.59,0.9906
6,~a_8,"[0,0011-0,2874]",0.9958,3.61,0.9906
7,d_18,"[0,7764-1,0000]",0.9955,4.16,0.9913
7,a_9,"[0,8197-0,8283]",0.9913,4.23,0.9913
8,~d_11,"[0,9406-1,0000]",0.9905,6.26,0.9895
8,a_6,"[0,9802-1,0000]",0.9904,6.33,0.9895
8,~a_7,"[0,0000-0,0202]",0.9906,6.57,0.9895
9,~a_0,"[0,9903-1,0000]",0.9903,2.89,0.9903
9,a_6,"[0,8397-1,0000]",0.9957,2.88,0.9903
9,a_7,"[0,0582-0,2185]",0.9957,2.87,0.9903
10,~d_17,"[0,9858-1,0000]",0.9858,5.16,0.9858
10,a_5,"[0,9858-1,0000]",0.9858,5.19,0.9858
10,a_7,"[0,9626-0,9768]",0.9858,5.39,0.9858
11,~d_19,"[0,8246-1,0000]",0.9926,5.40,0.9856
12,a_8,"[0,0530-0,0613]",0.9918,3.31,0.9918
13,d_15,"[0,9927-1,0000]",0.9927,2.05,0.9927
