Prog,Lit,Exact,Time
0,~d_19,"[0,8995-1,0000]",3.38
0,a_7,"[1,0000-1,0000]",3.45
0,~a_7,"[0,0000-0,0000]",3.49
1,a_4,"[1,0000-1,0000]",25.72
1,a_7,"[0,0189-0,2093]",26.39
2,~d_10,"[1,0000-1,0000]",4.33
2,~a_8,"[0,0082-0,0138]",4.52
3,~d_9,"[1,0000-1,0000]",7.25
3,a_7,"[0,0000-0,0000]",7.45
4,~d_10,"[1,0000-1,0000]",13.30
5,a_3,"[1,0000-1,0000]",1.94
5,a_8,"[0,0095-0,1157]",2.14
6,~a_3,"[0,7827-1,0000]",7.68
6,a_7,"[0,6994-0,9806]",7.74
6,~a_8,"[0,0016-0,2849]",7.82
7,d_18,"[0,7799-1,0000]",16.02
7,a_9,"[0,8243-0,8243]",16.45
8,~d_11,"[0,9497-1,0000]",52.18
8,a_6,"[0,9897-1,0000]",52.37
8,~a_7,"[0,0000-0,0110]",53.27
9,~a_0,"[1,0000-1,0000]",6.10
9,a_6,"[0,8433-1,0000]",6.17
9,a_7,"[0,0590-0,2157]",6.23
10,~d_17,"[1,0000-1,0000]",20.31
10,a_5,"[1,0000-1,0000]",20.28
10,a_7,"[0,9739-0,9739]",20.76
11,~d_19,"[0,8308-1,0000]",42.70
12,a_8,"[0,0537-0,0537]",18.60
13,d_15,"[1,0000-1,0000]",14.83
13,a_7,"[0,7820-0,7820]",15.25
14,~d_9,"[0,9538-1,0000]",7.71
15,~d_18,"[1,0000-1,0000]",19.65
15,a_6,"[1,0000-1,0000]",19.06
15,a_9,"[1,0000-1,0000]",19.59
16,d_10,"[1,0000-1,0000]",9.45
16,a_6,"[1,0000-1,0000]",9.79
17,d_12,"[0,9129-1,0000]",17.76
17,a_7,"[0,9807-1,0000]",18.24
17,~a_8,"[0,0015-0,0819]",18.93
18,~a_2,"[0,9932-1,0000]",8.56
18,~a_5,"[1,0000-1,0000]",8.44
18,a_7,"[1,0000-1,0000]",8.88
19,a_4,"[0,7259-1,0000]",31.58
19,~a_9,"[0,8905-0,9986]",32.61
20,~a_1,"[1,0000-1,0000]",0.56
20,a_5,"[1,0000-1,0000]",0.54
20,a_7,"[0,7402-1,0000]",0.53
21,d_10,"[0,8664-1,0000]",31.88
21,a_7,"[0,8377-1,0000]",32.00
21,~a_7,"[0,0000-0,1623]",32.19
22,d_14,"[1,0000-1,0000]",33.49
22,a_7,"[0,9465-0,9992]",35.02
22,~a_8,"[0,8694-0,8694]",33.44
23,d_12,"[1,0000-1,0000]",8.89
24,d_13,"[1,0000-1,0000]",16.94
25,~d_15,"[1,0000-1,0000]",23.91
26,a_6,"[1,0000-1,0000]",52.20
26,a_8,"[0,0000-0,0195]",54.32
27,a_5,"[0,9550-1,0000]",104.46
27,a_8,"[0,8081-0,9995]",106.97
28,~d_16,"[1,0000-1,0000]",14.50
28,a_8,"[0,1766-0,1766]",14.05
28,~a_8,"[0,8234-0,8234]",13.81
29,a_6,"[1,0000-1,0000]",16.93
29,a_7,"[0,9975-0,9999]",17.54
30,d_12,"[1,0000-1,0000]",2.25
30,a_7,"[1,0000-1,0000]",2.35
30,~a_9,"[1,0000-1,0000]",2.27
31,a_3,"[0,9426-1,0000]",5.41
31,~a_6,"[1,0000-1,0000]",5.13
31,~a_8,"[0,9988-0,9988]",5.91
32,d_10,"[0,9952-1,0000]",4.57
32,a_8,"[0,7202-0,8441]",4.79
