Prog,Lit,Intervalo,Metric,Time,Mass
0,~d_19,"[0,0001-1,0000]",0.0001,0.32,0.0012
0,a_7,"[0,0012-1,0000]",0.0012,0.32,0.0012
0,~a_7,"[0,0000-0,9988]",0.0012,0.32,0.0012
1,a_4,"[0,0762-1,0000]",0.0762,2.31,0.0762
1,a_7,"[0,0001-0,9799]",0.0250,2.39,0.0762
2,~d_10,"[0,0238-1,0000]",0.0238,0.36,0.0238
2,~a_8,"[0,0000-0,9837]",0.0164,0.37,0.0238
3,~d_9,"[0,1261-1,0000]",0.1261,0.57,0.1261
3,a_7,"[0,0000-0,8739]",0.1261,0.57,0.1261
4,~d_10,"[0,0096-1,0000]",0.0096,0.85,0.0096
5,a_3,"[0,0002-1,0000]",0.0002,0.16,0.0002
5,a_8,"[0,0002-1,0000]",0.0002,0.17,0.0002
6,~a_3,"[0,0125-1,0000]",0.0160,0.64,0.0135
6,a_7,"[0,0001-0,9999]",0.0003,0.64,0.0135
6,~a_8,"[0,0001-0,9999]",0.0003,0.65,0.0135
7,d_18,"[0,0907-1,0000]",0.1163,1.29,0.1893
7,a_9,"[0,0950-0,9057]",0.1893,1.31,0.1893
8,~d_11,"[0,0128-1,0000]",0.0135,4.10,0.0146
8,a_6,"[0,0146-1,0000]",0.0148,4.05,0.0146
8,~a_7,"[0,0010-0,9863]",0.0148,4.24,0.0146
9,~a_0,"[0,0131-1,0000]",0.0131,0.50,0.0131
9,a_6,"[0,0131-1,0000]",0.0155,0.50,0.0131
9,a_7,"[0,0000-0,9869]",0.0155,0.48,0.0131
10,~d_17,"[0,0134-1,0000]",0.0134,1.15,0.0134
10,a_5,"[0,0134-1,0000]",0.0134,1.16,0.0134
10,a_7,"[0,0133-1,0000]",0.0134,1.17,0.0134
11,~d_19,"[0,0000-1,0000]",0.0000,1.88,0.1605
12,a_8,"[0,0000-0,9886]",0.0114,0.85,0.0114
13,d_15,"[0,0372-1,0000]",0.0372,0.66,0.0372
13,a_7,"[0,0000-0,9628]",0.0372,0.70,0.0372
14,~d_9,"[0,0001-1,0000]",0.0001,0.34,0.0002
