Prog,Lit,Intervalo,Metric,Time,Mass
0,~d_19,"[0,0930-1,0000]",0.1034,4.03,0.0998
0,a_7,"[0,0998-1,0000]",0.0998,4.14,0.0998
0,~a_7,"[0,0000-0,9002]",0.0998,4.14,0.0998
1,a_4,"[0,0676-1,0000]",0.0676,37.49,0.0676
1,a_7,"[0,0010-0,9426]",0.0720,38.29,0.0676
2,~d_10,"[0,0623-1,0000]",0.0623,6.57,0.0623
2,~a_8,"[0,0005-0,9383]",0.0626,6.86,0.0623
3,~d_9,"[0,0250-1,0000]",0.0250,8.86,0.0250
3,a_7,"[0,0000-0,9750]",0.0250,8.93,0.0250
4,~d_10,"[0,0929-1,0000]",0.0929,16.38,0.0929
5,a_3,"[0,0847-1,0000]",0.0847,2.34,0.0847
5,a_8,"[0,0004-0,9248]",0.0845,2.54,0.0847
6,~a_3,"[0,0888-1,0000]",0.1134,9.55,0.0982
6,a_7,"[0,0873-0,9974]",0.1250,9.53,0.0982
6,~a_8,"[0,0003-0,9105]",0.1252,9.65,0.0982
7,d_18,"[0,0508-1,0000]",0.0652,19.86,0.0559
7,a_9,"[0,0520-0,9960]",0.0559,20.33,0.0559
8,~d_11,"[0,0125-1,0000]",0.0132,59.44,0.0170
8,a_6,"[0,0162-1,0000]",0.0164,59.26,0.0170
8,~a_7,"[0,0000-0,9838]",0.0164,60.40,0.0170
9,~a_0,"[0,0644-1,0000]",0.0644,7.88,0.0644
9,a_6,"[0,0508-1,0000]",0.0602,7.87,0.0644
9,a_7,"[0,0030-0,9522]",0.0602,8.04,0.0644
10,~d_17,"[0,0494-1,0000]",0.0494,16.27,0.0494
10,a_5,"[0,0494-1,0000]",0.0494,16.09,0.0494
10,a_7,"[0,0463-0,9969]",0.0494,16.52,0.0494
11,~d_19,"[0,0788-1,0000]",0.0948,27.12,0.0898
12,a_8,"[0,0006-0,9777]",0.0229,12.52,0.0229
13,d_15,"[0,0092-1,0000]",0.0092,9.95,0.0092
13,a_7,"[0,0037-0,9945]",0.0092,10.06,0.0092
14,~d_9,"[0,1031-1,0000]",0.1080,5.10,0.1050
15,~d_18,"[0,0377-1,0000]",0.0377,12.86,0.0377
15,a_6,"[0,0377-1,0000]",0.0377,12.84,0.0377
15,a_9,"[0,0377-1,0000]",0.0377,13.18,0.0377
16,d_10,"[0,0689-1,0000]",0.0689,6.12,0.0689
16,a_6,"[0,0689-1,0000]",0.0689,6.07,0.0689
17,d_12,"[0,0793-1,0000]",0.0869,12.52,0.0865
17,a_7,"[0,0787-1,0000]",0.0802,12.71,0.0865
17,~a_8,"[0,0002-0,9210]",0.0861,13.22,0.0865
18,~a_2,"[0,0279-1,0000]",0.0280,6.28,0.0286
18,~a_5,"[0,0286-1,0000]",0.0286,6.28,0.0286
18,a_7,"[0,0286-1,0000]",0.0286,6.44,0.0286
19,a_4,"[0,0338-1,0000]",0.0466,24.41,0.0797
19,~a_9,"[0,0732-0,9999]",0.0821,25.70,0.0797
20,~a_1,"[0,4497-1,0000]",0.4497,0.43,0.4497
20,a_5,"[0,4497-1,0000]",0.4497,0.40,0.4497
20,a_7,"[0,3871-1,0000]",0.5230,0.41,0.4497
21,d_10,"[0,0388-1,0000]",0.0448,24.41,0.0415
21,a_7,"[0,0375-1,0000]",0.0447,24.68,0.0415
21,~a_7,"[0,0000-0,9625]",0.0447,25.00,0.0415
22,d_14,"[0,0211-1,0000]",0.0211,25.20,0.0211
22,a_7,"[0,0183-1,0000]",0.0193,26.16,0.0211
22,~a_8,"[0,0140-0,9930]",0.0211,25.64,0.0211
23,d_12,"[0,0933-1,0000]",0.0933,6.76,0.0933
24,d_13,"[0,0128-1,0000]",0.0128,12.71,0.0128
25,~d_15,"[0,0661-1,0000]",0.0661,18.57,0.0661
26,a_6,"[0,1382-1,0000]",0.1382,39.16,0.1382
26,a_8,"[0,0000-0,8626]",0.1402,40.40,0.1382
27,a_5,"[0,0204-1,0000]",0.0214,73.58,0.0232
27,a_8,"[0,0128-1,0000]",0.0159,74.61,0.0232
28,~d_16,"[0,0789-1,0000]",0.0789,10.31,0.0789
28,a_8,"[0,0486-0,9697]",0.0789,10.64,0.0789
28,~a_8,"[0,0303-0,9514]",0.0789,10.56,0.0789
29,a_6,"[0,1193-1,0000]",0.1193,12.57,0.1193
29,a_7,"[0,1191-1,0000]",0.1194,13.01,0.1193
30,d_12,"[0,1167-1,0000]",0.1167,1.73,0.1167
30,a_7,"[0,1167-1,0000]",0.1167,1.71,0.1167
30,~a_9,"[0,1167-1,0000]",0.1167,1.75,0.1167
31,a_3,"[0,0084-1,0000]",0.0090,4.14,0.0106
31,~a_6,"[0,0106-1,0000]",0.0106,4.12,0.0106
31,~a_8,"[0,0105-1,0000]",0.0106,4.66,0.0106
32,d_10,"[0,0862-1,0000]",0.0866,3.27,0.0886
32,a_8,"[0,0427-0,9634]",0.0905,3.33,0.0886
33,a_9,"[0,0038-0,9395]",0.0643,4.10,0.0643
34,d_9,"[0,0395-1,0000]",0.0395,22.61,0.0395
34,~a_8,"[0,0167-0,9772]",0.0395,23.61,0.0395
