Prog,Lit,Intervalo,Metric,Time,Mass
0,~d_19,"[0,9635-1,0000]",0.9635,0.45,0.9635
0,a_7,"[0,9635-1,0000]",0.9635,0.49,0.9635
0,a_8,"[0,9635-1,0000]",0.9635,0.50,0.9635
1,~a_1,"[0,9783-1,0000]",0.9783,0.43,0.9783
1,a_5,"[0,8204-1,0000]",0.9933,0.43,0.9783
1,a_8,"[0,9659-0,9934]",0.9800,0.47,0.9783
2,~a_2,"[0,9644-1,0000]",0.9644,0.45,0.9644
3,~d_13,"[0,9447-1,0000]",0.9447,0.54,0.9447
3,~a_7,"[0,0000-0,0947]",0.9571,0.58,0.9447
4,~d_10,"[0,9576-1,0000]",0.9576,0.56,0.9576
4,a_8,"[0,9576-1,0000]",0.9576,0.56,0.9576
4,~a_7,"[0,8374-0,8828]",0.9593,0.57,0.9576
5,a_1,"[0,9515-1,0000]",0.9515,0.39,0.9515
5,~a_7,"[0,1124-0,1610]",0.9515,0.37,0.9515
5,~a_8,"[0,0630-0,1116]",0.9515,0.43,0.9515
6,d_15,"[0,9407-1,0000]",0.9428,0.85,0.9412
6,~a_8,"[0,1607-0,2198]",0.9432,0.95,0.9412
7,a_7,"[0,1331-0,2205]",0.9126,1.01,0.9126
8,d_18,"[0,9351-1,0000]",0.9351,0.82,0.9351
9,a_4,"[0,9548-1,0000]",0.9548,0.30,0.9548
9,~a_5,"[0,9548-1,0000]",0.9548,0.28,0.9548
9,~a_8,"[0,0000-0,0452]",0.9548,0.31,0.9548
10,a_5,"[0,9416-1,0000]",0.9416,0.33,0.9416
10,a_7,"[0,0851-0,1435]",0.9416,0.37,0.9416
11,d_13,"[0,9758-1,0000]",0.9758,0.40,0.9758
11,a_5,"[0,9758-1,0000]",0.9758,0.41,0.9758
11,a_8,"[0,0045-0,1987]",0.9908,0.42,0.9758
12,d_12,"[0,9366-1,0000]",0.9366,0.40,0.9366
12,a_8,"[0,7864-0,8514]",0.9373,0.45,0.9366
12,~a_8,"[0,1486-0,2136]",0.9373,0.44,0.9366
14,a_2,"[0,9474-1,0000]",0.9474,0.53,0.9474
14,a_8,"[0,7863-0,9992]",0.9694,0.55,0.9474
15,a_10,"[0,9203-1,0000]",0.9203,0.82,0.9203
15,a_6,"[0,9157-1,0000]",0.9244,0.80,0.9203
15,a_9,"[0,9203-1,0000]",0.9203,0.83,0.9203
16,a_0,"[0,9190-1,0000]",0.9190,0.61,0.9190
16,a_6,"[0,9008-1,0000]",0.9276,0.60,0.9190
16,a_7,"[0,9008-1,0000]",0.9276,0.65,0.9190
17,~a_0,"[0,9052-1,0000]",0.9052,0.56,0.9052
17,a_8,"[0,9032-1,0000]",0.9056,0.58,0.9052
17,~a_8,"[0,0000-0,0968]",0.9056,0.61,0.9052
19,~d_10,"[0,9501-1,0000]",0.9501,0.58,0.9501
19,a_5,"[0,9501-1,0000]",0.9501,0.56,0.9501
19,a_8,"[0,9057-0,9556]",0.9501,0.59,0.9501
20,~a_1,"[0,9522-1,0000]",0.9522,0.18,0.9522
20,a_6,"[0,7542-1,0000]",0.9777,0.17,0.9522
21,~d_13,"[0,9667-1,0000]",0.9667,0.54,0.9667
21,a_7,"[0,9667-1,0000]",0.9667,0.53,0.9667
22,d_9,"[0,9303-1,0000]",0.9303,1.28,0.9303
22,~a_5,"[0,7386-1,0000]",0.9497,1.30,0.9303
22,~a_7,"[0,0071-0,0779]",0.9308,1.33,0.9303
23,d_10,"[0,9435-1,0000]",0.9435,0.62,0.9435
23,~a_6,"[0,9435-1,0000]",0.9435,0.53,0.9435
23,a_8,"[0,9435-1,0000]",0.9435,0.62,0.9435
24,~a_5,"[0,9460-1,0000]",0.9460,0.84,0.9460
24,a_7,"[0,0724-0,1264]",0.9460,0.88,0.9460
25,d_17,"[0,9303-1,0000]",0.9303,1.08,0.9303
25,a_6,"[0,8891-1,0000]",0.9417,1.08,0.9303
25,~a_8,"[0,9303-1,0000]",0.9303,1.17,0.9303
26,~a_0,"[0,8796-1,0000]",0.9779,0.75,0.9611
26,a_5,"[0,9611-1,0000]",0.9611,0.77,0.9611
26,~a_8,"[0,9159-0,9940]",0.9749,0.78,0.9611
27,~a_2,"[0,9413-1,0000]",0.9413,0.55,0.9413
27,a_5,"[0,8434-1,0000]",0.9688,0.56,0.9413
27,~a_8,"[0,0000-0,0829]",0.9423,0.64,0.9413
28,d_10,"[0,9348-1,0000]",0.9348,0.89,0.9348
28,a_6,"[0,9348-1,0000]",0.9348,0.85,0.9348
29,d_17,"[0,9583-1,0000]",0.9583,0.50,0.9583
30,a_0,"[0,9352-1,0000]",0.9375,0.39,0.9352
32,~d_12,"[0,9652-1,0000]",0.9652,0.20,0.9652
32,~a_8,"[0,0329-0,0676]",0.9652,0.22,0.9652
32,a_8,"[0,9324-0,9671]",0.9652,0.22,0.9652
33,~a_2,"[0,9426-1,0000]",0.9426,0.60,0.9426
33,a_9,"[0,8782-0,9371]",0.9428,0.58,0.9426
34,d_9,"[0,8666-1,0000]",0.9507,0.63,0.9308
34,~a_8,"[0,8945-0,9637]",0.9308,0.62,0.9308
34,a_8,"[0,0363-0,1055]",0.9308,0.61,0.9308
35,d_10,"[0,9664-1,0000]",0.9664,0.56,0.9664
35,a_8,"[0,2347-0,2683]",0.9664,0.60,0.9664
36,~a_6,"[0,8781-1,0000]",0.9411,0.76,0.9307
36,a_8,"[0,9306-0,9999]",0.9307,0.81,0.9307
37,~d_18,"[0,9578-1,0000]",0.9578,0.98,0.9578
37,~a_6,"[0,9578-1,0000]",0.9578,0.95,0.9578
37,~a_9,"[0,0759-0,1200]",0.9579,1.04,0.9578
