Prog,Lit,Exact,Time
0,~d_19,"[1,0000-1,0000]",3.37
0,a_7,"[1,0000-1,0000]",3.43
0,a_8,"[1,0000-1,0000]",3.68
1,~a_1,"[1,0000-1,0000]",4.13
1,a_5,"[0,8259-1,0000]",4.14
1,a_8,"[0,9838-0,9915]",4.34
2,~a_2,"[1,0000-1,0000]",3.06
3,~d_13,"[1,0000-1,0000]",4.49
3,~a_7,"[0,0000-0,0541]",4.54
4,~d_10,"[1,0000-1,0000]",4.54
4,a_8,"[0,9998-0,9998]",4.69
4,~a_7,"[0,8552-0,8601]",4.73
5,a_1,"[1,0000-1,0000]",1.48
5,~a_7,"[0,1312-0,1312]",1.57
5,~a_8,"[0,0803-0,0803]",1.67
6,d_15,"[0,9978-1,0000]",3.08
6,~a_8,"[0,1844-0,1869]",3.48
7,a_7,"[0,1604-0,1604]",9.17
8,d_18,"[1,0000-1,0000]",3.00
9,a_4,"[1,0000-1,0000]",1.65
9,~a_5,"[1,0000-1,0000]",1.64
9,~a_8,"[0,0000-0,0000]",1.74
10,a_5,"[1,0000-1,0000]",4.41
10,a_7,"[0,1029-0,1029]",4.78
11,d_13,"[1,0000-1,0000]",6.57
11,a_5,"[1,0000-1,0000]",6.64
11,a_8,"[0,0058-0,1925]",6.85
12,d_12,"[1,0000-1,0000]",1.60
12,a_8,"[0,8069-0,8093]",1.68
12,~a_8,"[0,1907-0,1931]",1.67
14,a_2,"[1,0000-1,0000]",6.36
14,a_8,"[0,8092-0,9973]",6.52
15,a_10,"[1,0000-1,0000]",3.93
15,a_6,"[0,9906-1,0000]",4.02
15,a_9,"[1,0000-1,0000]",4.15
16,a_0,"[1,0000-1,0000]",2.63
16,a_6,"[0,9712-1,0000]",2.66
16,a_7,"[0,9712-1,0000]",2.85
17,~a_0,"[1,0000-1,0000]",3.93
17,a_8,"[0,9964-0,9990]",4.09
17,~a_8,"[0,0010-0,0036]",4.08
19,~d_10,"[1,0000-1,0000]",3.00
19,a_5,"[1,0000-1,0000]",2.98
19,a_8,"[0,9451-0,9451]",3.13
20,~a_1,"[1,0000-1,0000]",0.27
20,a_6,"[0,7714-1,0000]",0.26
21,~d_13,"[1,0000-1,0000]",5.34
21,a_7,"[0,9999-1,0000]",5.49
22,d_9,"[1,0000-1,0000]",12.01
22,~a_5,"[0,7777-1,0000]",12.07
22,~a_7,"[0,0119-0,0137]",12.66
23,d_10,"[1,0000-1,0000]",6.25
23,~a_6,"[1,0000-1,0000]",6.26
23,a_8,"[1,0000-1,0000]",6.60
24,~a_5,"[1,0000-1,0000]",6.73
24,a_7,"[0,0916-0,0916]",7.14
25,d_17,"[1,0000-1,0000]",5.21
25,a_6,"[0,9442-1,0000]",5.25
