Prog,Lit,Intervalo,Metric,Time,Mass
0,~d_19,"[0,0000-1,0000]",0.0000,0.14,0.0000
0,a_7,"[0,0000-1,0000]",0.0000,0.14,0.0000
0,a_8,"[0,0000-1,0000]",0.0000,0.15,0.0000
1,~a_1,"[0,0153-1,0000]",0.0153,0.37,0.0153
1,a_5,"[0,0144-1,0000]",0.0174,0.36,0.0153
1,a_8,"[0,0144-1,0000]",0.0145,0.39,0.0153
2,~a_2,"[0,0000-1,0000]",0.0000,0.19,0.0000
3,~d_13,"[0,0217-1,0000]",0.0217,0.39,0.0217
3,~a_7,"[0,0000-1,0000]",0.0000,0.40,0.0217
4,~d_10,"[0,0128-1,0000]",0.0128,0.43,0.0128
4,a_8,"[0,0128-1,0000]",0.0128,0.44,0.0128
4,~a_7,"[0,0066-0,9939]",0.0128,0.46,0.0128
5,a_1,"[0,1178-1,0000]",0.1178,0.14,0.1178
5,~a_7,"[0,0124-0,8946]",0.1178,0.13,0.1178
5,~a_8,"[0,0000-0,8822]",0.1178,0.15,0.1178
6,d_15,"[0,0004-1,0000]",0.0004,0.25,0.0006
6,~a_8,"[0,0002-1,0000]",0.0002,0.28,0.0006
7,a_7,"[0,0006-0,8439]",0.1567,0.88,0.1567
8,d_18,"[0,0039-1,0000]",0.0039,0.29,0.0039
9,a_4,"[0,0000-1,0000]",0.0000,0.13,0.0000
9,~a_5,"[0,0000-1,0000]",0.0000,0.13,0.0000
9,~a_8,"[0,0000-1,0000]",0.0000,0.13,0.0000
10,a_5,"[0,0000-1,0000]",0.0000,0.33,0.0000
10,a_7,"[0,0000-1,0000]",0.0000,0.36,0.0000
11,d_13,"[0,1001-1,0000]",0.1001,0.62,0.1001
11,a_5,"[0,1001-1,0000]",0.1001,0.61,0.1001
11,a_8,"[0,0000-0,9999]",0.0001,0.63,0.1001
12,d_12,"[0,0403-1,0000]",0.0403,0.14,0.0403
12,a_8,"[0,0398-0,9995]",0.0404,0.14,0.0403
12,~a_8,"[0,0005-0,9602]",0.0404,0.14,0.0403
14,a_2,"[0,0015-1,0000]",0.0015,0.60,0.0015
14,a_8,"[0,0009-0,9998]",0.0014,0.60,0.0015
15,a_10,"[0,0343-1,0000]",0.0343,0.30,0.0343
15,a_6,"[0,0343-1,0000]",0.0346,0.31,0.0343
15,a_9,"[0,0342-0,9999]",0.0343,0.31,0.0343
16,a_0,"[0,0010-1,0000]",0.0010,0.23,0.0010
16,a_6,"[0,0003-1,0000]",0.0003,0.23,0.0010
16,a_7,"[0,0003-1,0000]",0.0003,0.22,0.0010
