Prog,Lit,Intervalo,Metric,Time,Mass
0,~d_19,"[0,0416-1,0000]",0.0416,2.93,0.0416
0,a_7,"[0,0416-1,0000]",0.0416,2.99,0.0416
0,a_8,"[0,0416-1,0000]",0.0416,3.23,0.0416
1,~a_1,"[0,0144-1,0000]",0.0144,2.83,0.0144
1,a_5,"[0,0104-1,0000]",0.0126,2.80,0.0144
1,a_8,"[0,0144-1,0000]",0.0145,2.89,0.0144
2,~a_2,"[0,0473-1,0000]",0.0473,2.49,0.0473
3,~d_13,"[0,0906-1,0000]",0.0906,3.40,0.0906
3,~a_7,"[0,0000-0,9121]",0.0929,3.45,0.0906
4,~d_10,"[0,6691-1,0000]",0.6691,3.46,0.6691
4,a_8,"[0,6691-1,0000]",0.6691,3.54,0.6691
4,~a_7,"[0,6653-0,9964]",0.6721,3.62,0.6691
5,a_1,"[0,0207-1,0000]",0.0207,1.47,0.0207
5,~a_7,"[0,0115-0,9908]",0.0207,1.51,0.0207
5,~a_8,"[0,0125-0,9918]",0.0207,1.65,0.0207
6,d_15,"[0,0886-1,0000]",0.0888,2.46,0.0894
6,~a_8,"[0,0003-0,9117]",0.0887,2.69,0.0894
7,a_7,"[0,0473-0,9889]",0.0584,4.64,0.0584
8,d_18,"[0,0199-1,0000]",0.0199,2.57,0.0199
9,a_4,"[0,0359-1,0000]",0.0359,1.75,0.0359
9,~a_5,"[0,0359-1,0000]",0.0359,1.73,0.0359
9,~a_8,"[0,0000-0,9641]",0.0359,1.79,0.0359
10,a_5,"[0,0591-1,0000]",0.0591,3.51,0.0591
10,a_7,"[0,0049-0,9458]",0.0591,3.79,0.0591
11,d_13,"[0,0059-1,0000]",0.0059,4.25,0.0059
11,a_5,"[0,0059-1,0000]",0.0059,4.21,0.0059
11,a_8,"[0,0000-0,9990]",0.0012,4.34,0.0059
12,d_12,"[0,0110-1,0000]",0.0110,1.89,0.0110
12,a_8,"[0,0019-0,9910]",0.0109,1.94,0.0110
12,~a_8,"[0,0090-0,9981]",0.0109,1.84,0.0110
14,a_2,"[0,0117-1,0000]",0.0117,4.94,0.0117
14,a_8,"[0,0047-0,9999]",0.0059,5.02,0.0117
15,a_10,"[0,0186-1,0000]",0.0186,3.90,0.0186
15,a_6,"[0,0184-1,0000]",0.0186,3.92,0.0186
15,a_9,"[0,0186-1,0000]",0.0186,4.11,0.0186
16,a_0,"[0,0266-1,0000]",0.0266,3.02,0.0266
16,a_6,"[0,0243-1,0000]",0.0251,3.03,0.0266
16,a_7,"[0,0243-1,0000]",0.0251,3.23,0.0266
17,~a_0,"[0,0137-1,0000]",0.0137,4.40,0.0137
17,a_8,"[0,0135-0,9999]",0.0136,4.54,0.0137
