Prog,Lit,Intervalo,Metric,Time,Mass
0,~d_19,"[0,0455-1,0000]",0.0455,1.96,0.0455
0,a_7,"[0,0455-1,0000]",0.0455,1.99,0.0455
0,a_8,"[0,0455-1,0000]",0.0455,2.15,0.0455
1,~a_1,"[0,0790-1,0000]",0.0790,1.98,0.0790
1,a_5,"[0,0735-1,0000]",0.0890,1.98,0.0790
1,a_8,"[0,0736-1,0000]",0.0742,2.10,0.0790
2,~a_2,"[0,0005-1,0000]",0.0005,1.75,0.0005
3,~d_13,"[0,0072-1,0000]",0.0072,2.10,0.0072
3,~a_7,"[0,0000-0,9961]",0.0041,2.14,0.0072
4,~d_10,"[0,0043-1,0000]",0.0043,2.29,0.0043
4,a_8,"[0,0043-1,0000]",0.0043,2.35,0.0043
4,~a_7,"[0,0001-0,9960]",0.0041,2.42,0.0043
5,a_1,"[0,5054-1,0000]",0.5054,1.12,0.5054
5,~a_7,"[0,0008-0,4954]",0.5054,1.15,0.5054
5,~a_8,"[0,0009-0,4955]",0.5054,1.27,0.5054
6,d_15,"[0,5173-1,0000]",0.5184,1.87,0.5173
6,~a_8,"[0,0003-0,4830]",0.5186,2.12,0.5173
7,a_7,"[0,0052-0,9941]",0.0111,3.20,0.0111
8,d_18,"[0,0076-1,0000]",0.0076,1.85,0.0076
9,a_4,"[0,0284-1,0000]",0.0284,1.26,0.0284
9,~a_5,"[0,0284-1,0000]",0.0284,1.27,0.0284
9,~a_8,"[0,0000-0,9716]",0.0284,1.33,0.0284
10,a_5,"[0,5695-1,0000]",0.5695,2.35,0.5695
10,a_7,"[0,0005-0,4310]",0.5695,2.53,0.5695
11,d_13,"[0,0017-1,0000]",0.0017,2.38,0.0017
11,a_5,"[0,0017-1,0000]",0.0017,2.38,0.0017
11,a_8,"[0,0001-1,0000]",0.0002,2.46,0.0017
12,d_12,"[0,0788-1,0000]",0.0788,1.12,0.0788
12,a_8,"[0,0092-0,9304]",0.0789,1.17,0.0788
12,~a_8,"[0,0696-0,9908]",0.0789,1.17,0.0788
14,a_2,"[0,5533-1,0000]",0.5533,2.49,0.5533
14,a_8,"[0,5492-0,9999]",0.6765,2.57,0.5533
15,a_10,"[0,0319-1,0000]",0.0319,2.26,0.0319
15,a_6,"[0,0316-1,0000]",0.0319,2.27,0.0319
15,a_9,"[0,0319-1,0000]",0.0319,2.34,0.0319
16,a_0,"[0,0238-1,0000]",0.0238,1.60,0.0238
16,a_6,"[0,0237-1,0000]",0.0244,1.60,0.0238
16,a_7,"[0,0237-1,0000]",0.0244,1.70,0.0238
17,~a_0,"[0,0611-1,0000]",0.0611,2.35,0.0611
17,a_8,"[0,0609-0,9998]",0.0613,2.44,0.0611
17,~a_8,"[0,0002-0,9391]",0.0613,2.46,0.0611
19,~d_10,"[0,0747-1,0000]",0.0747,1.95,0.0747
19,a_5,"[0,0747-1,0000]",0.0747,1.95,0.0747
19,a_8,"[0,0744-0,9997]",0.0747,2.07,0.0747
20,~a_1,"[0,0050-1,0000]",0.0050,0.26,0.0050
20,a_6,"[0,0037-1,0000]",0.0048,0.26,0.0050
21,~d_13,"[0,0003-1,0000]",0.0003,2.36,0.0003
21,a_7,"[0,0003-1,0000]",0.0003,2.42,0.0003
22,d_9,"[0,0251-1,0000]",0.0251,2.68,0.0251
22,~a_5,"[0,0193-1,0000]",0.0248,2.69,0.0251
22,~a_7,"[0,0000-0,9760]",0.0240,2.79,0.0251
23,d_10,"[0,0062-1,0000]",0.0062,2.21,0.0062
23,~a_6,"[0,0062-1,0000]",0.0062,2.18,0.0062
23,a_8,"[0,0062-1,0000]",0.0062,2.32,0.0062
24,~a_5,"[0,0013-1,0000]",0.0013,2.57,0.0013
24,a_7,"[0,0001-0,9988]",0.0013,2.76,0.0013
25,d_17,"[0,0774-1,0000]",0.0774,2.10,0.0774
25,a_6,"[0,0772-1,0000]",0.0818,2.10,0.0774
25,~a_8,"[0,0774-1,0000]",0.0774,2.22,0.0774
26,~a_0,"[0,0020-1,0000]",0.0022,2.35,0.0023
26,a_5,"[0,0023-1,0000]",0.0023,2.38,0.0023
26,~a_8,"[0,0021-1,0000]",0.0022,2.51,0.0023
27,~a_2,"[0,0019-1,0000]",0.0019,2.57,0.0019
27,a_5,"[0,0009-1,0000]",0.0010,2.56,0.0019
27,~a_8,"[0,0000-0,9983]",0.0017,2.64,0.0019
28,d_10,"[0,0037-1,0000]",0.0037,2.12,0.0037
28,a_6,"[0,0037-1,0000]",0.0037,2.13,0.0037
29,d_17,"[0,6145-1,0000]",0.6145,1.28,0.6145
30,a_0,"[0,0206-1,0000]",0.0206,0.90,0.0206
32,~d_12,"[0,0037-1,0000]",0.0037,0.49,0.0037
32,~a_8,"[0,0028-0,9991]",0.0037,0.52,0.0037
32,a_8,"[0,0009-0,9972]",0.0037,0.52,0.0037
33,~a_2,"[0,0178-1,0000]",0.0178,1.60,0.0178
33,a_9,"[0,0176-0,9999]",0.0178,1.63,0.0178
34,d_9,"[0,0046-1,0000]",0.0051,1.70,0.0057
34,~a_8,"[0,0057-1,0000]",0.0057,1.73,0.0057
34,a_8,"[0,0000-0,9943]",0.0057,1.73,0.0057
35,d_10,"[0,0060-1,0000]",0.0060,2.59,0.0060
35,a_8,"[0,0052-0,9992]",0.0060,2.82,0.0060
36,~a_6,"[0,0005-1,0000]",0.0006,2.78,0.0050
36,a_8,"[0,0050-1,0000]",0.0050,2.83,0.0050
37,~d_18,"[0,0031-1,0000]",0.0031,2.78,0.0031
37,~a_6,"[0,0031-1,0000]",0.0031,2.77,0.0031
37,~a_9,"[0,0000-0,9987]",0.0013,2.95,0.0031
38,a_4,"[0,1046-1,0000]",0.1046,1.47,0.1046
38,a_7,"[0,1035-1,0000]",0.1217,1.46,0.1046
