Prog,Lit,Intervalo,Metric,Time,Mass
0,d_13,"[0,4587-1,0000]",0.9069,629.50,0.8987
0,~a_6,"[0,6831-1,0000]",0.9106,629.01,0.8987
0,~a_8,"[0,0174-0,3343]",0.9106,636.86,0.8987
1,~d_16,"[0,7177-1,0000]",0.8752,58.33,0.8520
2,a_3,"[0,5646-1,0000]",0.8490,109.65,0.8174
2,a_5,"[0,5750-1,0000]",0.8526,109.97,0.8174
3,a_0,"[0,5185-1,0000]",0.8853,364.37,0.8824
3,a_7,"[0,6086-0,9815]",0.8958,365.31,0.8824
3,~a_7,"[0,0185-0,3914]",0.8958,365.15,0.8824
4,a_7,"[0,2303-0,5491]",0.9206,54.32,0.9086
5,~d_9,"[0,8410-1,0000]",0.8898,110.37,0.8733
6,a_6,"[0,4660-1,0000]",0.8693,107.71,0.8609
6,a_8,"[0,1594-0,7073]",0.8751,108.17,0.8609
7,a_0,"[0,4928-1,0000]",0.9098,200.00,0.9093
7,~a_5,"[0,4928-1,0000]",0.9098,200.58,0.9093
8,a_4,"[0,7778-1,0000]",0.9096,217.87,0.8933
9,~a_7,"[0,2682-0,7794]",0.8755,102.34,0.8656
10,a_0,"[0,8644-1,0000]",0.9498,56.71,0.9384
10,a_7,"[0,2374-0,6483]",0.9434,56.57,0.9384
10,a_8,"[0,0000-0,4108]",0.9434,57.41,0.9384
11,a_7,"[0,7897-0,9560]",0.9139,383.38,0.8957
11,a_8,"[0,1722-0,3385]",0.9139,384.91,0.8957
12,a_8,"[0,2860-0,5184]",0.9089,28.63,0.8948
13,a_0,"[0,4680-1,0000]",0.8405,112.01,0.8335
14,a_7,"[0,1644-0,6465]",0.8897,165.23,0.8856
15,~a_0,"[0,6129-1,0000]",0.8821,421.81,0.8555
16,a_4,"[0,6078-1,0000]",0.8979,219.09,0.8773
16,a_8,"[0,1330-0,5252]",0.8979,220.73,0.8773
16,~a_8,"[0,4748-0,8670]",0.8979,220.67,0.8773
17,a_1,"[0,5853-1,0000]",0.9145,374.14,0.8945
17,~a_5,"[0,5030-1,0000]",0.8795,373.51,0.8945
17,~a_8,"[0,0776-0,2834]",0.9114,375.91,0.8945
18,a_7,"[0,4236-0,9591]",0.8724,373.21,0.8767
18,~a_8,"[0,1859-0,7214]",0.8724,372.47,0.8767
21,a_5,"[0,6263-1,0000]",0.9004,354.67,0.8878
21,a_9,"[0,2011-0,5748]",0.9004,355.20,0.8878
22,~d_17,"[0,9202-1,0000]",0.9202,47.90,0.9202
23,d_14,"[0,4432-1,0000]",0.8789,111.13,0.8848
23,~a_7,"[0,0108-0,1806]",0.9024,112.17,0.8848
25,~a_7,"[0,2993-0,8651]",0.8441,58.09,0.8552
26,~a_0,"[0,6664-1,0000]",0.9045,338.62,0.8763
27,a_9,"[0,7626-0,8913]",0.8801,312.72,0.8745
27,~a_8,"[0,1094-0,2483]",0.8822,314.55,0.8745
28,a_3,"[0,5902-1,0000]",0.9266,54.55,0.9106
29,a_7,"[0,5087-0,7301]",0.8803,205.01,0.8580
30,a_1,"[0,7405-1,0000]",0.8806,57.64,0.8457
30,~a_9,"[0,4998-0,7593]",0.8806,57.71,0.8457
30,a_9,"[0,2407-0,5002]",0.8806,57.79,0.8457
33,d_15,"[0,4425-1,0000]",0.8844,14.00,0.8652
33,a_9,"[0,3080-0,7034]",0.8917,14.12,0.8652
