Prog,Lit,Exact,Time
0,d_13,"[0,5058-1,0000]",135.42
0,~a_6,"[0,7502-1,0000]",133.82
0,~a_8,"[0,0222-0,2720]",138.16
1,~d_16,"[0,8200-1,0000]",8.42
2,a_3,"[0,6650-1,0000]",16.81
2,a_5,"[0,6744-1,0000]",16.65
3,a_0,"[0,5857-1,0000]",67.15
3,a_7,"[0,6720-0,9720]",66.89
3,~a_7,"[0,0280-0,3280]",66.86
4,a_7,"[0,2581-0,5181]",8.58
5,~d_9,"[0,9451-1,0000]",16.85
6,a_6,"[0,5360-1,0000]",16.86
6,a_8,"[0,1947-0,6781]",17.26
7,a_0,"[0,5417-1,0000]",33.54
7,~a_5,"[0,5417-1,0000]",33.59
8,a_4,"[0,8551-1,0000]",67.34
9,~a_7,"[0,3054-0,7471]",16.98
10,a_0,"[0,9100-1,0000]",34.94
10,a_7,"[0,2552-0,6307]",35.21
10,a_8,"[0,0000-0,3755]",35.49
11,a_7,"[0,8564-0,9442]",141.58
11,a_8,"[0,1934-0,2812]",142.02
12,a_8,"[0,3277-0,4832]",8.50
13,a_0,"[0,5569-1,0000]",34.78
14,a_7,"[0,1888-0,6067]",70.87
15,~a_0,"[0,6949-1,0000]",139.87
16,a_4,"[0,6769-1,0000]",69.53
16,a_8,"[0,1630-0,4861]",70.32
16,~a_8,"[0,5139-0,8370]",70.06
17,a_1,"[0,6400-1,0000]",139.32
17,~a_5,"[0,5719-1,0000]",139.42
17,~a_8,"[0,0894-0,2181]",140.56
18,a_7,"[0,4806-0,9481]",141.02
18,~a_8,"[0,2291-0,6966]",141.02
21,a_5,"[0,6956-1,0000]",138.44
21,a_9,"[0,2336-0,5379]",140.80
22,~d_17,"[1,0000-1,0000]",35.93
23,d_14,"[0,5042-1,0000]",35.20
23,~a_7,"[0,0160-0,0960]",35.89
25,~a_7,"[0,3521-0,8377]",18.16
26,~a_0,"[0,7368-1,0000]",140.50
27,a_9,"[0,8574-0,8674]",141.15
27,~a_8,"[0,1325-0,1564]",142.41
28,a_3,"[0,6370-1,0000]",17.43
29,a_7,"[0,5964-0,7118]",71.97
30,a_1,"[0,8409-1,0000]",17.66
30,~a_9,"[0,5639-0,7231]",17.69
30,a_9,"[0,2769-0,4361]",17.70
33,d_15,"[0,5003-1,0000]",4.33
33,a_9,"[0,3392-0,6612]",4.46
33,~a_9,"[0,3388-0,6608]",4.42
34,a_0,"[0,6536-1,0000]",70.57
35,d_19,"[0,5856-1,0000]",141.28
35,a_6,"[0,8940-1,0000]",140.09
35,a_8,"[0,4943-0,9087]",142.36
37,~a_6,"[0,7819-1,0000]",18.16
37,a_7,"[0,0222-0,1486]",18.60
38,d_17,"[0,8300-1,0000]",35.38
38,a_7,"[0,4723-0,9082]",36.06
38,~a_8,"[0,1425-0,5784]",36.29
39,a_6,"[0,7122-1,0000]",70.58
39,a_8,"[0,5861-0,8739]",72.04
40,a_3,"[0,8400-1,0000]",70.61
41,a_5,"[0,9800-1,0000]",570.94
41,~a_8,"[0,2820-0,7415]",578.67
42,d_13,"[0,7551-1,0000]",35.45
42,a_6,"[0,5041-1,0000]",35.63
42,a_9,"[0,2510-0,4959]",35.63
43,d_11,"[0,7037-1,0000]",35.57
43,a_5,"[0,6109-1,0000]",35.47
43,~a_7,"[0,2149-0,5755]",36.08
44,d_10,"[0,6190-1,0000]",141.66
45,d_10,"[0,8506-1,0000]",140.44
45,a_5,"[0,9500-1,0000]",139.87
45,a_8,"[0,0831-0,1331]",142.34
46,a_7,"[0,7000-1,0000]",8.88
46,~a_7,"[0,0000-0,3000]",8.79
48,~d_13,"[0,6200-1,0000]",70.63
49,d_12,"[0,7500-1,0000]",69.16
50,d_9,"[0,8280-1,0000]",141.82
51,~a_0,"[0,7108-1,0000]",141.37
51,~a_7,"[0,7086-0,9586]",143.60
51,~a_8,"[0,7639-0,9385]",144.00
52,~a_9,"[0,3976-0,6632]",17.45
53,d_16,"[0,6300-1,0000]",16.67
53,a_9,"[0,2530-0,5605]",17.08
53,a_7,"[0,5617-0,6617]",17.03
54,a_1,"[0,9400-1,0000]",16.19
54,a_7,"[0,6324-1,0000]",16.25
54,a_8,"[0,6324-1,0000]",16.35
56,a_5,"[0,7960-1,0000]",65.68
56,~a_7,"[0,1481-0,3520]",67.19
57,~d_17,"[0,8100-1,0000]",131.96
57,a_7,"[0,3625-0,6225]",133.29
57,~a_7,"[0,3775-0,6375]",132.83
58,d_15,"[0,7638-1,0000]",131.45
59,d_12,"[0,9419-1,0000]",29.94
60,~a_6,"[0,6060-1,0000]",120.22
60,~a_8,"[0,2957-0,7819]",124.68
61,a_8,"[0,9177-0,9877]",121.88
63,d_17,"[0,9500-1,0000]",59.31
65,~d_16,"[0,6422-1,0000]",29.74
65,~a_8,"[0,4054-0,8992]",30.69
67,a_3,"[0,5270-1,0000]",59.77
67,~a_6,"[0,7900-1,0000]",59.96
67,~a_8,"[0,0220-0,3920]",61.34
68,~a_3,"[0,5331-1,0000]",59.18
69,d_20,"[0,6368-1,0000]",237.64
69,~a_10,"[0,3174-0,6088]",241.44
71,~a_6,"[0,9650-1,0000]",14.81
71,a_7,"[0,5604-0,5954]",14.96
72,~a_8,"[0,1464-0,3764]",121.97
73,~d_14,"[0,6164-1,0000]",3.85
75,a_3,"[0,5577-1,0000]",59.77
75,a_6,"[0,5577-1,0000]",59.73
75,~a_7,"[0,3682-0,4282]",60.61
76,~d_10,"[0,8200-1,0000]",242.50
77,a_3,"[0,6158-1,0000]",120.47
77,a_9,"[0,5609-0,9452]",123.26
78,d_10,"[0,7700-1,0000]",29.97
78,a_8,"[0,3159-0,5558]",30.08
79,d_12,"[0,8900-1,0000]",240.40
79,~a_8,"[0,3585-0,6285]",245.15
79,a_8,"[0,3715-0,6415]",244.28
80,~a_2,"[0,7100-1,0000]",29.92
80,~a_7,"[0,0000-0,1918]",31.14
80,a_7,"[0,8082-1,0000]",30.29
81,a_7,"[0,9160-1,0000]",120.19
81,~a_7,"[0,0000-0,0840]",120.54
82,~d_18,"[0,5571-1,0000]",34.64
83,~a_4,"[1,0000-1,0000]",17.53
84,~a_5,"[0,7109-1,0000]",17.47
85,d_10,"[0,8728-1,0000]",281.30
85,~a_7,"[0,8900-1,0000]",281.07
85,a_9,"[0,5303-0,6403]",285.91
86,d_19,"[0,5400-1,0000]",282.26
88,a_5,"[0,7478-1,0000]",550.77
88,~a_8,"[0,7252-0,9774]",559.97
89,~d_12,"[0,6958-1,0000]",15.32
90,~d_12,"[0,7200-1,0000]",58.28
91,a_4,"[0,5271-1,0000]",473.03
91,~a_6,"[0,5271-1,0000]",476.00
92,d_12,"[0,7700-1,0000]",14.97
94,~d_9,"[0,5685-1,0000]",121.02
94,~a_7,"[1,0000-1,0000]",121.83
94,a_7,"[0,0000-0,0000]",121.62
95,d_12,"[0,7620-1,0000]",30.08
95,~a_8,"[0,6051-0,9922]",30.40
95,a_8,"[0,0078-0,3949]",30.25
96,~d_16,"[0,6724-1,0000]",30.04
97,a_5,"[0,8453-1,0000]",30.37
97,a_8,"[0,4429-0,5976]",30.50
98,d_17,"[0,8369-1,0000]",30.15
98,~a_6,"[0,5469-1,0000]",30.50
98,~a_7,"[0,1179-0,5710]",31.15
100,a_5,"[0,8800-1,0000]",116.69
100,a_8,"[0,4272-0,5472]",118.26
101,a_1,"[0,6380-1,0000]",3.67
101,~a_8,"[0,5244-0,7644]",3.69
102,a_3,"[0,7300-1,0000]",485.33
103,d_11,"[0,9700-1,0000]",61.09
103,~a_8,"[0,3426-0,7126]",62.00
103,a_7,"[0,2070-0,5770]",61.82
104,a_0,"[0,6784-1,0000]",70.98
104,a_5,"[0,6627-1,0000]",71.26
104,a_7,"[0,6627-0,9843]",71.51
105,a_4,"[0,6200-1,0000]",284.96
105,a_8,"[0,3785-0,8545]",292.80
105,~a_8,"[0,1455-0,6215]",292.34
107,~a_5,"[0,7800-1,0000]",35.09
107,a_8,"[0,0000-0,2200]",35.27
108,d_9,"[0,6500-1,0000]",141.90
109,a_0,"[1,0000-1,0000]",8.84
109,~a_8,"[0,0000-0,0000]",9.49
110,a_2,"[1,0000-1,0000]",280.49
110,~a_7,"[0,5085-0,8088]",285.12
110,a_8,"[0,2349-0,5352]",283.77
111,d_11,"[0,7240-1,0000]",35.37
111,a_7,"[0,3607-0,6707]",36.30
111,a_9,"[0,5849-0,8771]",37.01
112,d_11,"[0,9589-1,0000]",17.49
113,~d_11,"[0,9300-1,0000]",17.77
113,~a_8,"[0,5485-0,8824]",18.32
113,a_8,"[0,1176-0,4515]",18.24
115,a_4,"[0,8307-1,0000]",71.40
115,a_8,"[0,6042-0,8242]",72.92
115,~a_7,"[0,6875-0,9075]",72.17
116,d_9,"[0,5285-1,0000]",141.61
118,~a_8,"[0,7703-0,7903]",17.50
119,~a_3,"[0,5510-1,0000]",35.34
119,a_8,"[0,3085-0,8060]",35.72
119,~a_7,"[0,3647-0,4947]",35.88
120,a_3,"[0,5646-1,0000]",70.79
121,a_4,"[0,7600-1,0000]",35.35
121,a_7,"[0,3380-0,4877]",35.64
121,~a_7,"[0,5123-0,6620]",35.59
122,d_11,"[0,9700-1,0000]",17.45
122,~a_8,"[0,0582-0,5450]",17.82
