Prog,Lit,Intervalo,Metric,Time,Mass
0,d_13,"[0,1394-1,0000]",0.2756,34.42,0.2488
0,~a_6,"[0,1827-1,0000]",0.2435,34.12,0.2488
0,~a_8,"[0,0103-0,8290]",0.2416,35.24,0.2488
1,~d_16,"[0,2339-1,0000]",0.2852,2.10,0.2568
2,a_3,"[0,0015-1,0000]",0.0023,4.21,0.0732
2,a_5,"[0,0630-1,0000]",0.0934,4.27,0.0732
3,a_0,"[0,1906-1,0000]",0.3254,17.36,0.1906
3,a_7,"[0,1227-0,9986]",0.1773,17.27,0.1906
3,~a_7,"[0,0014-0,8773]",0.1773,16.95,0.1906
4,a_7,"[0,1205-0,9386]",0.2459,2.17,0.3148
5,~d_9,"[0,0454-1,0000]",0.0480,4.71,0.0468
6,a_6,"[0,0219-1,0000]",0.0409,4.69,0.1425
6,a_8,"[0,0116-0,9972]",0.0278,4.70,0.1425
7,a_0,"[0,0500-1,0000]",0.0922,9.13,0.0694
7,~a_5,"[0,0498-1,0000]",0.0919,9.30,0.0694
8,a_4,"[0,0000-1,0000]",0.0000,18.03,0.0000
9,~a_7,"[0,0081-0,9694]",0.0692,4.94,0.0971
10,a_0,"[0,1669-1,0000]",0.1834,4.21,0.1669
10,a_7,"[0,0814-0,9664]",0.1841,4.35,0.1669
10,a_8,"[0,0000-0,8850]",0.1841,4.52,0.1669
11,a_7,"[0,0068-0,9971]",0.0106,18.38,0.0103
11,a_8,"[0,0029-0,9932]",0.0106,18.39,0.0103
12,a_8,"[0,0148-0,9815]",0.0394,0.96,0.0540
13,a_0,"[0,0320-1,0000]",0.0575,4.69,0.0641
14,a_7,"[0,0178-0,9531]",0.1112,9.51,0.0852
15,~a_0,"[0,1261-1,0000]",0.1815,17.91,0.1261
16,a_4,"[0,0268-1,0000]",0.0395,9.72,0.0348
16,a_8,"[0,0180-0,9912]",0.0395,9.66,0.0348
16,~a_8,"[0,0088-0,9820]",0.0395,9.69,0.0348
17,a_1,"[0,0657-1,0000]",0.1027,18.32,0.0979
17,~a_5,"[0,0979-1,0000]",0.1712,18.31,0.0979
17,~a_8,"[0,0008-0,9115]",0.1024,18.80,0.0979
18,a_7,"[0,0299-0,9915]",0.0720,19.37,0.0914
18,~a_8,"[0,0250-0,9866]",0.0720,19.29,0.0914
21,a_5,"[0,0366-1,0000]",0.0526,18.96,0.0731
21,a_9,"[0,0203-0,9838]",0.0526,19.43,0.0731
22,~d_17,"[0,0000-1,0000]",0.0000,5.22,0.0000
23,d_14,"[0,0311-1,0000]",0.0617,4.54,0.0547
23,~a_7,"[0,0018-0,9529]",0.0531,4.59,0.0547
25,~a_7,"[0,0982-0,9706]",0.2481,2.47,0.1276
26,~a_0,"[0,2319-1,0000]",0.3148,18.17,0.2319
27,a_9,"[0,0742-0,9913]",0.0837,18.41,0.0836
27,~a_8,"[0,0218-0,9412]",0.0826,18.77,0.0836
28,a_3,"[0,0537-1,0000]",0.0843,2.17,0.0699
29,a_7,"[0,1465-0,9581]",0.2130,9.58,0.1884
30,a_1,"[0,1776-1,0000]",0.2112,2.78,0.2180
30,~a_9,"[0,1516-0,9740]",0.2112,2.78,0.2180
30,a_9,"[0,0260-0,8484]",0.2112,2.75,0.2180
33,d_15,"[0,2699-1,0000]",0.5395,0.52,0.2702
33,a_9,"[0,2699-0,9997]",0.3985,0.59,0.2702
33,~a_9,"[0,0003-0,7301]",0.3985,0.58,0.2702
34,a_0,"[0,0468-1,0000]",0.0715,10.08,0.0536
35,d_19,"[0,0332-1,0000]",0.0568,18.94,0.0603
35,a_6,"[0,0559-1,0000]",0.0625,19.01,0.0603
35,a_8,"[0,0132-0,9799]",0.0568,19.69,0.0603
37,~a_6,"[0,1168-1,0000]",0.1494,2.12,0.1168
37,a_7,"[0,0000-0,8889]",0.1272,2.21,0.1168
38,d_17,"[0,0188-1,0000]",0.0226,4.77,0.0270
38,a_7,"[0,0149-0,9998]",0.0268,4.95,0.0270
38,~a_8,"[0,0020-0,9869]",0.0268,5.03,0.0270
39,a_6,"[0,0373-1,0000]",0.0523,9.32,0.0518
39,a_8,"[0,0371-0,9998]",0.0523,9.51,0.0518
40,a_3,"[0,0240-1,0000]",0.0285,9.92,0.0291
41,a_5,"[0,3986-1,0000]",0.4067,95.55,0.4026
41,~a_8,"[0,1523-0,9275]",0.4160,97.10,0.4026
42,d_13,"[0,1412-1,0000]",0.1870,4.60,0.1412
42,a_6,"[0,1075-1,0000]",0.2132,4.46,0.1412
42,a_9,"[0,0337-0,8925]",0.1870,4.65,0.1412
43,d_11,"[0,0096-1,0000]",0.0137,4.40,0.0139
43,a_5,"[0,0098-1,0000]",0.0160,4.33,0.0139
43,~a_7,"[0,0021-0,9921]",0.0157,4.40,0.0139
44,d_10,"[0,0307-1,0000]",0.0496,17.84,0.0532
45,d_10,"[0,1245-1,0000]",0.1463,18.36,0.1496
45,a_5,"[0,1435-1,0000]",0.1510,18.39,0.1496
45,a_8,"[0,0187-0,8753]",0.1510,18.61,0.1496
46,a_7,"[0,0216-1,0000]",0.0308,1.13,0.0552
46,~a_7,"[0,0000-0,9784]",0.0308,1.07,0.0552
48,~d_13,"[0,0154-1,0000]",0.0248,8.84,0.0176
49,d_12,"[0,0284-1,0000]",0.0379,9.44,0.0499
50,d_9,"[0,0275-1,0000]",0.0332,20.63,0.0464
51,~a_0,"[0,0885-1,0000]",0.1245,18.04,0.2474
51,~a_7,"[0,1859-0,9953]",0.2542,18.55,0.2474
51,~a_8,"[0,2339-0,9866]",0.2997,19.23,0.2474
52,~a_9,"[0,0004-0,9989]",0.0020,2.37,0.0021
53,d_16,"[0,0038-1,0000]",0.0060,2.20,0.0120
53,a_9,"[0,0022-0,9962]",0.0086,2.17,0.0120
53,a_7,"[0,0001-0,9888]",0.0126,2.23,0.0120
54,a_1,"[0,2340-1,0000]",0.2489,3.10,0.2403
54,a_7,"[0,2403-1,0000]",0.3800,3.06,0.2403
54,a_8,"[0,2403-1,0000]",0.3800,3.01,0.2403
56,a_5,"[0,0557-1,0000]",0.0700,9.91,0.0557
56,~a_7,"[0,0084-0,9527]",0.0700,9.99,0.0557
57,~d_17,"[0,0815-1,0000]",0.1006,19.47,0.0962
57,a_7,"[0,0299-0,9443]",0.1157,19.55,0.0962
57,~a_7,"[0,0557-0,9701]",0.1157,19.34,0.0962
58,d_15,"[0,0699-1,0000]",0.0916,17.31,0.0719
59,d_12,"[0,1449-1,0000]",0.1538,4.48,0.1482
60,~a_6,"[0,1082-1,0000]",0.1785,19.55,0.1457
60,~a_8,"[0,0600-0,9143]",0.2836,21.09,0.1457
61,a_8,"[0,0525-0,9989]",0.0577,19.64,0.0581
63,d_17,"[0,0506-1,0000]",0.0532,8.67,0.0543
65,~d_16,"[0,2634-1,0000]",0.4102,4.89,0.2915
65,~a_8,"[0,1586-0,9536]",0.4051,4.84,0.2915
67,a_3,"[0,0337-1,0000]",0.0639,9.25,0.0763
67,~a_6,"[0,0763-1,0000]",0.0966,9.28,0.0763
67,~a_8,"[0,0067-0,9706]",0.0573,9.43,0.0763
68,~a_3,"[0,0535-1,0000]",0.1004,8.46,0.1074
69,d_20,"[0,0632-1,0000]",0.0993,32.78,0.0962
69,~a_10,"[0,0216-0,9681]",0.0756,32.81,0.0962
71,~a_6,"[0,2130-1,0000]",0.2207,2.02,0.2130
71,a_7,"[0,0716-0,8586]",0.2207,2.16,0.2130
72,~a_8,"[0,0115-0,9685]",0.0558,19.48,0.0599
73,~d_14,"[0,0359-1,0000]",0.0583,0.37,0.0361
75,a_3,"[0,0396-1,0000]",0.0711,9.08,0.0937
75,a_6,"[0,0396-1,0000]",0.0711,9.04,0.0937
75,~a_7,"[0,0271-0,9427]",0.0899,9.35,0.0937
76,~d_10,"[0,1853-1,0000]",0.2260,39.38,0.2547
77,a_3,"[0,0038-1,0000]",0.0061,16.04,0.0087
77,a_9,"[0,0036-0,9998]",0.0061,15.97,0.0087
78,d_10,"[0,0176-1,0000]",0.0228,3.95,0.0231
78,a_8,"[0,0090-0,9946]",0.0190,4.13,0.0231
79,d_12,"[0,0547-1,0000]",0.0615,41.01,0.0626
79,~a_8,"[0,0196-0,9712]",0.0663,41.15,0.0626
79,a_8,"[0,0288-0,9804]",0.0663,40.89,0.0626
80,~a_2,"[0,0265-1,0000]",0.0373,4.30,0.1371
80,~a_7,"[0,0000-0,8837]",0.1439,4.44,0.1371
80,a_7,"[0,1163-1,0000]",0.1439,4.42,0.1371
81,a_7,"[0,2927-1,0000]",0.3195,17.60,0.3205
81,~a_7,"[0,0000-0,7073]",0.3195,17.56,0.3205
82,~d_18,"[0,0295-1,0000]",0.0530,4.17,0.0580
83,~a_4,"[0,1574-1,0000]",0.1574,2.34,0.1575
84,~a_5,"[0,0040-1,0000]",0.0057,2.10,0.0328
85,d_10,"[0,2599-1,0000]",0.2978,34.15,0.2812
85,~a_7,"[0,2812-1,0000]",0.3160,34.11,0.2812
85,a_9,"[0,1907-0,9097]",0.3158,34.97,0.2812
86,d_19,"[0,1590-1,0000]",0.2945,33.60,0.2789
88,a_5,"[0,4537-1,0000]",0.6068,75.74,0.4795
88,~a_8,"[0,4426-0,9889]",0.6068,77.20,0.4795
89,~d_12,"[0,0400-1,0000]",0.0575,1.92,0.0538
90,~d_12,"[0,0394-1,0000]",0.0547,8.47,0.0485
91,a_4,"[0,0576-1,0000]",0.1093,67.78,0.0943
91,~a_6,"[0,0576-1,0000]",0.1093,67.27,0.0943
92,d_12,"[0,0194-1,0000]",0.0252,2.29,0.0296
94,~d_9,"[0,0732-1,0000]",0.1288,16.98,0.1722
94,~a_7,"[0,1559-1,0000]",0.1559,16.79,0.1722
94,a_7,"[0,0000-0,8441]",0.1559,17.21,0.1722
95,d_12,"[0,1343-1,0000]",0.1762,4.37,0.1487
95,~a_8,"[0,1454-0,9967]",0.2426,4.36,0.1487
95,a_8,"[0,0033-0,8546]",0.2426,4.24,0.1487
96,~d_16,"[0,1021-1,0000]",0.1518,3.86,0.1523
97,a_5,"[0,1066-1,0000]",0.1261,4.08,0.1314
97,a_8,"[0,0386-0,9320]",0.1261,4.22,0.1314
98,d_17,"[0,0696-1,0000]",0.0832,4.21,0.0881
98,~a_6,"[0,0881-1,0000]",0.1611,4.12,0.0881
98,~a_7,"[0,0242-0,9360]",0.1611,4.21,0.0881
100,a_5,"[0,1146-1,0000]",0.1302,16.87,0.1371
100,a_8,"[0,0405-0,9259]",0.1302,17.29,0.1371
101,a_1,"[0,0625-1,0000]",0.0980,0.58,0.1290
101,~a_8,"[0,0617-0,9326]",0.1698,0.53,0.1290
102,a_3,"[0,1007-1,0000]",0.1380,74.95,0.1272
103,d_11,"[0,0707-1,0000]",0.0728,9.64,0.0784
103,~a_8,"[0,0156-0,9719]",0.0694,9.78,0.0784
103,a_7,"[0,0163-0,9726]",0.0694,9.81,0.0784
104,a_0,"[0,0160-1,0000]",0.0236,8.91,0.0989
104,a_5,"[0,0119-1,0000]",0.0179,8.89,0.0989
104,a_7,"[0,0119-0,9959]",0.0236,8.88,0.0989
105,a_4,"[0,0628-1,0000]",0.1013,32.76,0.1029
105,a_8,"[0,0447-0,9835]",0.1168,33.49,0.1029
105,~a_8,"[0,0165-0,9553]",0.1168,33.47,0.1029
107,~a_5,"[0,1754-1,0000]",0.2249,4.21,0.1754
107,a_8,"[0,0000-0,8246]",0.2249,4.07,0.1754
108,d_9,"[0,0311-1,0000]",0.0478,16.62,0.0484
109,a_0,"[0,0540-1,0000]",0.0540,1.01,0.0540
109,~a_8,"[0,0000-0,9460]",0.0540,1.04,0.0540
110,a_2,"[0,0308-1,0000]",0.0308,39.15,0.0319
110,~a_7,"[0,0157-0,9941]",0.0309,39.26,0.0319
110,a_8,"[0,0130-0,9914]",0.0309,39.10,0.0319
111,d_11,"[0,1588-1,0000]",0.2193,4.34,0.1878
111,a_7,"[0,0790-0,9666]",0.1629,4.46,0.1878
111,a_9,"[0,1423-0,9949]",0.2083,4.56,0.1878
112,d_11,"[0,1028-1,0000]",0.1072,2.26,0.1028
113,~d_11,"[0,2155-1,0000]",0.2317,2.23,0.2155
113,~a_8,"[0,0214-0,9924]",0.0435,2.17,0.2155
113,a_8,"[0,0076-0,9786]",0.0435,2.24,0.2155
115,a_4,"[0,0620-1,0000]",0.0746,8.16,0.0707
115,a_8,"[0,0382-0,9917]",0.0596,8.34,0.0707
115,~a_7,"[0,0411-0,9946]",0.0596,8.22,0.0707
116,d_9,"[0,0229-1,0000]",0.0434,18.72,0.0469
118,~a_8,"[0,0325-0,9832]",0.0503,2.08,0.0521
119,~a_3,"[0,0498-1,0000]",0.0904,4.24,0.1005
119,a_8,"[0,0700-0,9694]",0.2001,4.27,0.1005
119,~a_7,"[0,0444-0,9456]",0.1136,4.27,0.1005
120,a_3,"[0,0208-1,0000]",0.0368,7.99,0.0398
121,a_4,"[0,1016-1,0000]",0.1337,4.37,0.1093
121,a_7,"[0,0237-0,9547]",0.0812,4.41,0.1093
121,~a_7,"[0,0453-0,9763]",0.0812,4.51,0.1093
122,d_11,"[0,0647-1,0000]",0.0667,1.86,0.0680
122,~a_8,"[0,0031-0,9750]",0.0549,1.88,0.0680
