Prog,Lit,Intervalo,Metric,Time,Mass
0,d_13,"[0,0465-1,0000]",0.0920,297.54,0.0957
0,~a_6,"[0,0710-1,0000]",0.0946,297.41,0.0957
0,~a_8,"[0,0023-0,9313]",0.0946,333.43,0.0957
1,~d_16,"[0,0792-1,0000]",0.0966,20.01,0.0969
2,a_3,"[0,0623-1,0000]",0.0936,40.96,0.0943
2,a_5,"[0,0636-1,0000]",0.0942,40.74,0.0943
3,a_0,"[0,0515-1,0000]",0.0880,160.47,0.0890
3,a_7,"[0,0578-0,9978]",0.0857,161.51,0.0890
3,~a_7,"[0,0022-0,9422]",0.0857,160.75,0.0890
4,a_7,"[0,0237-0,9566]",0.0906,20.80,0.0923
5,~d_9,"[0,0934-1,0000]",0.0988,40.81,0.0983
6,a_6,"[0,0516-1,0000]",0.0964,41.29,0.0916
6,a_8,"[0,0195-0,9699]",0.0961,42.11,0.0916
7,a_0,"[0,0534-1,0000]",0.0986,80.82,0.0979
7,~a_5,"[0,0534-1,0000]",0.0986,80.96,0.0979
8,a_4,"[0,0781-1,0000]",0.0913,163.93,0.0925
9,~a_7,"[0,0272-0,9777]",0.0886,41.52,0.0895
10,a_0,"[0,0860-1,0000]",0.0945,41.13,0.0939
10,a_7,"[0,0267-0,9687]",0.0928,41.05,0.0939
10,a_8,"[0,0000-0,9421]",0.0928,41.35,0.0939
11,a_7,"[0,0865-0,9952]",0.1000,165.16,0.0998
11,a_8,"[0,0193-0,9281]",0.1000,166.08,0.0998
12,a_8,"[0,0325-0,9528]",0.0944,10.53,0.0935
13,a_0,"[0,0522-1,0000]",0.0937,41.06,0.0946
14,a_7,"[0,0171-0,9604]",0.0974,83.21,0.0953
15,~a_0,"[0,0696-1,0000]",0.1001,166.98,0.0981
16,a_4,"[0,0655-1,0000]",0.0967,82.04,0.0977
16,a_8,"[0,0157-0,9503]",0.0967,82.98,0.0977
16,~a_8,"[0,0497-0,9843]",0.0967,82.70,0.0977
17,a_1,"[0,0635-1,0000]",0.0992,165.77,0.0961
17,~a_5,"[0,0522-1,0000]",0.0914,166.39,0.0961
17,~a_8,"[0,0108-0,9265]",0.0968,167.93,0.0961
18,a_7,"[0,0449-0,9953]",0.0932,170.11,0.0972
18,~a_8,"[0,0205-0,9709]",0.0932,169.65,0.0972
21,a_5,"[0,0643-1,0000]",0.0924,166.95,0.0950
21,a_9,"[0,0209-0,9567]",0.0924,168.95,0.0950
22,~d_17,"[0,0927-1,0000]",0.0927,41.95,0.0927
23,d_14,"[0,0487-1,0000]",0.0966,41.33,0.0925
23,~a_7,"[0,0015-0,9162]",0.0928,41.79,0.0925
25,~a_7,"[0,0353-0,9845]",0.0989,20.43,0.0959
26,~a_0,"[0,0731-1,0000]",0.0993,166.44,0.0995
27,a_9,"[0,0812-0,9892]",0.0929,166.36,0.0929
27,~a_8,"[0,0133-0,9224]",0.0931,168.15,0.0929
28,a_3,"[0,0575-1,0000]",0.0903,20.73,0.0918
29,a_7,"[0,0574-0,9712]",0.0974,83.95,0.0965
30,a_1,"[0,0837-1,0000]",0.0996,20.77,0.0993
30,~a_9,"[0,0565-0,9728]",0.0996,20.66,0.0993
30,a_9,"[0,0272-0,9435]",0.0996,20.80,0.0993
33,d_15,"[0,0467-1,0000]",0.0933,5.16,0.0946
33,a_9,"[0,0303-0,9674]",0.0928,5.30,0.0946
33,~a_9,"[0,0326-0,9697]",0.0928,5.22,0.0946
34,a_0,"[0,0580-1,0000]",0.0887,82.72,0.0923
35,d_19,"[0,0605-1,0000]",0.1033,166.96,0.1017
35,a_6,"[0,0917-1,0000]",0.1025,166.64,0.1017
35,a_8,"[0,0515-0,9910]",0.1033,168.42,0.1017
37,~a_6,"[0,0708-1,0000]",0.0905,20.48,0.0907
37,a_7,"[0,0022-0,9237]",0.0899,20.69,0.0907
38,d_17,"[0,0818-1,0000]",0.0986,41.75,0.0988
38,a_7,"[0,0461-0,9909]",0.0979,42.08,0.0988
38,~a_8,"[0,0129-0,9577]",0.0979,42.10,0.0988
39,a_6,"[0,0690-1,0000]",0.0969,82.89,0.0950
39,a_8,"[0,0566-0,9876]",0.0969,84.38,0.0950
40,a_3,"[0,0790-1,0000]",0.0940,83.17,0.0942
41,a_5,"[0,0946-1,0000]",0.0966,663.50,0.0965
41,~a_8,"[0,0271-0,9736]",0.0990,672.05,0.0965
42,d_13,"[0,0758-1,0000]",0.1004,40.90,0.0989
42,a_6,"[0,0505-1,0000]",0.1002,41.44,0.0989
42,a_9,"[0,0253-0,9495]",0.1004,41.26,0.0989
43,d_11,"[0,0632-1,0000]",0.0898,41.00,0.0895
43,a_5,"[0,0536-1,0000]",0.0877,40.56,0.0895
43,~a_7,"[0,0194-0,9628]",0.0886,41.23,0.0895
44,d_10,"[0,0597-1,0000]",0.0965,164.29,0.0962
45,d_10,"[0,0817-1,0000]",0.0960,163.70,0.0959
45,a_5,"[0,0911-1,0000]",0.0959,163.71,0.0959
45,a_8,"[0,0079-0,9167]",0.0959,165.66,0.0959
46,a_7,"[0,0688-1,0000]",0.0983,10.47,0.0956
46,~a_7,"[0,0000-0,9312]",0.0983,10.36,0.0956
48,~d_13,"[0,0584-1,0000]",0.0941,81.07,0.0945
49,d_12,"[0,0746-1,0000]",0.0995,82.16,0.0981
50,d_9,"[0,0750-1,0000]",0.0906,162.91,0.0919
51,~a_0,"[0,0593-1,0000]",0.0834,164.38,0.0828
51,~a_7,"[0,0563-0,9953]",0.0814,166.79,0.0828
51,~a_8,"[0,0617-0,9943]",0.0817,167.03,0.0828
52,~a_9,"[0,0357-0,9683]",0.0917,21.02,0.0911
53,d_16,"[0,0533-1,0000]",0.0846,20.68,0.0929
53,a_9,"[0,0226-0,9595]",0.0911,21.06,0.0929
53,a_7,"[0,0524-0,9684]",0.0933,21.00,0.0929
54,a_1,"[0,0872-1,0000]",0.0928,20.27,0.0930
54,a_7,"[0,0588-1,0000]",0.0929,20.32,0.0930
54,a_8,"[0,0588-1,0000]",0.0929,20.43,0.0930
56,a_5,"[0,0747-1,0000]",0.0938,82.67,0.0936
56,~a_7,"[0,0137-0,9390]",0.0938,84.10,0.0936
57,~d_17,"[0,0783-1,0000]",0.0967,164.83,0.0951
57,a_7,"[0,0336-0,9623]",0.0963,166.43,0.0951
57,~a_7,"[0,0377-0,9664]",0.0963,166.40,0.0951
58,d_15,"[0,0749-1,0000]",0.0981,163.25,0.0955
59,d_12,"[0,0905-1,0000]",0.0961,40.89,0.0961
60,~a_6,"[0,0572-1,0000]",0.0945,159.43,0.0940
60,~a_8,"[0,0295-0,9780]",0.1002,164.06,0.0940
61,a_8,"[0,0858-0,9990]",0.0934,163.08,0.0928
63,d_17,"[0,0960-1,0000]",0.1010,80.25,0.1007
65,~d_16,"[0,0623-1,0000]",0.0970,39.97,0.0973
65,~a_8,"[0,0395-0,9893]",0.0993,40.71,0.0973
67,a_3,"[0,0534-1,0000]",0.1014,81.30,0.0963
67,~a_6,"[0,0763-1,0000]",0.0966,81.06,0.0963
67,~a_8,"[0,0025-0,9394]",0.1001,82.63,0.0963
68,~a_3,"[0,0521-1,0000]",0.0976,80.17,0.0956
69,d_20,"[0,0585-1,0000]",0.0919,322.43,0.0926
69,~a_10,"[0,0292-0,9636]",0.0926,325.03,0.0926
71,~a_6,"[0,0956-1,0000]",0.0991,19.56,0.0990
71,a_7,"[0,0590-0,9634]",0.0991,19.91,0.0990
72,~a_8,"[0,0169-0,9396]",0.1003,160.88,0.0992
73,~d_14,"[0,0593-1,0000]",0.0962,4.98,0.1000
75,a_3,"[0,0488-1,0000]",0.0875,81.11,0.0911
75,a_6,"[0,0488-1,0000]",0.0875,81.19,0.0911
75,~a_7,"[0,0355-0,9498]",0.0911,81.87,0.0911
76,~d_10,"[0,0734-1,0000]",0.0895,327.00,0.0907
77,a_3,"[0,0655-1,0000]",0.1064,160.19,0.1102
77,a_9,"[0,0625-0,9970]",0.1064,161.81,0.1102
78,d_10,"[0,0679-1,0000]",0.0882,40.14,0.0903
78,a_8,"[0,0282-0,9631]",0.0857,40.58,0.0903
79,d_12,"[0,0881-1,0000]",0.0990,320.20,0.0984
79,~a_8,"[0,0331-0,9618]",0.0976,324.73,0.0984
79,a_8,"[0,0382-0,9669]",0.0976,324.55,0.0984
80,~a_2,"[0,0681-1,0000]",0.0959,38.05,0.0936
80,~a_7,"[0,0000-0,9257]",0.0919,39.10,0.0936
80,a_7,"[0,0743-1,0000]",0.0919,38.55,0.0936
81,a_7,"[0,0880-1,0000]",0.0961,148.04,0.0956
81,~a_7,"[0,0000-0,9120]",0.0961,147.83,0.0956
82,~d_18,"[0,0505-1,0000]",0.0906,33.69,0.0925
83,~a_4,"[0,0992-1,0000]",0.0992,16.93,0.0992
84,~a_5,"[0,0761-1,0000]",0.1071,16.78,0.1047
85,d_10,"[0,0847-1,0000]",0.0970,271.16,0.0962
85,~a_7,"[0,0849-1,0000]",0.0954,270.25,0.0962
85,a_9,"[0,0522-0,9672]",0.0954,275.39,0.0962
86,d_19,"[0,0516-1,0000]",0.0956,270.06,0.0979
88,a_5,"[0,0743-1,0000]",0.0994,544.53,0.0985
88,~a_8,"[0,0722-0,9979]",0.0994,552.94,0.0985
89,~d_12,"[0,0723-1,0000]",0.1039,16.82,0.0996
90,~d_12,"[0,0712-1,0000]",0.0990,67.30,0.0992
91,a_4,"[0,0501-1,0000]",0.0951,547.33,0.0950
91,~a_6,"[0,0501-1,0000]",0.0951,546.05,0.0950
92,d_12,"[0,0788-1,0000]",0.1024,16.88,0.1007
94,~d_9,"[0,0655-1,0000]",0.1152,136.11,0.1090
94,~a_7,"[0,1090-1,0000]",0.1090,136.01,0.1090
94,a_7,"[0,0000-0,8910]",0.1090,136.69,0.1090
95,d_12,"[0,0703-1,0000]",0.0922,33.70,0.0943
95,~a_8,"[0,0597-0,9994]",0.0984,33.83,0.0943
95,a_8,"[0,0006-0,9403]",0.0984,34.11,0.0943
96,~d_16,"[0,0654-1,0000]",0.0972,34.02,0.0960
97,a_5,"[0,0855-1,0000]",0.1012,33.80,0.0992
97,a_8,"[0,0427-0,9571]",0.1012,34.03,0.0992
98,d_17,"[0,0809-1,0000]",0.0967,33.12,0.0961
98,~a_6,"[0,0535-1,0000]",0.0978,33.41,0.0961
98,~a_7,"[0,0120-0,9585]",0.0978,34.07,0.0961
