Prog,Lit,Exact,Time
0,~a_6,"[0,9400-1,0000]",135.58
0,~a_7,"[0,0335-0,0935]",137.00
1,~d_16,"[0,9748-1,0000]",33.90
1,a_6,"[0,9748-1,0000]",33.50
3,a_3,"[0,9800-1,0000]",4.59
3,a_8,"[0,1715-0,2662]",4.71
4,~d_10,"[0,8224-1,0000]",18.24
5,~a_8,"[0,9347-0,9347]",4.68
5,~a_7,"[0,7281-0,8081]",4.69
6,~a_1,"[0,9077-1,0000]",18.31
7,a_6,"[0,9400-1,0000]",66.29
8,~d_10,"[0,9470-1,0000]",8.40
9,~d_11,"[0,9133-1,0000]",4.19
11,a_2,"[0,9713-1,0000]",318.69
12,a_7,"[0,8573-0,9173]",11.01
12,~a_7,"[0,0827-0,1427]",11.46
13,a_2,"[0,9700-1,0000]",178.26
13,a_7,"[0,1507-0,1807]",183.55
13,~a_8,"[0,1205-0,1505]",184.25
14,~a_7,"[0,9393-0,9993]",92.49
16,a_5,"[0,9500-1,0000]",45.04
16,~a_8,"[0,8685-0,9185]",45.47
18,d_10,"[0,9100-1,0000]",22.96
20,a_6,"[0,9300-1,0000]",1.49
20,a_7,"[0,9400-1,0000]",1.46
21,a_0,"[0,9573-1,0000]",92.46
21,a_6,"[0,9486-1,0000]",95.36
22,d_9,"[0,9500-1,0000]",22.32
22,~a_5,"[0,9601-1,0000]",22.10
23,a_7,"[0,9730-0,9730]",11.98
23,a_8,"[0,1966-0,1966]",12.09
24,a_6,"[1,0000-1,0000]",11.80
24,~a_8,"[0,0301-0,0301]",11.91
25,a_3,"[0,9663-1,0000]",44.80
25,~a_7,"[0,1390-0,1861]",47.86
26,a_6,"[0,9879-1,0000]",364.61
27,a_8,"[0,8332-0,9998]",94.26
27,~a_9,"[0,7499-0,8299]",93.59
28,~a_8,"[0,0063-0,1315]",46.48
29,a_7,"[0,8705-0,8905]",47.49
30,a_2,"[0,9700-1,0000]",22.31
30,~a_9,"[0,9144-1,0000]",22.98
30,a_9,"[0,0000-0,0856]",23.66
32,~a_8,"[0,9438-0,9838]",6.13
33,a_9,"[0,0828-0,1628]",11.63
35,a_5,"[0,8493-1,0000]",46.40
36,d_11,"[0,8927-1,0000]",179.90
37,~a_6,"[0,9900-1,0000]",371.78
37,a_9,"[0,9624-0,9724]",379.13
38,a_1,"[0,9400-1,0000]",92.59
39,a_7,"[0,8097-0,8790]",24.19
39,~a_8,"[0,7650-0,8343]",24.02
40,a_7,"[0,2148-0,2148]",12.21
40,~a_8,"[0,1110-0,1162]",12.00
41,a_8,"[0,9017-0,9417]",23.65
41,~a_8,"[0,0583-0,0983]",23.35
43,a_7,"[0,6419-0,7951]",46.88
43,a_8,"[0,8467-0,9984]",46.22
44,a_6,"[0,9324-1,0000]",45.42
44,a_7,"[0,9200-0,9875]",46.24
46,d_16,"[0,8964-1,0000]",91.77
46,a_5,"[0,7945-1,0000]",92.37
46,a_7,"[0,9664-1,0000]",92.72
47,d_13,"[0,7908-1,0000]",46.64
47,~a_7,"[1,0000-1,0000]",45.50
48,a_2,"[0,9700-1,0000]",183.59
48,~a_8,"[0,0000-0,0300]",186.84
49,a_0,"[0,9200-1,0000]",11.59
50,~a_8,"[0,8949-0,9135]",187.62
51,~d_18,"[1,0000-1,0000]",91.76
52,a_2,"[0,9521-1,0000]",46.08
52,a_5,"[0,7976-1,0000]",46.19
52,a_9,"[0,7976-0,9983]",46.06
53,~a_7,"[0,1225-0,1771]",11.84
54,~d_12,"[0,9208-1,0000]",1.64
54,a_5,"[1,0000-1,0000]",1.58
54,a_8,"[1,0000-1,0000]",1.62
55,a_8,"[0,9630-0,9902]",47.65
56,~d_14,"[0,9685-1,0000]",89.37
57,~d_17,"[1,0000-1,0000]",23.91
58,a_5,"[0,9800-1,0000]",184.66
58,~a_8,"[0,0016-0,1060]",190.37
60,~d_18,"[0,8260-1,0000]",91.58
60,a_7,"[0,1172-0,1996]",94.29
60,~a_7,"[0,8004-0,8828]",94.53
61,~a_4,"[0,8396-1,0000]",45.95
61,a_7,"[0,8888-1,0000]",46.02
61,a_8,"[0,8392-0,9996]",47.42
62,~d_14,"[0,8697-1,0000]",91.52
63,~d_16,"[0,8983-1,0000]",92.02
63,a_8,"[0,7506-0,8275]",94.66
63,a_7,"[0,8978-0,9923]",96.66
64,d_10,"[0,9306-1,0000]",46.34
64,~a_5,"[0,9400-1,0000]",45.63
64,~a_8,"[0,8405-0,9277]",46.12
65,~d_15,"[0,7875-1,0000]",5.66
65,a_6,"[0,7857-1,0000]",5.36
65,a_7,"[0,7857-0,9982]",5.61
66,d_18,"[0,9800-1,0000]",46.97
66,a_8,"[0,8887-0,9932]",47.00
66,~a_8,"[0,0068-0,1113]",46.94
68,~d_9,"[0,9744-1,0000]",46.29
68,a_8,"[0,9651-0,9851]",46.83
68,~a_7,"[0,8990-0,9190]",46.64
69,a_7,"[0,9536-1,0000]",184.94
69,a_8,"[0,8947-0,9847]",185.52
70,a_7,"[0,1408-0,1408]",25.32
71,~a_6,"[0,8300-1,0000]",23.14
71,a_7,"[0,8073-0,9773]",23.55
72,a_8,"[0,8030-0,8519]",95.13
72,~a_8,"[0,1481-0,1970]",95.22
73,a_1,"[0,7749-1,0000]",22.82
73,a_8,"[0,7757-0,7857]",23.56
73,a_7,"[0,0580-0,0680]",23.97
75,a_8,"[0,7987-1,0000]",23.51
75,~a_7,"[0,7892-0,9905]",23.82
77,~d_10,"[0,9004-1,0000]",12.56
78,~a_7,"[0,8675-1,0000]",24.07
78,a_9,"[0,8675-1,0000]",24.20
79,~a_1,"[0,9310-1,0000]",23.51
79,a_6,"[0,9320-1,0000]",23.54
79,~a_7,"[0,8215-0,9115]",23.85
80,d_10,"[0,8391-1,0000]",44.94
82,~d_12,"[0,9242-1,0000]",47.50
82,~a_9,"[0,9789-0,9989]",48.03
82,~a_7,"[0,0013-0,0213]",48.56
83,d_16,"[0,9218-1,0000]",11.28
83,a_7,"[0,0229-0,0774]",11.83
83,~a_8,"[0,8592-0,9137]",11.62
84,~d_10,"[0,7916-1,0000]",23.64
85,a_5,"[0,8270-1,0000]",46.57
85,a_8,"[0,8237-0,9967]",46.12
86,a_6,"[0,9500-1,0000]",22.99
86,~a_9,"[0,0138-0,0638]",23.53
87,d_9,"[0,9504-1,0000]",22.70
87,a_7,"[0,8372-0,9272]",23.62
87,~a_8,"[0,1590-0,2490]",23.21
88,~a_4,"[0,9000-1,0000]",12.06
88,a_6,"[0,9629-1,0000]",11.91
88,a_8,"[0,0694-0,1066]",12.37
90,a_1,"[0,8499-1,0000]",22.53
90,~a_6,"[0,8499-1,0000]",23.17
90,~a_7,"[0,0746-0,3390]",23.83
91,d_18,"[0,9800-1,0000]",45.97
91,a_7,"[0,9468-0,9668]",46.49
91,~a_7,"[0,0332-0,0532]",46.01
92,a_9,"[1,0000-1,0000]",11.18
94,d_19,"[0,9200-1,0000]",46.43
94,a_6,"[1,0000-1,0000]",45.93
95,a_1,"[0,9192-1,0000]",11.47
97,a_5,"[0,9700-1,0000]",46.81
97,a_7,"[0,1200-0,1500]",46.65
98,a_5,"[0,9200-1,0000]",22.84
99,d_11,"[0,8500-1,0000]",11.93
99,~a_7,"[0,6958-0,8458]",12.23
101,a_8,"[0,9624-0,9884]",11.90
101,~a_8,"[0,0116-0,0376]",11.79
102,a_5,"[0,9020-1,0000]",46.01
102,a_7,"[0,8210-0,9190]",46.36
103,~d_12,"[0,9894-1,0000]",22.77
103,a_5,"[0,9095-1,0000]",23.42
103,~a_7,"[0,0002-0,0202]",23.84
104,~a_1,"[0,9700-1,0000]",45.79
104,a_5,"[0,8680-1,0000]",46.89
104,a_7,"[0,8680-1,0000]",47.08
105,a_9,"[0,8460-1,0000]",46.57
105,~a_5,"[0,9054-1,0000]",47.32
105,a_7,"[0,8674-0,9620]",48.99
107,d_13,"[0,7246-1,0000]",91.37
108,d_16,"[1,0000-1,0000]",3.08
108,a_5,"[0,8772-1,0000]",2.88
108,~a_7,"[0,0000-0,1228]",2.98
109,a_7,"[0,0428-0,1128]",47.87
110,d_18,"[0,8628-1,0000]",45.50
111,a_9,"[0,0489-0,0689]",95.96
112,a_2,"[0,9100-1,0000]",23.19
112,~a_5,"[0,8857-1,0000]",23.20
112,~a_8,"[0,0756-0,1899]",23.62
114,~a_1,"[0,9611-1,0000]",11.95
114,a_8,"[0,9172-0,9472]",12.87
