Prog,Lit,Exact,Time
0,a_8,"[0,9515-1,0000]",10.76
1,d_14,"[0,9300-1,0000]",10.21
1,a_7,"[0,0271-0,0977]",10.31
2,~d_15,"[0,8235-1,0000]",2.55
3,d_12,"[0,9444-1,0000]",2.54
4,~d_16,"[0,8746-1,0000]",10.22
4,a_8,"[0,7089-0,8631]",10.36
4,a_7,"[0,8052-0,9508]",10.59
6,a_6,"[0,9293-1,0000]",10.19
6,~a_7,"[0,8218-0,8924]",10.26
7,d_17,"[0,9504-1,0000]",10.27
9,d_14,"[0,9700-1,0000]",2.63
10,a_5,"[0,9901-1,0000]",10.31
10,~a_8,"[0,9901-1,0000]",10.31
11,d_15,"[0,9800-1,0000]",20.83
11,~a_8,"[0,1362-0,1862]",21.15
11,~a_7,"[0,9215-0,9715]",21.32
12,d_10,"[0,9900-1,0000]",2.61
12,a_8,"[0,0324-0,1124]",2.64
13,d_11,"[0,8608-1,0000]",2.63
13,a_8,"[0,0432-0,0432]",2.72
13,~a_8,"[0,9568-0,9568]",2.69
14,a_1,"[0,9000-1,0000]",2.67
14,a_8,"[0,0000-0,0100]",2.73
14,a_7,"[0,9883-0,9983]",2.69
15,~d_11,"[0,9521-1,0000]",5.29
15,a_5,"[1,0000-1,0000]",5.24
15,a_7,"[0,8860-0,9560]",5.29
16,a_7,"[0,8952-0,9152]",10.56
17,~a_2,"[0,9800-1,0000]",5.23
17,a_6,"[0,9900-1,0000]",5.21
17,a_7,"[0,9900-1,0000]",5.21
18,~a_6,"[0,9444-1,0000]",10.28
19,a_1,"[1,0000-1,0000]",5.10
20,a_5,"[0,9200-1,0000]",0.32
21,a_9,"[0,9072-0,9372]",21.27
22,~d_15,"[0,7399-1,0000]",21.86
22,a_6,"[0,7744-1,0000]",22.04
22,~a_7,"[0,7791-0,9496]",22.43
24,a_6,"[0,8262-1,0000]",21.87
24,a_7,"[0,0413-0,2151]",22.20
25,d_17,"[0,9248-1,0000]",10.82
25,a_6,"[0,9500-1,0000]",10.85
25,~a_7,"[0,8642-0,9142]",11.07
26,d_20,"[0,7691-1,0000]",5.47
